100 100000 0.95 gpomdp sample_bernstein 1000000

-0.5 -0.  -0.  -0.5
 -5.00001135e-01   1.31151845e-07  -3.10944254e-08  -5.00001242e-01
 -5.00002361e-01   3.94126904e-07   7.56052114e-08  -5.00002433e-01
 -5.00003538e-01   4.21325844e-07   1.12721581e-07  -5.00003462e-01
 -5.00004784e-01   3.57629066e-07   1.91142090e-07  -5.00004855e-01
 -5.00005860e-01   3.62786330e-07   2.67408629e-07  -5.00005981e-01
 -5.00007003e-01   2.07066449e-07   1.52709525e-07  -5.00007320e-01
 -5.00008208e-01   2.00313936e-07  -1.96171844e-08  -5.00008534e-01
 -5.00009467e-01   2.25340664e-07   7.54620169e-08  -5.00009764e-01
 -5.00010573e-01   5.95167351e-08   1.72856105e-07  -5.00011013e-01
 -5.00011745e-01   5.46982284e-08   1.53115142e-07  -5.00012186e-01
 -5.00013089e-01   3.22554969e-08   1.73700503e-07  -5.00013431e-01
 -5.00014247e-01  -2.21359982e-07   2.02998543e-07  -5.00014564e-01
 -5.00015364e-01  -1.41412216e-07   1.22072724e-07  -5.00015558e-01
 -5.00016703e-01  -3.99274081e-07   7.32942176e-08  -5.00016703e-01
 -5.00017992e-01  -6.42630006e-07   3.31581023e-07  -5.00017808e-01
 -5.00019092e-01  -6.09036641e-07   2.39793947e-07  -5.00018918e-01
 -5.00020244e-01  -5.76952659e-07   2.13919227e-07  -5.00020104e-01
 -5.00021401e-01  -6.92957229e-07   4.31155714e-07  -5.00021356e-01
 -5.00022592e-01  -6.75073577e-07   3.42330030e-07  -5.00022696e-01
 -5.00023859e-01  -6.97664021e-07   2.42619607e-07  -5.00023883e-01
 -5.00025169e-01  -6.13336734e-07   1.70744327e-07  -5.00025174e-01
 -5.00026286e-01  -5.78548025e-07   2.25152654e-07  -5.00026474e-01
 -5.00027400e-01  -5.35809714e-07   1.78177120e-08  -5.00027902e-01
 -5.00028520e-01  -5.41196394e-07   1.37514680e-07  -5.00029008e-01
 -5.00029622e-01  -4.82223061e-07   7.21127925e-08  -5.00030299e-01
 -5.00031034e-01  -4.71077025e-07  -1.92041140e-08  -5.00031230e-01
 -5.00032281e-01  -4.80772505e-07  -2.98466909e-08  -5.00032560e-01
 -5.00033597e-01  -5.35244169e-07   1.84001940e-08  -5.00033697e-01
 -5.00034681e-01  -3.21563998e-07  -3.47302048e-08  -5.00034924e-01
 -5.00035935e-01  -2.18869712e-07  -1.61719724e-07  -5.00036316e-01
 -5.00037109e-01  -4.03547503e-07  -2.26558592e-07  -5.00037496e-01
 -5.00038216e-01  -4.75474631e-07  -1.25954242e-07  -5.00038636e-01
 -5.00039532e-01  -4.94109491e-07  -4.15089179e-08  -5.00039780e-01
 -5.00040713e-01  -4.79379274e-07  -2.28814020e-07  -5.00040869e-01
 -5.00042126e-01  -4.15058605e-07  -3.71546035e-07  -5.00042153e-01
 -5.00043208e-01  -3.32679345e-07  -1.80345127e-07  -5.00043230e-01
 -5.00044477e-01  -2.78952091e-07  -2.69631490e-07  -5.00044603e-01
 -5.00045682e-01  -1.77794630e-07  -4.54922019e-07  -5.00045932e-01
 -5.00047020e-01  -3.30665222e-07  -7.17958507e-07  -5.00047304e-01
 -5.00048411e-01  -2.63679560e-07  -7.87003718e-07  -5.00048459e-01
 -5.00049560e-01  -1.35526869e-07  -8.22922558e-07  -5.00049854e-01
 -5.00050665e-01  -6.32808255e-09  -7.30710562e-07  -5.00051208e-01
 -5.00051946e-01   1.46494742e-07  -7.95762406e-07  -5.00052424e-01
 -5.00053010e-01   2.31604696e-07  -7.22138434e-07  -5.00053507e-01
 -5.00054219e-01   1.00250105e-07  -6.68373161e-07  -5.00054669e-01
 -5.00055485e-01   1.09394415e-07  -5.84686582e-07  -5.00055961e-01
 -5.00056848e-01   6.60576288e-08  -5.23651050e-07  -5.00057111e-01
