100 100000 0.95 gpomdp cheb_gpomdp 30000000

1 100 0 3.3151142438e-06 -56.6666666667 -12.0572433949
2 3589 -2.95866658999e-05 1.74938248745e-05 -56.6391661651 -12.1364044721
3 3137 -0.000196580728185 1.59129923917e-05 -56.4845110413 -12.2147727971
4 3219 -0.000346544955751 1.64777559431e-05 -56.3464390786 -12.1721012884
5 3119 -0.000504296773064 1.60460958011e-05 -56.2020187683 -12.1198732469
6 3158 -0.000656979210808 1.58730605918e-05 -56.0630349827 -12.0848044379
7 3254 -0.000805766950831 1.65722575952e-05 -55.9283430413 -12.0664458549
8 3123 -0.000964325808955 1.61032020931e-05 -55.7856100134 -12.1076877383
9 3143 -0.00111789787693 1.63630601613e-05 -55.6481506066 -12.1496727462
10 3081 -0.00127551494211 1.57336769724e-05 -55.5078665903 -12.1408465556
11 3220 -0.00142377440541 1.60956309227e-05 -55.3766409863 -12.2183109112
12 3244 -0.00157488649019 1.6003023967e-05 -55.2436126112 -12.1483913833
13 3299 -0.00172387048524 1.65302126025e-05 -55.1131655837 -12.110819364
14 3180 -0.00188061023331 1.6663967576e-05 -54.9766803495 -12.1115823043
15 3024 -0.00204264251695 1.60084561175e-05 -54.8363909136 -12.0975550915
16 3073 -0.00219704571228 1.63618344092e-05 -54.7034613543 -12.2013021856
17 3013 -0.00235642600348 1.64334350673e-05 -54.5670126972 -12.1701831426
18 2933 -0.00251867782525 1.46510717849e-05 -54.4288980522 -12.1022646049
19 3422 -0.00265258541895 1.70431103765e-05 -54.3155083801 -12.106818805
20 3131 -0.00281543667365 1.58848737466e-05 -54.1783319728 -12.0946323307
21 3222 -0.00296506550199 1.68793419101e-05 -54.0529864709 -12.0230365956
22 2998 -0.00312990846505 1.53378206211e-05 -53.9156579786 -12.1541872563
23 3262 -0.00327350537901 1.60946909836e-05 -53.7966751774 -12.1374212823
24 3286 -0.0034236255595 1.66477126281e-05 -53.6729251433 -12.1538963018
25 3130 -0.00358273635175 1.57522573197e-05 -53.5424699873 -12.0515341812
26 3265 -0.00373014351875 1.61862983118e-05 -53.4222540403 -12.188262989
27 3259 -0.00388175182249 1.56360193629e-05 -53.2992523424 -12.1484558317
28 3440 -0.00402430176117 1.71086761955e-05 -53.1841876919 -12.1573753292
29 3127 -0.00418789393646 1.62937983242e-05 -53.052834627 -12.008708762
30 3087 -0.00434469308945 1.54149567566e-05 -52.9276291333 -12.0597463914
31 3332 -0.00448747580954 1.65443329298e-05 -52.8142014951 -12.0058022086
