10000 10000 0.95 gpomdp cheb_gpomdp 30000000
93 10000 -0.0227844852806 2.61424285369e-05 -41.7807764216 -11.9558297411
94 10000 -0.0230197775801 2.62165107108e-05 -41.6731904518 -11.9401484727
95 10000 -0.023256713783 2.62373304601e-05 -41.5655194071 -11.8993788368
96 10000 -0.0234941139764 2.59884083112e-05 -41.4583022532 -11.967022328
97 10000 -0.023726023647 2.58177432832e-05 -41.3542014444 -11.9562187432
98 10000 -0.0239542396675 2.61884332782e-05 -41.2523674292 -11.935610271
99 10000 -0.0241905515231 2.61989790204e-05 -41.1475516452 -11.9315097638
100 10000 -0.0244270976937 2.59616152943e-05 -41.0432688775 -11.9611339219
101 10000 -0.0246584237244 2.60816251741e-05 -40.9418982523 -11.9533610405
102 10000 -0.0248923750098 2.57070217706e-05 -40.839986062 -11.952159987
103 10000 -0.025118224865 2.63659459289e-05 -40.7421787525 -11.9085412589
104 10000 -0.0253585109682 2.61511500026e-05 -40.6387351995 -11.8692211515
105 10000 -0.0255939962258 2.6125027964e-05 -40.5379687371 -11.8761578271
106 10000 -0.0258289040017 2.56709348343e-05 -40.4380459738 -11.9156412129
107 10000 -0.0260539877273 2.60474215509e-05 -40.3428562182 -11.9090301403
108 10000 -0.0262871878929 2.61281841141e-05 -40.2448010228 -11.8506938273
109 10000 -0.0265221653694 2.63302754357e-05 -40.1465772186 -11.9265777666
110 10000 -0.0267616476961 2.59998728836e-05 -40.0470628133 -11.8798106619
111 10000 -0.0269938075343 2.60912498296e-05 -39.9511571792 -11.8956352077
112 10000 -0.027227970599 2.64816071804e-05 -39.8549835438 -11.9091641646
113 10000 -0.0274708810226 2.57542401794e-05 -39.7558059177 -11.856741577
114 10000 -0.0276977370802 2.58843529411e-05 -39.6637197845 -11.8712169765
115 10000 -0.02792738796 2.61480703202e-05 -39.5710226185 -11.906943851
116 10000 -0.0281628050636 2.59106813717e-05 -39.4765400113 -11.8975494943
117 10000 -0.028393025469 2.58688763043e-05 -39.3846693247 -11.8702803083
118 10000 -0.0286223421944 2.59422880541e-05 -39.293672249 -11.8329394744
119 10000 -0.0288532480896 2.57829398954e-05 -39.2025575751 -11.8272575421
120 10000 -0.0290807178109 2.58738858995e-05 -39.1132979943 -11.8607345287
121 10000 -0.029310142647 2.59134603124e-05 -39.02376894 -11.8738635415
122 10000 -0.0295404232441 2.57373870179e-05 -38.9344044585 -11.9468937032
123 10000 -0.0297669196795 2.59129200965e-05 -38.8469917065 -11.8451603901
124 10000 -0.0299971885744 2.59427391583e-05 -38.7586102745 -11.8131382588
125 10000 -0.0302281042674 2.58741314961e-05 -38.6704699053 -11.879594091
126 10000 -0.0304575344048 2.6002596711e-05 -38.583377893 -11.8937874388
127 10000 -0.0306897537176 2.60276470869e-05 -38.4957116687 -11.8811869776
128 10000 -0.0309225206903 2.59042611832e-05 -38.4083239168 -11.798094612
129 10000 -0.0311526020923 2.61050496759e-05 -38.3224179367 -11.8206216193
130 10000 -0.0313870691288 2.55347357844e-05 -38.2353548595 -11.8355938578
131 10000 -0.0316092835152 2.5655486229e-05 -38.1532854551 -11.9055550944
132 10000 -0.0318340400212 2.58640317212e-05 -38.0707132064 -11.8440926658
133 10000 -0.0320632522433 2.60143013266e-05 -37.9869520803 -11.8531466169
134 10000 -0.0322957272921 2.56808371517e-05 -37.90245714 -11.8358401424
135 10000 -0.0325210209985 2.58326785472e-05 -37.8210094102 -11.8237250605
136 10000 -0.0327495579969 2.58401616715e-05 -37.7388252709 -11.8524803621
137 10000 -0.0329782559792 2.55732563543e-05 -37.6570194748 -11.8193908427
138 10000 -0.0332012783494 2.55327590223e-05 -37.5776608624 -11.8626166971
139 10000 -0.0334234513473 2.58288719756e-05 -37.4990107483 -11.8391977919
140 10000 -0.0336519064967 2.59411973066e-05 -37.4185563326 -11.7951437933
141 10000 -0.0338827887031 2.56859008628e-05 -37.3376760979 -11.8007388287
142 10000 -0.0341081898585 2.5866166009e-05 -37.2591286448 -11.8223770617
143 10000 -0.0343374481141 2.53795467133e-05 -37.1796521196 -11.7914474878
144 10000 -0.0345564353065 2.57759465845e-05 -37.1041241327 -11.8085003756
145 10000 -0.0347837553496 2.54322313664e-05 -37.0261200332 -11.798255634
146 10000 -0.0350038331368 2.57875637644e-05 -36.9509843291 -11.7836593483
147 10000 -0.0352314018748 2.5726951603e-05 -36.8736846857 -11.7627887067
148 10000 -0.0354576759059 2.52906302717e-05 -36.7972185266 -11.8400928389
149 10000 -0.0356748340277 2.55771255091e-05 -36.7241993789 -11.7501439388
150 10000 -0.0358979377086 2.54106741437e-05 -36.6495520348 -11.8488158154
151 10000 -0.0361175686344 2.55494283769e-05 -36.5764312073 -11.8212249598
152 10000 -0.0363400908759 2.56793882871e-05 -36.5027139695 -11.7872488677
153 10000 -0.0365653538471 2.57265541078e-05 -36.4284614352 -11.7611756053
154 10000 -0.0367916194107 2.5747167031e-05 -36.3542530633 -11.7815377404
155 10000 -0.0370183244713 2.56094375955e-05 -36.2802743172 -11.8198419708
156 10000 -0.0372421082928 2.55122054539e-05 -36.2076130469 -11.7677571622
157 10000 -0.0374638513825 2.5445606772e-05 -36.135968687 -11.7709487212
158 10000 -0.0376842068609 2.56080005785e-05 -36.0651194961 -11.7508330218
159 10000 -0.0379079603927 2.56857755523e-05 -35.9935289831 -11.794373136
160 10000 -0.0381333588886 2.55263582233e-05 -35.9217673911 -11.7864233237
161 10000 -0.0383553979198 2.55978184889e-05 -35.8514214451 -11.7808707741
162 10000 -0.0385789369434 2.55760893846e-05 -35.7809447251 -11.738355143
163 10000 -0.0388020188473 2.54161845291e-05 -35.7109541964 -11.7921872735
164 10000 -0.0390217639168 2.54442136803e-05 -35.6423422813 -11.7557261474
165 10000 -0.0392420904573 2.54514743683e-05 -35.5738769756 -11.7756847613
166 10000 -0.0394625678591 2.54827776244e-05 -35.505691405 -11.7649661153
167 10000 -0.0396836967922 2.56278042225e-05 -35.4376302003 -11.7583014475
168 10000 -0.0399078680915 2.53560558542e-05 -35.3689633358 -11.8458851371
169 10000 -0.040126370657 2.5488206616e-05 -35.3023511125 -11.7905933418
170 10000 -0.0403476127716 2.52779477212e-05 -35.2352215522 -11.774117494
171 10000 -0.0405645111787 2.5718794892e-05 -35.1697182719 -11.7769304412
172 10000 -0.0407906115151 2.55473302177e-05 -35.1017586872 -11.7545253686
173 10000 -0.041013089769 2.54078231579e-05 -35.0352070599 -11.7693349207
174 10000 -0.0412326616606 2.52048504802e-05 -34.9698331619 -11.8007656094
175 10000 -0.0414480688485 2.5316937463e-05 -34.9059948288 -11.7723393197
176 10000 -0.0416657666241 2.54444349755e-05 -34.8417730775 -11.7624877156
177 10000 -0.0418860977612 2.51885951632e-05 -34.777074812 -11.7061351935
178 10000 -0.042101174642 2.50786408074e-05 -34.7142088565 -11.75690353
179 10000 -0.0423140296726 2.56502762219e-05 -34.6522719813 -11.7247689727
180 10000 -0.0425386759266 2.54105244294e-05 -34.5872037766 -11.7601351511
181 10000 -0.042758303752 2.53567550146e-05 -34.5238846684 -11.7178172676
182 10000 -0.0429768207269 2.53001780421e-05 -34.4611738121 -11.7652701277
183 10000 -0.0431941745617 2.56365021169e-05 -34.3990798114 -11.6574522158
184 10000 -0.0434185295812 2.51559520473e-05 -34.3352797811 -11.7996778899
185 10000 -0.0436329445882 2.50348875523e-05 -34.2745837088 -11.7663044016
186 10000 -0.0438449214742 2.50879611173e-05 -34.2148424652 -11.7583546669
187 10000 -0.0440579640051 2.52170733123e-05 -34.1550642915 -11.7027632581
188 10000 -0.0442736198732 2.53005203336e-05 -34.0948200225 -11.7132655971
189 10000 -0.0444909807275 2.54310724345e-05 -34.034369691 -11.7577630031
190 10000 -0.0447110344694 2.51040040946e-05 -33.9734449718 -11.8045650374
191 10000 -0.0449244001044 2.52114657675e-05 -33.9146339665 -11.7376168746
192 10000 -0.0451399418505 2.54650072843e-05 -33.855483379 -11.6949279862
193 10000 -0.0453607006972 2.51695053307e-05 -33.7951704285 -11.7560459813
194 10000 -0.0455753902795 2.52450458746e-05 -33.7367753756 -11.7170872714
195 10000 -0.0457916162782 2.5238055713e-05 -33.6782195988 -11.7398248545
196 10000 -0.0460076996726 2.51397410692e-05 -33.6199586142 -11.6790752378
197 10000 -0.0462217866936 2.53322936067e-05 -33.5624868221 -11.6887713949
198 10000 -0.0464398000608 2.51072975902e-05 -33.5042160196 -11.7245622143
199 10000 -0.0466532320831 2.47560580066e-05 -33.447417409 -11.7838111046
200 10000 -0.0468596914208 2.51360735996e-05 -33.3927060774 -11.7388881526
201 10000 -0.0470737043054 2.51933243737e-05 -33.3362320791 -11.7039988115
202 10000 -0.0472888772345 2.49322061398e-05 -33.2796957145 -11.6807800433
203 10000 -0.0474988065028 2.5095538466e-05 -33.2247711779 -11.6903951927
204 10000 -0.0477120015838 2.51266167467e-05 -33.1692273123 -11.6934453686
205 10000 -0.047925823413 2.51608529533e-05 -33.1137566524 -11.6356844755
206 10000 -0.0481403376692 2.49093939719e-05 -33.058342859 -11.6372081176
207 10000 -0.0483498145338 2.48936390207e-05 -33.0044575163 -11.7024256981
208 10000 -0.04855897948 2.51359801808e-05 -32.9508750107 -11.694600875
209 10000 -0.0487729904766 2.50763949708e-05 -32.8962798846 -11.6441006767
210 10000 -0.0489858003499 2.48859645218e-05 -32.84221924 -11.6885187469
211 10000 -0.0491948135117 2.50774630397e-05 -32.7893430999 -11.672561057
212 10000 -0.0494076448597 2.50806510678e-05 -32.735723709 -11.6966205105
213 10000 -0.0496205403186 2.50320090384e-05 -32.6823115825 -11.7085821394
214 10000 -0.0498324595503 2.51406058738e-05 -32.6293649307 -11.6835150738
215 10000 -0.0500465640565 2.49831629582e-05 -32.5760943952 -11.650475545
216 10000 -0.0502575071662 2.4766769361e-05 -32.5238274158 -11.6667474836
217 10000 -0.0504641759802 2.49210540647e-05 -32.4728271154 -11.6914637153
218 10000 -0.0506738839708 2.49859988834e-05 -32.4212856055 -11.6584738435
219 10000 -0.0508848836379 2.48572868596e-05 -32.3696376116 -11.6617572997
220 10000 -0.0510933305234 2.49140370315e-05 -32.318821043 -11.6020655108
221 10000 -0.0513028993943 2.49522768207e-05 -32.2679366803 -11.6475401185
222 10000 -0.0515132274485 2.48648009879e-05 -32.2170741563 -11.653968683
223 10000 -0.0517218225721 2.48812844741e-05 -32.1668334865 -11.6283759639
224 10000 -0.0519307432231 2.49376338798e-05 -32.1167156376 -11.6312007979
225 10000 -0.0521407802662 2.49077793883e-05 -32.0665317788 -11.6359902835
226 10000 -0.0523502251453 2.5074260555e-05 -32.0166897001 -11.6809497566
227 10000 -0.05256299211 2.46918558485e-05 -31.9662606403 -11.6688523811
228 10000 -0.0527681999845 2.50228990448e-05 -31.9178164413 -11.6632781469
229 10000 -0.0529799368469 2.47165848787e-05 -31.8680286471 -11.658610563
230 10000 -0.0531856259216 2.4510852384e-05 -31.8198541159 -11.6727817059
231 10000 -0.0533873430991 2.46254493533e-05 -31.7727917854 -11.6430913376
232 10000 -0.0535912639057 2.49164500523e-05 -31.725397421 -11.6172336733
233 10000 -0.0538008806075 2.52826234842e-05 -31.6768689774 -11.6112956068
234 10000 -0.0540178747314 2.44981264171e-05 -31.6268340258 -11.656560925
235 10000 -0.0542193485498 2.48217967436e-05 -31.5805601789 -11.6601521884
236 10000 -0.0544270966076 2.49524559726e-05 -31.5330281504 -11.659591348
237 10000 -0.0546374282246 2.49252302007e-05 -31.4850930822 -11.6654360914
238 10000 -0.054847219052 2.48484630689e-05 -31.4374686786 -11.6057121833
239 10000 -0.0550554919871 2.49944016444e-05 -31.3903729346 -11.5698293788
240 10000 -0.0552666593149 2.49554670291e-05 -31.3428088765 -11.6503964237
241 10000 -0.0554770508205 2.46624039069e-05 -31.2956049303 -11.6133327538
242 10000 -0.0556816869468 2.46685280522e-05 -31.2498687623 -11.6282927863
243 10000 -0.0558864418396 2.48383594716e-05 -31.2042792607 -11.6373060891
244 10000 -0.0560945157597 2.45249094462e-05 -31.1581272671 -11.5893911159
245 10000 -0.0562965020642 2.44783412291e-05 -31.1134947845 -11.5849637689
246 10000 -0.0564975980642 2.46697930942e-05 -31.0692237456 -11.6340443086
247 10000 -0.056702377498 2.47177876171e-05 -31.0243097719 -11.6386483791
248 10000 -0.0569080900032 2.42504201782e-05 -30.9793608628 -11.629525248
249 10000 -0.0571048800727 2.45409739882e-05 -30.9365198617 -11.6238646907
250 10000 -0.0573071743413 2.45893068492e-05 -30.8926410972 -11.5821067938
251 10000 -0.0575103977734 2.46315239449e-05 -30.84872374 -11.5794044863
252 10000 -0.0577144360059 2.43387702214e-05 -30.8047937115 -11.6076407663
253 10000 -0.0579128851149 2.42756714262e-05 -30.7622232597 -11.6531529342
254 10000 -0.0581101480592 2.44312989383e-05 -30.7200591179 -11.629570736
255 10000 -0.0583103483424 2.45008094012e-05 -30.6774211145 -11.6247100425
256 10000 -0.0585118734452 2.44193899108e-05 -30.6346567862 -11.6397195969
257 10000 -0.0587118475523 2.4455486222e-05 -30.5923753057 -11.5809397638
258 10000 -0.0589125079204 2.43587359342e-05 -30.5501018227 -11.6125581256
259 10000 -0.0591113337074 2.45599181809e-05 -30.5083652966 -11.5486924368
260 10000 -0.0593139916981 2.43656158941e-05 -30.4659776449 -11.6177816324
261 10000 -0.0595129474352 2.45969063307e-05 -30.4245141159 -11.5800455455
262 10000 -0.0597163173179 2.42732899491e-05 -30.3822831978 -11.6196051088
263 10000 -0.0599135356207 2.45170197859e-05 -30.3414762079 -11.5984146966
264 10000 -0.0601153708346 2.44408742709e-05 -30.299862506 -11.5778810006
265 10000 -0.060315753142 2.47151059872e-05 -30.2586962673 -11.588100288
266 10000 -0.0605214134098 2.45620045543e-05 -30.2165981677 -11.6214745372
267 10000 -0.0607241114949 2.40779175067e-05 -30.1752567152 -11.5620200225
268 10000 -0.0609176985798 2.41752383096e-05 -30.1359120727 -11.5813957692
269 10000 -0.0611130868286 2.41875411826e-05 -30.0963379354 -11.5897252113
270 10000 -0.0613087038511 2.40169953277e-05 -30.0568542139 -11.5434830483
271 10000 -0.0615011710796 2.44278430973e-05 -30.0181391241 -11.6042570751
272 10000 -0.0617013057054 2.44554398223e-05 -29.9780207888 -11.6298611466
273 10000 -0.06190196519 2.43576881529e-05 -29.9379388524 -11.5636232364
274 10000 -0.0621007711931 2.44674594612e-05 -29.8983662673 -11.5962567609
275 10000 -0.0623016596713 2.45290646862e-05 -29.8585190924 -11.6187560982
276 10000 -0.0625037255923 2.42012874564e-05 -29.8185795325 -11.603069951
277 10000 -0.0626995985161 2.44779327004e-05 -29.7799985004 -11.5459806963
278 10000 -0.0629006867217 2.41114319109e-05 -29.7405271965 -11.6036326849
279 10000 -0.0630948923691 2.42795603563e-05 -29.7025379324 -11.5607340615
280 10000 -0.0632922282325 2.47540057967e-05 -29.6640676115 -11.5662981989
281 10000 -0.0634986474586 2.43501687686e-05 -29.6239673644 -11.5657032844
282 10000 -0.0636973115355 2.45574208786e-05 -29.5855089997 -11.5384986115
283 10000 -0.0638999215446 2.44528866205e-05 -29.5464227691 -11.5876977071
284 10000 -0.0641005324173 2.43349207824e-05 -29.5078568293 -11.6009616302
285 10000 -0.0642989089767 2.43055189813e-05 -29.4698514836 -11.5840735643
286 10000 -0.0644967322037 2.40452462106e-05 -29.4320812795 -11.5519421891
287 10000 -0.064689718003 2.38852056713e-05 -29.3953583266 -11.5738710237
288 10000 -0.0648797826766 2.40408603676e-05 -29.3593100044 -11.619808892
289 10000 -0.0650726878871 2.42659087629e-05 -29.3228428786 -11.5220770495
290 10000 -0.0652697678856 2.42884029061e-05 -29.285710721 -11.5704773129
291 10000 -0.0654672696416 2.40636561886e-05 -29.2486243911 -11.5113502998
292 10000 -0.065660594052 2.43810154071e-05 -29.2124433502 -11.5445703731
293 10000 -0.0658598409392 2.43647467078e-05 -29.1752784295 -11.5682519885
294 10000 -0.0660587802546 2.4139788227e-05 -29.1382963685 -11.5354233303
295 10000 -0.0662535106608 2.4095990453e-05 -29.1022175711 -11.5267521694
296 10000 -0.0664474310893 2.42945013238e-05 -29.0664070709 -11.5493891157
297 10000 -0.0666450473301 2.40183909706e-05 -29.0300348674 -11.5076094624
298 10000 -0.0668375401474 2.43706729137e-05 -28.9947223156 -11.5812603149
299 10000 -0.0670365914519 2.4260640024e-05 -28.9583271097 -11.5150145641
300 10000 -0.0672335727819 2.39276648438e-05 -28.9224304062 -11.5630468485
301 10000 -0.0674244085295 2.39219039716e-05 -28.8877669525 -11.5589368615
302 10000 -0.0676151394928 2.4209084081e-05 -28.8532334308 -11.5481483316
303 10000 -0.0678111576942 2.38078021129e-05 -28.8178575825 -11.5542101996
304 10000 -0.0679998238921 2.42082394915e-05 -28.7839181202 -11.536626755
305 10000 -0.0681958263511 2.4035271584e-05 -28.748772195 -11.5284611719
306 10000 -0.0683886289131 2.37642213496e-05 -28.7143121427 -11.5449221088
307 10000 -0.0685765117913 2.40813901083e-05 -28.6808378412 -11.5587669877
308 10000 -0.0687701628859 2.36381518742e-05 -28.6464452841 -11.5604849887
309 10000 -0.0689557961521 2.37131666656e-05 -28.6135805118 -11.5728852428
310 10000 -0.0691427650799 2.40866012685e-05 -28.580581519 -11.5304853188
311 10000 -0.0693365122663 2.36860156888e-05 -28.5464939653 -11.5137370692
312 10000 -0.0695229967747 2.39088407609e-05 -28.5137873135 -11.4976892735
313 10000 -0.0697134903236 2.41300517623e-05 -28.480481488 -11.4931241393
314 10000 -0.0699080404032 2.39734871914e-05 -28.4465743592 -11.5282717611
315 10000 -0.07009971146 2.42331779821e-05 -28.4132751729 -11.4833318594
316 10000 -0.070296179231 2.4132335025e-05 -28.3792515072 -11.5053672895
317 10000 -0.0704907715848 2.42978632554e-05 -28.3456607436 -11.5211700441
318 10000 -0.0706884509645 2.4004995292e-05 -28.3116467534 -11.5433124066
319 10000 -0.0708806983024 2.38156922327e-05 -28.278672949 -11.4819222372
320 10000 -0.0710695066297 2.38132339816e-05 -28.2463897964 -11.5030738666
321 10000 -0.0712582706647 2.38325363299e-05 -28.2142136198 -11.5108800236
322 10000 -0.0714473827362 2.40185007865e-05 -28.1820773349 -11.5163146805
