100 500000 0.5 gpomdp hoeffding 30000000
45 162310 -0.00692646893996 1.60975599408e-05 -50.958986859 -12.0759081213
46 163442 -0.00707759564803 1.61639047496e-05 -50.8489224825 -12.0781947954
47 163477 -0.00722932871833 1.61539546154e-05 -50.7389648877 -12.0804177402
48 163678 -0.00738087562582 1.6183110461e-05 -50.629686625 -12.0819303256
49 163395 -0.00753282741448 1.61047038713e-05 -50.5206586458 -12.0769468907
50 164415 -0.00768357300225 1.62169741811e-05 -50.4130287044 -12.0727357675
51 163567 -0.00783576232373 1.61561136751e-05 -50.3049020991 -12.0679188629
52 163732 -0.00798730438155 1.61033706335e-05 -50.1977647202 -12.0794484886
53 164777 -0.00813787210053 1.62137994028e-05 -50.0918355125 -12.0630427126
54 163980 -0.00828983991862 1.61139242454e-05 -49.98544237 -12.0659368046
55 164849 -0.00844047298497 1.61620637423e-05 -49.8804965627 -12.0686163997
56 164915 -0.0085915258227 1.61230291216e-05 -49.7757673366 -12.0470209037
57 165636 -0.00874188558903 1.62682667479e-05 -49.6720212357 -12.059872067
58 163927 -0.00889438879831 1.60372357633e-05 -49.5673047158 -12.0539723117
59 166084 -0.0090437468167 1.62261110979e-05 -49.4652406813 -12.0535925695
60 165075 -0.00919532507754 1.61775262957e-05 -49.3621544984 -12.0619482993
61 164883 -0.00934653747383 1.6190236436e-05 -49.2598104997 -12.0420124611
62 164479 -0.00949805442796 1.61366123735e-05 -49.1577510974 -12.0541249291
63 164971 -0.00964884408213 1.61154773707e-05 -49.0566658138 -12.0392523008
64 165820 -0.00979905034389 1.61585139345e-05 -48.9564484763 -12.0566659431
65 165947 -0.00994960007182 1.61399794043e-05 -48.8564761771 -12.0380273806
66 166386 -0.0100997782652 1.61923069493e-05 -48.7572202567 -12.0362925122
67 165943 -0.0102506444602 1.61363957843e-05 -48.6579786172 -12.0309475639
68 166443 -0.0104007638198 1.61982000549e-05 -48.5596915747 -12.036904488
69 165901 -0.0105517041974 1.61584408841e-05 -48.4613297014 -12.0485555658
70 166029 -0.0107022159301 1.61594424534e-05 -48.3637059383 -12.0468997659
71 166140 -0.0108526866051 1.6195110024e-05 -48.266563559 -12.0209526883
72 165651 -0.0110037120624 1.61073071734e-05 -48.1695170526 -12.0500589593
73 166641 -0.0111534716128 1.61648800276e-05 -48.0737300586 -12.0385685281
74 166661 -0.011303757722 1.61790248789e-05 -47.9780497247 -12.0294768065
75 166441 -0.0114542742891 1.61426992814e-05 -47.882664859 -12.0235070865
