100 100000 0.95 gpomdp bernstein 30000000
203 3642 -0.047691755611 2.63894065138e-05 -33.1744918685 -11.6522194702
204 3622 -0.0479184761267 2.55321420411e-05 -33.1156588066 -11.817738738
205 3780 -0.0481295235006 2.65374338504e-05 -33.061130752 -11.7192787811
206 3703 -0.0483541658045 2.61969902826e-05 -33.0033405755 -11.754717006
207 3711 -0.0485748463764 2.62687342846e-05 -32.9468193714 -11.6816096952
208 3707 -0.0487961503024 2.61235296052e-05 -32.8903855308 -11.7115238489
209 3726 -0.0490157534186 2.64032346568e-05 -32.8346283614 -11.7061493257
210 3693 -0.0492388642404 2.61766481758e-05 -32.7782268417 -11.6957596167
211 3705 -0.0494598536316 2.62899959601e-05 -32.7226047216 -11.6767408797
212 3701 -0.0496812766337 2.60928226571e-05 -32.66711457 -11.6509806093
213 3732 -0.0498999055163 2.65267521513e-05 -32.6125599341 -11.6563478315
214 3666 -0.0501262328062 2.64890511615e-05 -32.5563290245 -11.7083732739
215 3614 -0.0503551293387 2.63557246428e-05 -32.4997113604 -11.6173334836
216 3599 -0.0505831130477 2.64228199317e-05 -32.4435693247 -11.7041784831
217 3565 -0.0508143158583 2.58109816237e-05 -32.3868875491 -11.6500865404
218 3671 -0.0510330458994 2.60108100086e-05 -32.3334965999 -11.6088539892
219 3716 -0.0512522182543 2.60453998442e-05 -32.2802234676 -11.6216191432
220 3763 -0.0514682449254 2.59046256968e-05 -32.2279347411 -11.7203781126
221 3832 -0.0516800410531 2.63405741307e-05 -32.1768805558 -11.6310353661
222 3810 -0.051895961178 2.6692814828e-05 -32.1250455592 -11.6486484101
223 3709 -0.052120729532 2.64880135876e-05 -32.0713137697 -11.6355554965
224 3649 -0.0523479526542 2.60557423047e-05 -32.017229421 -11.6781359224
225 3691 -0.0525684907521 2.60332885397e-05 -31.9649600861 -11.6469177248
226 3744 -0.0527852288968 2.65121303987e-05 -31.9138048531 -11.7025348031
227 3689 -0.0530093938651 2.63147707024e-05 -31.861117972 -11.6903779837
228 3682 -0.0532320241003 2.59280546752e-05 -31.8090131097 -11.6550922575
229 3745 -0.0534489029776 2.62652426426e-05 -31.7584650682 -11.6488270276
230 3740 -0.0536683344812 2.59793709254e-05 -31.707532481 -11.6992558068
231 3796 -0.0538824752645 2.63372964307e-05 -31.6580307375 -11.7124239564
232 3765 -0.0541017289128 2.55357935188e-05 -31.6075533934 -11.6649979346
233 3930 -0.0543045772188 2.76393086642e-05 -31.5610377563 -11.5640096865
234 3618 -0.0545423687509 2.54244131115e-05 -31.506733993 -11.6215622981
235 3795 -0.0547520896926 2.60740701765e-05 -31.4590407733 -11.5937765706
236 3836 -0.054964348618 2.69597682364e-05 -31.4109602381 -11.6311567821
237 3677 -0.0551931317779 2.58406421715e-05 -31.359349267 -11.6193399665
238 3770 -0.0554071213186 2.60299112134e-05 -31.3112740196 -11.5968402903
239 3825 -0.0556192154642 2.64987362803e-05 -31.2638127404 -11.5577978445
240 3763 -0.0558394340343 2.60928678149e-05 -31.2147304657 -11.6201954202
241 3795 -0.0560543635161 2.59412151773e-05 -31.1670194586 -11.6983390026
242 3861 -0.0562646019731 2.65389571639e-05 -31.1205326308 -11.6650339323
243 3793 -0.0564831142635 2.62949249363e-05 -31.0724068636 -11.6030296602
244 3786 -0.0566997718858 2.64181973056e-05 -31.0248801963 -11.5674049391
245 3742 -0.0569206688686 2.6270546395e-05 -30.9766178339 -11.6040868971
246 3727 -0.0571415449985 2.6050829406e-05 -30.9285549858 -11.6094591693
247 3770 -0.0573574079712 2.59658244738e-05 -30.8817702572 -11.7140536864
248 3832 -0.0575692490887 2.65866247647e-05 -30.8360361164 -11.635016114
249 3750 -0.0577910619037 2.50051543481e-05 -30.7883380406 -11.6898207248
250 4030 -0.0579853220033 2.75355187421e-05 -30.7467226251 -11.5538612823
251 3723 -0.0582163629079 2.59972583995e-05 -30.6974185603 -11.6548401367
252 3781 -0.0584310195794 2.59698955229e-05 -30.6517955313 -11.6208705194
253 3849 -0.0586414265577 2.63456553037e-05 -30.6072473369 -11.6719781985
254 3827 -0.0588564267501 2.6310745954e-05 -30.5619011503 -11.6343769633
255 3811 -0.0590721746516 2.69607583869e-05 -30.5165735656 -11.6411582365
256 3653 -0.0593023339002 2.54067071191e-05 -30.4684117919 -11.6462054565
257 3842 -0.059508776369 2.64386923064e-05 -30.4253818728 -11.6695015558
258 3805 -0.0597252469247 2.62469202586e-05 -30.3804324355 -11.5482462755
259 3801 -0.059941277074 2.59776551583e-05 -30.3357476767 -11.5703269334
