10 100000 0.95 gpomdp sample_hoeffding 30000000

1 10 0 2.83139236953e-06 -56.6666666667 -12.9975982919
2 49 -1.67239542994e-05 1.55267188737e-05 -56.6511182142 -11.3022203813
3 53 -0.000160810532883 9.64906498734e-06 -56.5175578064 -11.7086962793
4 105 -0.000230902302945 1.43011924108e-05 -56.4528436689 -12.372855921
5 127 -0.000357132513218 2.00109745435e-05 -56.3367199726 -12.1430598345
6 86 -0.000549724500637 2.16654674918e-05 -56.1605853353 -11.6333597739
7 50 -0.000766748968788 9.27289750829e-06 -55.9635936058 -12.3333505041
8 104 -0.000843544483703 1.18805089472e-05 -55.8942610464 -12.2676735176
9 162 -0.000944982518186 1.46524300852e-05 -55.8029784277 -12.2684216588
10 189 -0.00108095146688 2.02705505141e-05 -55.6811504545 -12.1674008898
11 125 -0.00129498866456 1.6971325013e-05 -55.4905900127 -12.3828656826
12 116 -0.0014344449319 1.75719849728e-05 -55.3672235585 -11.3482793342
13 101 -0.00157590505584 9.72457773201e-06 -55.2427183983 -11.7916042041
14 199 -0.0016841735831 1.94141934977e-05 -55.1478549236 -12.2077319056
15 144 -0.00186192007238 2.02083955556e-05 -54.9929149828 -11.9949854865
16 96 -0.00205633962273 7.78465610356e-06 -54.8245690643 -11.530977059
17 235 -0.0021193521211 2.0512137611e-05 -54.7702580565 -12.0269975429
18 152 -0.00233327368058 1.81403098266e-05 -54.5867858164 -12.3527112493
19 125 -0.00251096034232 8.75197948044e-06 -54.4354494456 -11.5965512819
20 274 -0.00259924446389 2.21956527057e-05 -54.3606117424 -11.938052019
21 148 -0.0028103417493 1.87939700324e-05 -54.182611693 -12.2229646506
22 114 -0.00299099721555 7.10743270125e-06 -54.031330313 -12.4264601052
23 303 -0.0030581663067 8.25605535917e-06 -53.9753276525 -12.2976316139
24 702 -0.00312771116467 2.88979873371e-05 -53.9174832956 -12.1513562368
25 181 -0.00339455782881 2.07232639718e-05 -53.69683616 -12.31614725
26 114 -0.00358533195449 1.5066911425e-05 -53.5403478408 -12.5555436304
27 128 -0.00369892083848 1.52429410546e-05 -53.4476658706 -12.5089325055
28 141 -0.0038277961164 1.85846202572e-05 -53.3429531562 -12.1928453602
29 111 -0.00399756056663 1.91178369857e-05 -53.205729655 -11.7178252989
30 83 -0.00417652602724 1.02274285355e-05 -53.0619383137 -12.5051908975
31 155 -0.00426168021179 1.30108733895e-05 -52.99383146 -12.4927710264
32 215 -0.00436267203626 2.06576162002e-05 -52.913315899 -12.1537064733
33 137 -0.00457794781864 1.63193990088e-05 -52.7426168584 -12.0539545398
34 135 -0.00471747750322 1.42834261564e-05 -52.6326497314 -12.4126594019
35 164 -0.00485180487389 1.98347796252e-05 -52.5272767227 -12.083482312
36 113 -0.00504317708548 1.56333398378e-05 -52.3779854197 -11.9040728353
37 120 -0.00519060937249 8.90053230319e-06 -52.2636323126 -12.1547835098
38 259 -0.00529117797377 2.42815707384e-05 -52.1859553778 -11.9211491105
39 113 -0.00551689145281 2.06939959542e-05 -52.0125779042 -12.2983056857
40 72 -0.00571527893372 1.84544929975e-05 -51.8612758633 -12.5544784176
41 58 -0.00586974364868 1.35156051015e-05 -51.7441683186 -11.6877177861
42 77 -0.00596649729239 1.12070794038e-05 -51.6711227076 -12.1557664975
43 129 -0.00608425072718 1.64901839644e-05 -51.5825413471 -12.0460540611
44 125 -0.00624087184432 1.87281298693e-05 -51.4652596178 -11.8394594145
45 97 -0.00642312893029 1.30820371167e-05 -51.3295488661 -12.4110179346
46 133 -0.00653162535304 1.99664746519e-05 -51.249150438 -12.1729884622
47 91 -0.00671557004507 1.30786339607e-05 -51.1135016724 -12.0778696342
48 125 -0.00683420699964 2.46566997494e-05 -51.0264502051 -11.87702041
49 52 -0.00707212044799 1.26254355955e-05 -50.8529004859 -11.7138843157
50 75 -0.00718003809518 1.10331415301e-05 -50.7746247021 -12.8294945516
51 128 -0.00728150744646 1.32487660203e-05 -50.7012783558 -11.8896225461
52 173 -0.00740350207115 1.63572917937e-05 -50.6134174597 -12.1142309619
53 170 -0.00755061773934 2.05502606984e-05 -50.5079291075 -12.2702534005
54 109 -0.00772887037044 1.99334108521e-05 -50.3807901683 -12.4191823134
55 75 -0.00790662566179 6.18526693576e-06 -50.2547375388 -12.1248478966
56 224 -0.00795700871136 1.15370022625e-05 -50.2191411288 -11.8401347544
57 362 -0.00806342731703 2.05528584868e-05 -50.1441453374 -12.0060100296
58 232 -0.00824094328665 2.1127905223e-05 -50.0196181661 -11.9598199798
59 140 -0.00843035803183 1.99095797114e-05 -49.8875277162 -12.2726929514
60 96 -0.00864060829073 1.33537196211e-05 -49.74184618 -12.4438020194
61 128 -0.00874150104081 1.45031780717e-05 -49.672285932 -12.4548566385
62 152 -0.00886115999651 6.68566261716e-06 -49.5900778646 -12.0134732154
63 425 -0.00892837291018 2.7752186195e-05 -49.544038887 -11.8613610327
64 125 -0.00919498948882 9.82934028873e-06 -49.3623821792 -12.4323560211
65 243 -0.00928091646867 2.25730907856e-05 -49.3041639974 -11.8441023055
66 127 -0.009482258912 1.8178840423e-05 -49.1683678729 -12.2890556233
67 104 -0.00965453236191 1.04785800151e-05 -49.052861955 -11.8113606957
68 188 -0.00974739566254 1.08788254451e-05 -48.9908589007 -12.5509695957
69 326 -0.00983973166169 2.60229724542e-05 -48.9293874444 -12.1490645087
70 117 -0.0100873372346 2.02985056262e-05 -48.7654250548 -11.2840795473
71 77 -0.0102662515908 1.85084065834e-05 -48.6477387523 -11.577150141
72 61 -0.0104368001882 1.24725021567e-05 -48.5361660579 -12.1544971538
73 90 -0.0105486108771 1.20674189997e-05 -48.4633408605 -11.9109941219
74 138 -0.0106593122378 1.82797172074e-05 -48.3914873053 -12.2895449335
75 112 -0.0108253939343 2.17198362207e-05 -48.2841498227 -11.910676694
76 64 -0.0110124983717 1.19233660637e-05 -48.1638850476 -11.8547050865
77 100 -0.0111263718233 1.90410437888e-05 -48.0910304478 -11.8896447946
78 75 -0.0112832752574 1.60877940259e-05 -47.9910639445 -11.7241317936
79 76 -0.0114301297395 1.37953845351e-05 -47.8979359899 -12.0314997568
80 97 -0.0115734768584 8.1730448572e-06 -47.8074361973 -12.0466731647
81 227 -0.0116497168501 1.74253452644e-05 -47.7594650257 -11.7595631057
82 200 -0.0118285881683 1.69908397047e-05 -47.6473549089 -12.2235013604
83 184 -0.0119861485461 1.80320683289e-05 -47.5491073356 -11.6593065419
84 153 -0.0121495845995 1.96672202486e-05 -47.4476925841 -12.0762492499
85 108 -0.0123261577459 1.56701692544e-05 -47.3386901225 -11.8609867038
86 114 -0.0124810519249 1.21343981507e-05 -47.243549362 -11.8186939873
87 173 -0.0126030889666 1.77972437487e-05 -47.1689034898 -12.2411730994
88 147 -0.0127590020463 2.02386373694e-05 -47.073935598 -11.6518994047
89 98 -0.0129419427822 1.75059419666e-05 -46.963071477 -11.9980768401
90 86 -0.0131024120857 1.01479469164e-05 -46.8663251747 -11.8704319872
91 161 -0.0131817158479 2.01969309853e-05 -46.8186846563 -11.8323810132
92 107 -0.01336561702 1.23777175126e-05 -46.7086424268 -12.235552506
93 158 -0.0134534100042 1.9011580775e-05 -46.6563216781 -11.9039434826
94 119 -0.0136255492406 1.98451842064e-05 -46.5541303871 -11.6106915285
95 82 -0.013820594953 1.28562226383e-05 -46.438970314 -12.1702581494
96 116 -0.0139340446953 9.03679408327e-06 -46.3722922096 -12.4138893717
97 246 -0.0140126073307 2.43561777515e-05 -46.3262493547 -11.885295207
98 106 -0.0142348407747 1.49496284683e-05 -46.1965828069 -12.1336968574
99 120 -0.0143751829755 1.7729356808e-05 -46.1151335963 -12.1207925369
100 103 -0.0145433481804 1.62658736441e-05 -46.0179783354 -11.5861806294
101 102 -0.0146628325484 1.24925378025e-05 -45.9492383611 -12.0161361937
102 149 -0.0147755524132 1.67899722832e-05 -45.8846100336 -12.0387925097
103 140 -0.0149320923776 1.40920868693e-05 -45.7952095751 -12.2002690355
104 173 -0.0150589624475 2.01682401159e-05 -45.7230524753 -12.094268768
105 116 -0.0152575845414 8.8856932609e-06 -45.6106200506 -12.3295073922
106 250 -0.0153279271404 2.34852014357e-05 -45.5709570131 -11.9094428512
107 118 -0.0155396898443 1.26166215374e-05 -45.4520402997 -11.9859402725
108 170 -0.0156423446257 1.85101504091e-05 -45.3946553951 -11.977476051
109 135 -0.0158023589592 1.75598026408e-05 -45.3055442914 -11.6689034996
110 118 -0.0159851095028 1.47652527829e-05 -45.2042724722 -12.2664538247
111 137 -0.0161173184785 2.08907605809e-05 -45.1313391898 -11.5387209184
112 85 -0.0163129584779 1.98848057745e-05 -45.0239198736 -11.8193136158
113 59 -0.0164989183307 6.6796506464e-06 -44.9223711086 -12.5757705347
114 166 -0.0165681792553 2.05398634513e-05 -44.8846866699 -11.6874493344
115 107 -0.0167558836558 1.26435161237e-05 -44.782930702 -12.1306248679
116 154 -0.0168572428373 1.90169640758e-05 -44.7282084575 -12.3013059006
117 116 -0.0170232755086 1.05804903439e-05 -44.6389092507 -12.2186418532
118 208 -0.017141266287 2.04152359802e-05 -44.5757036483 -12.0379876987
119 135 -0.0173281456061 1.51424432365e-05 -44.4760258104 -12.1672958081
120 150 -0.0174622598709 2.10102472704e-05 -44.4048148721 -12.0247347457
121 92 -0.0176889812614 1.4379282278e-05 -44.2850413195 -12.0440752592
122 111 -0.0178152421122 1.60456615962e-05 -44.2186692077 -11.9494290775
123 113 -0.0179819689554 1.75449158955e-05 -44.1313838389 -12.1607323556
124 99 -0.0181386745241 9.83618405526e-06 -44.0497146795 -12.0808780816
125 192 -0.018232005753 2.24854269744e-05 -44.0012431912 -12.0870793278
126 101 -0.0184225204973 1.55253021944e-05 -43.9026894768 -11.8135275855
127 108 -0.0185568431585 1.16426916306e-05 -43.8335168795 -12.1055252369
128 173 -0.0186719973416 1.3817807105e-05 -43.7744202585 -11.8514200207
129 220 -0.0187922350299 1.85361257839e-05 -43.7129154715 -12.0583688666
130 173 -0.0189435357569 1.30661536244e-05 -43.635810852 -11.8345965411
131 238 -0.0190765903924 2.00775019458e-05 -43.5682700056 -11.7289736522
132 160 -0.0192683688989 1.02928040286e-05 -43.4713539746 -11.9087549181
133 295 -0.0193787805084 1.74383410746e-05 -43.4157881383 -12.1342541913
134 260 -0.0195274060808 2.143054414e-05 -43.3412557524 -11.8095289698
135 152 -0.0197218499543 1.24081695212e-05 -43.2442029295 -11.5803519247
136 224 -0.0198403593348 2.08508487761e-05 -43.1853034806 -12.0007819296
137 140 -0.0200123401003 1.52938372593e-05 -43.1001660839 -11.7831451265
138 153 -0.0201537662028 1.46152955636e-05 -43.0304521311 -11.5187949391
139 180 -0.0202720760877 1.09933262258e-05 -42.9723381485 -12.2307842218
140 308 -0.0203623495766 2.14054419968e-05 -42.9281208081 -11.7919867716
141 181 -0.0205790407808 2.04442910206e-05 -42.8224216252 -12.0158757823
142 118 -0.0207502214633 1.77196099236e-05 -42.7393577871 -11.7138553114
143 101 -0.0209277190997 1.30905556906e-05 -42.6536319557 -11.071444832
144 139 -0.0210230351213 1.47334789412e-05 -42.6077657135 -12.4062896541
145 161 -0.0211623943337 1.86539955084e-05 -42.5409164774 -12.1075502262
146 126 -0.0213445633848 1.82134268639e-05 -42.4539070053 -11.5370904607
147 103 -0.0214938023003 1.36424215686e-05 -42.3829408317 -12.0436635733
148 134 -0.0216132011855 1.48413068764e-05 -42.3263671867 -11.9549657467
149 154 -0.0217689461707 2.13238400323e-05 -42.252841678 -11.7749500662
150 92 -0.0219628731119 9.58614189193e-06 -42.1617149803 -12.2146326942
151 184 -0.0220482926579 1.72102914982e-05 -42.1217245278 -11.5672158053
152 166 -0.0222190855246 1.46135487445e-05 -42.0420357708 -11.9803481273
153 195 -0.022350579304 2.22926025789e-05 -41.9809277026 -11.7128362611
154 105 -0.0225483190661 1.71416441269e-05 -41.8894314534 -12.1046888769
155 96 -0.022703322631 1.35855773091e-05 -41.818041669 -11.6948804201
156 125 -0.0228332311512 1.51517453465e-05 -41.7584331961 -11.3279470915
157 139 -0.0229558107935 1.61908640433e-05 -41.7023733294 -12.0365620412
158 139 -0.0230869990037 1.30254831824e-05 -41.6425752832 -12.2060389343
159 192 -0.0232059694234 1.66364940516e-05 -41.5885232112 -11.5518499309
160 184 -0.0233457307895 1.56706652768e-05 -41.5252389725 -11.8358346997
161 194 -0.0234786045729 1.35939910033e-05 -41.4652865769 -11.9649665256
162 253 -0.0235949464113 1.62502620617e-05 -41.4129630929 -12.0236285362
163 251 -0.0237345722704 2.01829271102e-05 -41.3503760448 -11.6521533932
164 167 -0.0239231549331 2.18825619406e-05 -41.2662026566 -11.808819651
165 94 -0.0241376804886 1.07626134211e-05 -41.1709470829 -12.0515578841
166 165 -0.024250647532 2.18994915912e-05 -41.120997811 -11.7920653028
167 92 -0.0244469865906 1.46661648319e-05 -41.0345296017 -11.2015433996
168 108 -0.0245808615923 1.6129840634e-05 -40.9758201985 -11.8755509822
169 109 -0.0247333182644 1.35552836301e-05 -40.9092068536 -11.8943747505
170 143 -0.0248436741363 1.73219991516e-05 -40.8611505919 -12.0726087596
171 128 -0.0249807534344 1.86936514843e-05 -40.801645509 -12.1427237938
172 100 -0.0251657769603 1.34232365134e-05 -40.721657304 -12.289763929
173 133 -0.0252727508611 1.53788229366e-05 -40.6755825803 -11.6027979931
174 145 -0.0253890814093 1.18136232809e-05 -40.625619798 -12.2019969655
175 228 -0.0254773230576 1.45300379222e-05 -40.5878191624 -12.1322541707
176 270 -0.0255988813955 2.22799683083e-05 -40.535884683 -11.7655671889
177 145 -0.025807182024 1.67300400608e-05 -40.4472609938 -11.7651960115
178 137 -0.0259759682082 1.17058297377e-05 -40.3757901956 -11.6255413484
179 217 -0.0260805259208 1.53966927478e-05 -40.3316685213 -12.2384663129
180 235 -0.0262095932631 1.81919688297e-05 -40.2773639805 -11.6949414594
181 192 -0.0263729750597 1.49283475315e-05 -40.2088737522 -12.0270863555
182 218 -0.0265111557203 1.90606722422e-05 -40.1511665051 -11.6285562417
183 163 -0.0266868649764 2.1053535722e-05 -40.0780740926 -11.9610152847
184 100 -0.0268772381086 1.75918201079e-05 -39.9992428689 -11.72047049
185 87 -0.0270275454367 4.58631488781e-06 -39.9372660743 -12.0875033795
186 322 -0.0270695422018 1.37645804406e-05 -39.9199907756 -11.8403062988
187 412 -0.0271925851208 2.53718084516e-05 -39.8694809411 -11.8800257565
188 159 -0.0274108248343 1.790473327e-05 -39.7802706953 -11.8017601171
