100 100000 0.5 reinforce cheb_reinforce 30000000

1 100 0 2.1779039761e-05 -56.6666666667 -11.972369063
2 28544 -0.000204054845957 1.63947551385e-05 -56.4776114995 -12.1468034206
3 27890 -0.00035945440997 1.68142870268e-05 -56.3345890383 -12.1793328881
4 26116 -0.00052415427487 1.55573619695e-05 -56.1838987527 -12.1498375361
5 27782 -0.000671902618752 1.62874552978e-05 -56.0494922345 -12.1450735937
6 27442 -0.000827538739524 1.59615828387e-05 -55.9086953031 -12.1170243323
7 28018 -0.000978486198172 1.60544347018e-05 -55.7729031112 -12.1293074557
8 28338 -0.00112945282913 1.61558681623e-05 -55.6378390375 -12.1201267911
9 28368 -0.00128129261014 1.61937752217e-05 -55.5027395215 -12.1104160543
10 28289 -0.00143370099112 1.57899174251e-05 -55.3678800164 -12.1310497572
11 29391 -0.00157949616351 1.73592156778e-05 -55.2395659769 -12.123703233
12 26043 -0.0017497731964 1.57043302715e-05 -55.0905570634 -12.096797198
13 27293 -0.0019002459139 1.60099116807e-05 -54.9596361405 -12.1568240692
14 27729 -0.00205243602478 1.65791239475e-05 -54.8279376347 -12.1298485712
15 26592 -0.00221337327744 1.57139821375e-05 -54.6894473412 -12.0909119812
16 27841 -0.0023624492233 1.61847971157e-05 -54.5618712673 -12.1469840171
17 27788 -0.00251613799222 1.60379042463e-05 -54.4310539257 -12.1116122151
18 28152 -0.00266744503106 1.60875561553e-05 -54.3029587388 -12.1203453769
19 28378 -0.00281861653861 1.61568415755e-05 -54.1756612863 -12.1290636046
20 28405 -0.00297036590608 1.64832726694e-05 -54.048558377 -12.098040905
21 27506 -0.00312769087022 1.64324552713e-05 -53.917500155 -12.1310014931
22 26773 -0.00328666310481 1.56689144181e-05 -53.7858027416 -12.0884038289
23 28160 -0.00343446932707 1.60780400057e-05 -53.6640113116 -12.1036023983
24 28413 -0.00358545701997 1.64597644732e-05 -53.540245593 -12.0934288683
25 27579 -0.00374234837036 1.61703794634e-05 -53.4123281231 -12.0888726302
26 27567 -0.00389651506745 1.59752347847e-05 -53.2873092497 -12.0994554261
27 28106 -0.0040473532175 1.58785235626e-05 -53.1656340515 -12.0775607968
28 28939 -0.00419510642804 1.65350528092e-05 -53.0470605449 -12.1324988503
29 27876 -0.00435187376673 1.62397528995e-05 -52.9219114575 -12.0787089619
30 27669 -0.00450641780379 1.59993928739e-05 -52.7991955474 -12.1335714542
31 28141 -0.00465739036843 1.59985998614e-05 -52.6799417125 -12.1276991501
32 28624 -0.00480707802647 1.62485536035e-05 -52.5623090547 -12.0922009495
33 28386 -0.00495974021758 1.6311857117e-05 -52.442955821 -12.1006042065
34 27970 -0.00511413326421 1.58073542636e-05 -52.3228781735 -12.1234108721
35 29008 -0.00526104945495 1.61790845907e-05 -52.209198229 -12.082039532
36 28970 -0.00541151826042 1.62691765364e-05 -52.0933538626 -12.0441853631
37 28669 -0.00556361768915 1.585225412e-05 -51.976850699 -12.1049612774
38 29597 -0.00570947619462 1.63650576407e-05 -51.8656870588 -12.0496093097
39 29006 -0.00586158064084 1.61545752258e-05 -51.7503419379 -12.064925047
40 29040 -0.00601163996919 1.63909256575e-05 -51.6371224001 -12.0416772535
41 28385 -0.00616564081752 1.62262597074e-05 -51.5215180083 -12.0792212718
42 28212 -0.00631856098741 1.60539153465e-05 -51.4073107748 -12.0629892669
43 28535 -0.00646899882933 1.62061076363e-05 -51.2955228654 -12.1177417703
44 28420 -0.00662117147665 1.60263556522e-05 -51.183012098 -12.0964755333
45 28826 -0.00677059134397 1.64823476546e-05 -51.0730866521 -12.0575746419
46 27916 -0.00692674713888 1.62915143831e-05 -50.9587837456 -12.0591930555
47 27563 -0.00708207994551 1.56677939118e-05 -50.8456649517 -12.0169856988
