100 100000 0.95 reinforce cheb_reinforce 30000000
38 14725 -0.00566808228294 1.57311810959e-05 -51.8971793427 -12.0986360025
39 15390 -0.00581370635692 1.61461699132e-05 -51.7865829109 -12.0744433419
40 15422 -0.0059630200278 1.64317585625e-05 -51.6737438243 -12.0718608932
41 15012 -0.00611703186149 1.68643701e-05 -51.5579433062 -12.0594325077
42 13986 -0.0062807947511 1.58932154073e-05 -51.4354621439 -12.0554595503
43 14379 -0.00643300311461 1.55314907595e-05 -51.3222198821 -12.0581945831
44 15337 -0.00657702907269 1.66231240592e-05 -51.2155909522 -12.081864246
45 14643 -0.00673478891898 1.56857111534e-05 -51.0993764055 -12.1238931273
46 15375 -0.0068800620765 1.68234333827e-05 -50.9928946276 -12.0435585944
47 14384 -0.00704115284046 1.56122828568e-05 -50.8754134602 -12.0703172163
48 15217 -0.00718649854154 1.62288816342e-05 -50.7699475424 -12.1298798146
49 15121 -0.00733806246326 1.62678262765e-05 -50.6605036626 -12.1023668815
50 14966 -0.00749077299263 1.57659663294e-05 -50.5507792949 -12.0496597363
51 15587 -0.0076357952474 1.60240348738e-05 -50.447084077 -12.0936360283
52 15814 -0.00778213026519 1.6708159969e-05 -50.3429453065 -12.0699247664
53 14968 -0.00793896196393 1.58394977937e-05 -50.2318847577 -12.1113722609
54 15473 -0.00808519597443 1.66097199774e-05 -50.1288362168 -12.1286090988
55 14793 -0.00824202772127 1.64794947743e-05 -50.0188596274 -12.0392056116
56 14330 -0.00840011880223 1.54588731719e-05 -49.9085613925 -12.0769900713
57 15398 -0.00854318697083 1.65388786574e-05 -49.8092267997 -12.0910602571
58 14827 -0.00869916847399 1.67761912415e-05 -49.7014446543 -12.0892733292
59 13938 -0.00886235729179 1.55732827209e-05 -49.5892568862 -12.070035311
60 14803 -0.00900934960475 1.6156009063e-05 -49.4887030274 -12.0188906252
61 14819 -0.00916176379005 1.57799255647e-05 -49.3849362403 -12.0504078701
62 15412 -0.00930773606341 1.5547021608e-05 -49.2860253753 -12.0534515055
63 16413 -0.00944710070246 1.72933090283e-05 -49.1920181108 -12.0672099149
64 14641 -0.00961123138679 1.60975369935e-05 -49.0818353112 -12.0584382494
65 14744 -0.00976347942926 1.63096389496e-05 -48.9801384946 -12.0258621353
66 14531 -0.00991885668744 1.56214254432e-05 -48.8768528594 -12.0470473863
67 15358 -0.0100636172727 1.64713788648e-05 -48.7810771164 -12.07095508
68 14890 -0.0102186329111 1.5530575474e-05 -48.6789970836 -12.0813227762
69 15883 -0.0103601510022 1.66314214258e-05 -48.5862364213 -12.0491337029
70 15151 -0.0105153181619 1.59734616862e-05 -48.4849987731 -12.0667061384
71 15451 -0.0106628960213 1.61223217337e-05 -48.3891652863 -12.0244421921
72 15520 -0.0108115146102 1.61061273357e-05 -48.2930987869 -12.0489557081
73 15615 -0.0109595318285 1.62234421387e-05 -48.19785967 -12.0632801589
74 15525 -0.0111090603136 1.65552232781e-05 -48.1020896105 -12.0324488276
75 14925 -0.011264684937 1.58268481634e-05 -48.0028830277 -12.0487847526
76 15448 -0.0114109185272 1.61945425859e-05 -47.9100949327 -11.982728888
