100 100000 0.75 reinforce cheb_reinforce 30000000

1 100 0 1.702782262e-05 -56.6666666667 -12.0818212265
2 17560 -0.000166081819995 1.53929444376e-05 -56.5126851108 -12.1598609104
3 18995 -0.00031043371016 1.66819766489e-05 -56.3796168369 -12.1116824028
4 18027 -0.000471020093378 1.56899608072e-05 -56.2324134958 -12.1735645244
5 18920 -0.000618448533646 1.667078851e-05 -56.0980352339 -12.1806704087
6 17976 -0.000779153808087 1.5849746581e-05 -55.952381071 -12.0959304658
7 18563 -0.000929510190391 1.63246308926e-05 -55.8168799142 -12.1391818178
8 18267 -0.00108562045194 1.64555900182e-05 -55.6769777548 -12.1486529629
9 17739 -0.00124530989962 1.56901712966e-05 -55.5346878651 -12.0996235182
10 18618 -0.00139393388557 1.62911685347e-05 -55.4029964734 -12.096020901
11 18384 -0.00154923007654 1.71089666241e-05 -55.266147575 -12.1618870652
12 16708 -0.00172030375746 1.4954361882e-05 -55.1162803612 -12.1271209792
13 18899 -0.00186089810999 1.6415345611e-05 -54.993802993 -12.097842778
14 18427 -0.00201719154379 1.665440383e-05 -54.8583728084 -12.168609152
15 17537 -0.00217973729463 1.52248989212e-05 -54.7183261527 -12.0872503823
16 19298 -0.00232139019999 1.71746261715e-05 -54.5969411689 -12.1202612096
17 17423 -0.00248956298764 1.54884702164e-05 -54.4536231064 -12.1448916058
18 18665 -0.00263609084226 1.61166101487e-05 -54.329446557 -12.1104956378
19 18759 -0.00278817670841 1.65375980467e-05 -54.2012392166 -12.1367110162
20 18066 -0.00294720330419 1.61286744008e-05 -54.0679150952 -12.0831618718
21 18135 -0.00310200035388 1.61181594019e-05 -53.9388519602 -12.1107284419
22 18224 -0.00325631955243 1.60475576386e-05 -53.8108836415 -12.1488183011
23 18445 -0.00340903901808 1.58532836958e-05 -53.6849209483 -12.0918402961
24 19040 -0.00355753133525 1.67442905489e-05 -53.5630874106 -12.116470979
25 17956 -0.00371903630794 1.60310438174e-05 -53.4312909303 -12.1206717063
26 18204 -0.00387260416276 1.5569180409e-05 -53.306655634 -12.0636273441
27 19342 -0.00401729386658 1.62845214411e-05 -53.1898311316 -12.1601809455
28 19111 -0.00416954234741 1.64828858238e-05 -53.0675327765 -12.1312098414
29 18507 -0.00432614134994 1.6163134125e-05 -52.9424076501 -12.133893294
30 18513 -0.00447967794445 1.62697228054e-05 -52.8203818375 -12.0952374268
31 18320 -0.00463503980596 1.55331786234e-05 -52.6975576746 -12.1029707473
32 19537 -0.00477867405689 1.68478163232e-05 -52.5845842412 -12.0867919816
33 18232 -0.0049399412877 1.54104847177e-05 -52.4583998815 -12.0939014288
34 19687 -0.0050818959608 1.64726508508e-05 -52.3478984245 -12.1016692452
35 19085 -0.00523601127353 1.57896815967e-05 -52.2285321467 -12.1164675271
36 19829 -0.0053809380196 1.63429940411e-05 -52.1168495972 -12.0886146333
37 19477 -0.00553229339422 1.65500999819e-05 -52.0007952577 -12.0501438174
38 18733 -0.00568857829874 1.58551081862e-05 -51.881580599 -12.1101442958
39 19334 -0.00583595535008 1.63858848101e-05 -51.769733123 -12.0946096944
40 18908 -0.00598997294277 1.61088541422e-05 -51.6534350435 -12.1089705939
41 19018 -0.00614094622039 1.64292867769e-05 -51.5400156132 -12.0547540923
42 18517 -0.00629699250107 1.63511120821e-05 -51.4233838299 -12.0751439145
43 18173 -0.00645376050097 1.59210849536e-05 -51.3068208152 -12.0953301614
44 18631 -0.00660451787186 1.59601394113e-05 -51.1952975296 -12.0832095488
45 19025 -0.00675407216172 1.63058578625e-05 -51.0852128403 -12.0768536611
46 18757 -0.00690795137992 1.59245008053e-05 -50.9725107357 -12.0564155742
47 19223 -0.0070564008539 1.57229523055e-05 -50.8643255257 -12.0710695715
48 20108 -0.00719970957662 1.64979500166e-05 -50.7603862536 -12.0685732337
49 19443 -0.00735263324432 1.66751496168e-05 -50.6500107284 -12.1095065905
50 18465 -0.00751123889804 1.59155713334e-05 -50.5361158324 -12.0923860484
51 18941 -0.00766070586233 1.6374234638e-05 -50.429321502 -12.0484765977
52 18546 -0.0078161106031 1.55878901504e-05 -50.3188341041 -12.1025512501
53 19668 -0.00795976884322 1.69101162764e-05 -50.2171927309 -12.0781725019
54 18239 -0.00812160264063 1.50816617385e-05 -50.1032567672 -12.1074584024
55 20365 -0.00825819579465 1.66117782993e-05 -50.0075535532 -12.0724095925
56 19465 -0.00841208541861 1.62100075631e-05 -49.9002352581 -12.0592422821
57 19379 -0.00856258771368 1.6821490789e-05 -49.7957916488 -12.1505351449
58 18133 -0.00872404244728 1.48432437122e-05 -49.6843066459 -12.032402727
59 20745 -0.0088572395178 1.67588954156e-05 -49.5927663336 -12.0498309724
60 19535 -0.00901221492523 1.63309513251e-05 -49.48674761 -12.0687726368
61 19211 -0.00916449958447 1.60871764911e-05 -49.3830782457 -12.0603187844
62 19366 -0.00931391153616 1.62662971006e-05 -49.2818509656 -12.0655753882
63 19170 -0.00946575494134 1.59626012861e-05 -49.1794664949 -12.0504332772
64 19570 -0.00961323291527 1.59184116255e-05 -49.0804951846 -12.0821070999
65 20069 -0.00975846567215 1.68499283974e-05 -48.9834797607 -12.0477737462
66 18725 -0.00991761804958 1.58085233627e-05 -48.8776742396 -12.011969334
67 19418 -0.0100642461661 1.66792509062e-05 -48.7806619791 -12.0120845459
68 18434 -0.0102230259273 1.52931389006e-05 -48.6761114274 -12.0405571259
