100 500000 0.95 gpomdp hoeffding 30000000

1 100 0 3.35777412038e-05 -56.6666666667 -12.3006850155
2 114196 -0.000276360529649 1.90703095535e-05 -56.4109626557 -12.1295681086
3 85045 -0.000458239976411 1.61819900074e-05 -56.244096674 -12.1315974156
4 84908 -0.000612697505115 1.61609971022e-05 -56.1032635613 -12.1448688472
5 84952 -0.000766914713045 1.60620171174e-05 -55.9634437587 -12.1386971118
6 85854 -0.000919380015333 1.6222814625e-05 -55.8259858668 -12.0983000474
7 85361 -0.00107381544698 1.60768850705e-05 -55.6875293279 -12.1666162101
8 86137 -0.00122617075312 1.63012176352e-05 -55.5516981372 -12.1344929127
9 84964 -0.001381714785 1.62056567903e-05 -55.4137967366 -12.1142882419
10 84623 -0.00153665785362 1.60523108233e-05 -55.2771978354 -12.1341356306
11 85606 -0.00168925174882 1.62658199549e-05 -55.1434145777 -12.1002364332
12 84744 -0.00184465935948 1.60343789856e-05 -55.0079176445 -12.1392209685
13 85884 -0.00199683538295 1.6212177275e-05 -54.8759687521 -12.1108018788
14 85483 -0.00215105934733 1.62042485677e-05 -54.7429755383 -12.1340912746
15 85152 -0.00230550688315 1.61682089898e-05 -54.6105214004 -12.1132598111
16 85133 -0.00245962808469 1.61204851576e-05 -54.4790712335 -12.1123214692
17 85528 -0.00261293982809 1.62032383739e-05 -54.3490232619 -12.1097049398
18 85206 -0.00276732918947 1.61853653138e-05 -54.2187728015 -12.1062929033
19 85039 -0.00292169934169 1.6125633497e-05 -54.0892467296 -12.1315144701
20 85389 -0.00307518487506 1.60865093772e-05 -53.9611592948 -12.111086169
21 86081 -0.00322768085212 1.61101102377e-05 -53.834579832 -12.0874685789
22 86571 -0.00337996773977 1.62662485095e-05 -53.7088470732 -12.1174357471
23 85695 -0.00353451419618 1.60799207652e-05 -53.5819309964 -12.10128509
24 86447 -0.00368662445007 1.62153504354e-05 -53.4576813495 -12.1021282752
25 86016 -0.00384040022921 1.60877987011e-05 -53.3327372796 -12.1045208861
26 86702 -0.0039923615121 1.61891979077e-05 -53.2099201818 -12.102811269
27 86499 -0.00414546008184 1.61548693689e-05 -53.0868348526 -12.0957723045
28 86597 -0.00429814701564 1.61334235692e-05 -52.9647260948 -12.0851562004
29 86884 -0.00445037921139 1.62295971883e-05 -52.8436178701 -12.102966781
30 86326 -0.00460401354206 1.60435602953e-05 -52.7220338687 -12.1117134165
31 87406 -0.00475494538635 1.62541493295e-05 -52.603209486 -12.0978639952
32 86628 -0.00490854317026 1.61666865987e-05 -52.48291318 -12.0897353065
33 86623 -0.00506131955511 1.61735799532e-05 -52.3638826568 -12.081295656
34 86557 -0.00521421895878 1.6240037407e-05 -52.2453730271 -12.0780332653
35 85910 -0.00536832383034 1.60877652164e-05 -52.1265485372 -12.0902876865
36 86595 -0.00552037825814 1.62416464073e-05 -52.009909926 -12.0796456755
37 85933 -0.00567447715523 1.59658807622e-05 -51.8923112933 -12.0690784131
38 87697 -0.00582442888719 1.62441674737e-05 -51.7784608679 -12.0811225383
39 87005 -0.00597759987636 1.62724624797e-05 -51.6627557653 -12.0748164473
40 86071 -0.00613186790383 1.60961459744e-05 -51.5468196004 -12.0931912108
41 86684 -0.00628392384273 1.61361351996e-05 -51.4331283401 -12.0934162018
42 86948 -0.00643612613901 1.60903056985e-05 -51.3199023582 -12.0764608952
43 87619 -0.00658731357321 1.62966702213e-05 -51.2079963254 -12.0798487382
44 86466 -0.00674145796905 1.60207200133e-05 -51.0944769596 -12.0642240918
45 87751 -0.00689187840333 1.62342624203e-05 -50.9842559567 -12.0771910588
46 87146 -0.00704483201588 1.61318866941e-05 -50.8727375567 -12.0708572519
47 87449 -0.00719655765181 1.60076665127e-05 -50.7626670357 -12.0760953233
48 88866 -0.00734590941587 1.61863268879e-05 -50.6548521734 -12.0682874256
49 88683 -0.00749708358572 1.61839530411e-05 -50.5462568213 -12.0639855092
50 88522 -0.00764837323627 1.61919168159e-05 -50.4381135109 -12.0780800083
51 88290 -0.00779993614099 1.6228256061e-05 -50.3303075916 -12.0758454819
52 87735 -0.00795231930335 1.60420219332e-05 -50.2224518166 -12.0688933102
53 88846 -0.00810200823718 1.62175354433e-05 -50.1170201228 -12.0835089325
54 88383 -0.00825373095568 1.62277635994e-05 -50.0106751544 -12.0635404787
55 87831 -0.00840602549881 1.61386852849e-05 -49.9044512297 -12.057243038
56 88075 -0.00855727417582 1.61174596146e-05 -49.7994704795 -12.0684133005
57 88510 -0.00870795218534 1.61507432904e-05 -49.6953911749 -12.0602363195
58 88648 -0.00885882444415 1.62083154146e-05 -49.5916794295 -12.0566576005
59 88269 -0.00901055916659 1.61451549668e-05 -49.4878775488 -12.0400492564
60 88456 -0.00916154215714 1.60944640585e-05 -49.3850867677 -12.0561389359
61 89101 -0.0093115057077 1.62445906403e-05 -49.2834771267 -12.0475788395
62 88394 -0.00946347233754 1.61496123718e-05 -49.1810019608 -12.0575954354
63 88542 -0.00961442432588 1.60366905828e-05 -49.0796975139 -12.0608224592
64 89712 -0.00976333972314 1.62417397865e-05 -48.9802315904 -12.0475466908
65 89026 -0.00991473949593 1.61129969081e-05 -48.8795832236 -12.0402169941
66 89507 -0.0100645351309 1.62614839676e-05 -48.780471234 -12.04431974
67 88645 -0.0102164445073 1.61567002988e-05 -48.6804347361 -12.0423715165
68 88729 -0.0103673030325 1.60916046134e-05 -48.5815593603 -12.0505823975
69 89402 -0.0105169873789 1.60810775932e-05 -48.4839123629 -12.0307600118
70 90176 -0.010665930124 1.64143998525e-05 -48.3871996206 -12.0243280617
71 87933 -0.0108198875174 1.61270060375e-05 -48.2876997316 -12.035282788
72 88282 -0.0109708495673 1.60232113658e-05 -48.1905953978 -12.0253540393
73 89571 -0.0111197568326 1.60982853037e-05 -48.0952556248 -12.0486252403
74 90189 -0.0112688483603 1.62553452172e-05 -48.0002354796 -12.0304466794
75 89376 -0.0114200780579 1.6231126857e-05 -47.9042968919 -12.0357315987
76 88788 -0.0115715814477 1.60547059824e-05 -47.8086302409 -12.0160584027
77 89797 -0.0117205936449 1.61957140962e-05 -47.7149686928 -12.015418631
78 89527 -0.0118711409955 1.62119659863e-05 -47.6207743545 -12.0256875238
79 89111 -0.0120221909724 1.60872770108e-05 -47.5266990806 -12.0360709691
80 89826 -0.0121714811839 1.62127949774e-05 -47.4341436116 -12.0273812189
81 89401 -0.0123222936077 1.61518024301e-05 -47.3410693009 -12.0282626088
82 89530 -0.0124724300748 1.60697324698e-05 -47.2488334632 -12.0471176323
83 90410 -0.0126210757023 1.62313764172e-05 -47.157924845 -12.0387311268
84 89813 -0.0127717144679 1.61053959939e-05 -47.066212002 -12.0278444111
85 90368 -0.0129207245199 1.62657826941e-05 -46.9758987683 -12.0157934094
86 89458 -0.0130719814336 1.60701523374e-05 -46.8846359646 -12.0271703577
87 90333 -0.0132206939217 1.62265345649e-05 -46.7953105632 -12.0225601676
88 89780 -0.0133713149211 1.6015203633e-05 -46.7052425724 -12.0070782107
89 91165 -0.0135188409185 1.63652959797e-05 -46.61741663 -11.9978913696
90 89341 -0.0136711231985 1.59585132094e-05 -46.5271626265 -12.0054516427
91 91243 -0.0138180642644 1.61462587029e-05 -46.4404602375 -12.0271076967
92 91427 -0.0139665847493 1.61209396016e-05 -46.3532086312 -12.0043853452
93 91847 -0.0141145328566 1.62945247698e-05 -46.2666733357 -12.019175343
94 90658 -0.0142650513839 1.61241644347e-05 -46.1790213128 -11.9879012483
95 91044 -0.0144136796849 1.61927886042e-05 -46.0928502679 -12.0097116112
96 90797 -0.0145631432902 1.61448405162e-05 -46.006573469 -12.0048003309
97 90993 -0.0147120043098 1.62190016245e-05 -45.9210193609 -12.0021390338
98 90506 -0.0148619510841 1.61410703779e-05 -45.8352169828 -11.9992614535
99 90736 -0.0150109878947 1.60824738536e-05 -45.7503065614 -11.9903404699
100 91509 -0.0151588550218 1.63205383255e-05 -45.6664259641 -12.0122632483
101 90086 -0.0153100914218 1.6000153385e-05 -45.5810061189 -12.021029998
102 91616 -0.015457115894 1.62703953036e-05 -45.4983235598 -11.9815757496
103 90651 -0.0156074168203 1.60881189164e-05 -45.414161246 -11.9891196473
104 91371 -0.0157554475822 1.61565673129e-05 -45.3316264079 -11.9948163511
105 91459 -0.0159040364542 1.61811724379e-05 -45.2491336928 -11.99558883
106 91319 -0.0160529658042 1.61404186751e-05 -45.1668048784 -11.9795439197
107 91557 -0.0162013268084 1.61129114256e-05 -45.0851393292 -11.9758992084
108 92052 -0.0163490360349 1.61600686114e-05 -45.0041764873 -11.9858803631
109 92108 -0.0164971326445 1.62060515512e-05 -44.9233436736 -11.9816504775
110 91735 -0.0166459522772 1.61853932111e-05 -44.8424593804 -11.9842935206
111 91555 -0.0167947280627 1.60778234869e-05 -44.7619405954 -11.9847621044
112 92378 -0.0169418550456 1.62720617625e-05 -44.6826480226 -11.962892641
113 91390 -0.017091562778 1.6069261126e-05 -44.6023032405 -11.9809754978
114 92292 -0.0172386801524 1.62988331288e-05 -44.5236793632 -11.9750626401
115 91057 -0.0173889078936 1.60182832169e-05 -44.4437294 -11.9600713087
116 92433 -0.0175354468443 1.61893027304e-05 -44.3660678462 -11.9911327156
117 92215 -0.0176837250386 1.6112154878e-05 -44.2878094789 -11.9952570698
118 92721 -0.0178308937717 1.61331645253e-05 -44.2104578728 -11.9683498437
119 93031 -0.0179780085156 1.61958246523e-05 -44.1334525067 -11.9638309268
120 92750 -0.0181259178514 1.61345394757e-05 -44.0563496446 -11.9686508876
121 93047 -0.0182730323934 1.61571631415e-05 -43.9799758736 -11.9672230196
122 93131 -0.0184202868447 1.62487806035e-05 -43.9038419296 -11.9640034562
123 92353 -0.0185689990783 1.61325697404e-05 -43.8272696107 -11.9654019272
124 92667 -0.0187163967527 1.61703145742e-05 -43.7516849539 -11.9703181006
125 92627 -0.0188641714947 1.609568922e-05 -43.6762156504 -11.9733013417
126 93291 -0.0190107399877 1.63046991359e-05 -43.6016658713 -11.9738155316
127 91988 -0.0191602594688 1.60917925101e-05 -43.5259246638 -11.9636849834
128 92684 -0.0193072714745 1.61440597273e-05 -43.4517566242 -11.9660199448
129 92891 -0.0194545963714 1.60410711525e-05 -43.3777302804 -11.9680735755
130 94077 -0.0196000560485 1.62230569849e-05 -43.3049335963 -11.9533241499
131 93534 -0.0197475918128 1.6210945204e-05 -43.2313929752 -11.938454863
132 93109 -0.0198953539247 1.61130939415e-05 -43.1580355908 -11.9611929663
133 93611 -0.020041829938 1.61752569956e-05 -43.0856073872 -11.9587296782
134 93524 -0.020188939513 1.61648395278e-05 -43.0131554745 -11.9444557
135 93536 -0.0203359449901 1.6154491394e-05 -42.9410430007 -11.9450472164
