100 500000 0.75 gpomdp hoeffding 30000000

1 100 0 3.42277316095e-05 -56.6666666667 -12.1466539975
2 125211 -0.000308808656283 1.73187258205e-05 -56.3811109196 -12.1451710315
3 111400 -0.000474463612287 1.60582329282e-05 -56.2292664793 -12.142620626
4 112626 -0.000627224160451 1.61499094171e-05 -56.0900593347 -12.1385646267
5 112811 -0.000780730795268 1.61915632493e-05 -55.9509560222 -12.1298508133
6 112519 -0.000934832430458 1.61441790036e-05 -55.8120971337 -12.1282883566
7 112769 -0.00108831291146 1.61705072154e-05 -55.6745718099 -12.1221413467
8 112718 -0.00124207845642 1.61716459035e-05 -55.5375590414 -12.1262090975
9 112654 -0.00139589849996 1.61741241387e-05 -55.4012604284 -12.1133309214
10 112562 -0.00154980515963 1.62171731843e-05 -55.26564223 -12.139732443
11 111980 -0.00170452203611 1.60294734836e-05 -55.1300671339 -12.133053152
12 113543 -0.00185639175244 1.62139261656e-05 -54.9977190748 -12.1183710304
13 112993 -0.00201038259893 1.61472131679e-05 -54.8642570596 -12.1317348734
14 113209 -0.00216359318964 1.60515853019e-05 -54.7321992952 -12.1475948077
15 114532 -0.00231501449533 1.63192980882e-05 -54.6023914721 -12.1199740754
16 112765 -0.0024701625045 1.61261159342e-05 -54.470112675 -12.1146322479
17 113223 -0.00262316365557 1.62415815156e-05 -54.3403759232 -12.1183108064
18 112359 -0.00277785184679 1.59833454394e-05 -54.2099212187 -12.1205448005
19 114462 -0.00292867536977 1.63113267355e-05 -54.0834100431 -12.1103557542
20 112787 -0.00308373230376 1.60756298777e-05 -53.9540465549 -12.1063226591
21 113827 -0.00323584937416 1.62319670548e-05 -53.8278186222 -12.1112791543
22 113068 -0.00338996010123 1.61451979848e-05 -53.7006204595 -12.1128743549
23 113307 -0.00354308509808 1.61224676572e-05 -53.5749124361 -12.1151026211
24 113809 -0.0036956570952 1.6228341496e-05 -53.4503237909 -12.0822480274
25 113092 -0.0038497172471 1.61593547941e-05 -53.3251885261 -12.1014451602
26 113169 -0.00400307035861 1.61152240621e-05 -53.2012894906 -12.1087660149
27 113754 -0.00415561068461 1.61145575689e-05 -53.078697131 -12.1066468857
28 114350 -0.00430774683451 1.6215650813e-05 -52.9570702312 -12.0987394157
29 113776 -0.0044612230897 1.61904375635e-05 -52.8350151611 -12.1179292891
30 113495 -0.00461465039035 1.60844514585e-05 -52.7136396777 -12.0959059685
31 114439 -0.004766443405 1.61462714698e-05 -52.5941825112 -12.0985351438
32 114669 -0.00491866681639 1.61532565052e-05 -52.4750065331 -12.1057426349
33 114818 -0.0050708572031 1.62619775766e-05 -52.3564722006 -12.0814855772
34 113706 -0.00522481931706 1.60338300435e-05 -52.2371796249 -12.1026115938
35 115242 -0.00537560627099 1.61302337286e-05 -52.1209486278 -12.1045436369
36 115662 -0.00552702447499 1.63164111692e-05 -52.0048253479 -12.0729005424
37 113911 -0.00568136282629 1.60271360742e-05 -51.887070797 -12.0898948649
38 115528 -0.00583189998896 1.62543537732e-05 -51.7728034252 -12.0878508808
