10 100000 0.95 gpomdp sample_hoeffding 30000000
43 262 -0.00609889780541 2.06607759447e-05 -51.5715472651 -11.9328250699
44 166 -0.00629319492757 1.54445194316e-05 -51.4262150146 -12.6235162791
45 179 -0.00642758734567 1.95050596017e-05 -51.3262393681 -12.2801113266
46 128 -0.00662038428227 2.00354442357e-05 -51.183592662 -12.2198241583
47 87 -0.00680980005773 2.10477875604e-05 -51.0443312872 -12.1337641516
48 53 -0.00703091042991 1.35038096314e-05 -50.8828645794 -11.8649219127
49 70 -0.00719020912717 1.28173922511e-05 -50.7672616433 -12.2964096236
50 99 -0.00729428323077 1.1212251153e-05 -50.6920607474 -11.9847929536
51 166 -0.00739796107459 1.7559603664e-05 -50.6174005078 -12.4071064118
52 145 -0.00756937851407 2.44602901604e-05 -50.4945131779 -11.8814046632
53 62 -0.00781088506402 1.61429605031e-05 -50.3225402243 -12.443861442
54 63 -0.00795315018827 1.00035534763e-05 -50.2218651812 -11.7529965404
55 120 -0.00804692019545 1.34584297201e-05 -50.1557613936 -12.3322156561
56 159 -0.00817111383364 1.30607329695e-05 -50.068518273 -12.2225627574
57 219 -0.00830646699663 1.91145700497e-05 -49.9738333099 -11.9834644615
58 163 -0.00848749338705 2.39502289142e-05 -49.8478415129 -12.0247712776
59 74 -0.0087332361194 1.46718631146e-05 -49.677975717 -12.3454325118
60 87 -0.00886828120356 1.79278717527e-05 -49.5851953563 -11.7224009393
61 73 -0.00902039147619 1.21571080298e-05 -49.4811685629 -11.806396615
62 111 -0.00914329383231 1.30969953317e-05 -49.397484204 -12.1238316881
63 152 -0.00925194587073 1.63636651846e-05 -49.3237747317 -11.7109323164
64 149 -0.00940120255853 1.88942758884e-05 -49.2229325121 -11.9425482734
65 113 -0.00957998579459 1.34786078753e-05 -49.1027668288 -12.2166035205
66 149 -0.00970578984601 1.5757998095e-05 -49.0186158747 -12.521208744
67 156 -0.00985188322198 2.33180620415e-05 -48.9213109942 -12.0399376447
68 75 -0.0101020735586 1.02286890197e-05 -48.7557068714 -12.0988376628
69 140 -0.01019407242 1.41126037748e-05 -48.6951375259 -12.1689260562
70 173 -0.0103189366055 2.4312336884e-05 -48.6132088699 -11.8545355583
71 75 -0.0105536751812 1.25626559504e-05 -48.4600483438 -12.2665509314
72 109 -0.0106735777977 1.51063998767e-05 -48.3822458408 -11.910194764
73 122 -0.010801532372 1.46765374855e-05 -48.2995374087 -12.5305749183
74 142 -0.0109273599847 1.55889209814e-05 -48.2185230029 -11.7281303393
