100 100000 0.75 reinforce cheb_reinforce 30000000

1 100 0 1.66261911962e-05 -56.6666666667 -11.6265001311
2 16859 -0.000165499422042 1.50265883557e-05 -56.5132234237 -12.1284145299
3 18930 -0.000306657530223 1.64306515174e-05 -56.3830888134 -12.1741331953
4 18429 -0.000463089914674 1.64710010074e-05 -56.2396623671 -12.1175120228
5 17868 -0.000622349231123 1.58100334567e-05 -56.094489692 -12.1596738399
6 18526 -0.000772478368571 1.609426422e-05 -55.958414261 -12.119583264
7 18662 -0.000924749297786 1.61296479292e-05 -55.8211590323 -12.1291619955
8 18731 -0.00107707116532 1.63735795345e-05 -55.6846188426 -12.1481656848
9 18341 -0.00123333318362 1.60728049204e-05 -55.5453310106 -12.1031592418
10 18516 -0.00138599974723 1.64032205518e-05 -55.4100087848 -12.1354121585
11 18076 -0.00154368773932 1.61742745736e-05 -55.2710183525 -12.1147777911
12 18061 -0.00169923897094 1.5586484532e-05 -55.1346841225 -12.1257890421
13 19156 -0.00184478976519 1.65196169353e-05 -55.0078042637 -12.0979303913
14 18482 -0.00200184550388 1.61109176539e-05 -54.8716367947 -12.1264408487
15 18586 -0.00215458434831 1.62328610373e-05 -54.7399443548 -12.123735726
16 18461 -0.0023090004936 1.59314187344e-05 -54.6075337056 -12.1289075711
17 18906 -0.00245875293046 1.65511098517e-05 -54.4798156227 -12.1141936539
18 18182 -0.00261739814334 1.56741467475e-05 -54.3452520229 -12.1186800944
19 19114 -0.0027639310783 1.67457441451e-05 -54.2216319707 -12.1108032408
20 18023 -0.00292514898508 1.61999471675e-05 -54.086360311 -12.1769265023
21 17962 -0.00308137937384 1.56590163558e-05 -53.9560043317 -12.1332089172
22 18911 -0.00322855144115 1.64263886671e-05 -53.8338591401 -12.1366673241
23 18419 -0.00338498796512 1.58403753995e-05 -53.7047136116 -12.1296839393
24 19039 -0.00353336676106 1.66086586757e-05 -53.5828707699 -12.0952246078
25 18204 -0.00369247007658 1.66432693171e-05 -53.4529195194 -12.0621257303
26 17344 -0.00385580684026 1.60973036066e-05 -53.3202559861 -12.1166221798
27 17466 -0.00401323491572 1.5577997534e-05 -53.1931004197 -12.1384610086
28 18541 -0.00416109973157 1.6288544919e-05 -53.0742977577 -12.0679788394
29 18312 -0.00431667229216 1.61091597319e-05 -52.9499544387 -12.0681360313
30 18418 -0.00447008804786 1.60798830686e-05 -52.8279847542 -12.1036788001
31 18580 -0.00462255699852 1.66359845613e-05 -52.7074020664 -12.1439796961
32 17716 -0.0047841021751 1.49857487031e-05 -52.5803256906 -12.0646751716
