100 500000 0.5 gpomdp hoeffding 30000000

1 100 0 3.54643536419e-05 -56.6666666667 -12.3737250163
2 150321 -0.00034717170602 1.56828462237e-05 -56.3458636322 -12.1349086912
3 157880 -0.000496975798355 1.61882215096e-05 -56.2087025129 -12.1267907551
4 157525 -0.000651781575965 1.60835077128e-05 -56.0677534914 -12.1331450152
5 158850 -0.000804943265417 1.62668942724e-05 -55.9290866753 -12.1258749523
6 157233 -0.000960645865615 1.61226552882e-05 -55.7889133048 -12.1295232384
7 157927 -0.00111462843547 1.60874286846e-05 -55.6510690228 -12.1417223728
8 159192 -0.00126766280406 1.61802036598e-05 -55.5148362539 -12.1240083486
9 158963 -0.00142169031256 1.61795717881e-05 -55.3784807569 -12.1170069667
10 158745 -0.00157581776569 1.6105848121e-05 -55.2427950302 -12.1337823643
11 159718 -0.00172877500467 1.61824452147e-05 -55.1088831824 -12.1275330424
12 159452 -0.00188258746857 1.61617468682e-05 -54.9749635215 -12.1259164671
13 159521 -0.00203616990908 1.61942771604e-05 -54.8419793791 -12.1290647583
14 159065 -0.00219028233096 1.61540286239e-05 -54.7092687822 -12.1181570208
15 159259 -0.0023439178789 1.6214141167e-05 -54.577693172 -12.1199832829
16 158484 -0.00249850190548 1.60953386185e-05 -54.4460292345 -12.1006350814
17 159625 -0.00265140358735 1.61462262108e-05 -54.3165067758 -12.1201542837
18 159946 -0.00280463465623 1.61454209222e-05 -54.1874065469 -12.1284828749
19 160281 -0.00295769799725 1.61619927085e-05 -54.0591428462 -12.1121347187
20 160347 -0.00311088698674 1.61000806487e-05 -53.9314639566 -12.1204092302
21 161424 -0.00326297920487 1.6255245117e-05 -53.8053767274 -12.1048694394
22 159970 -0.0034172336462 1.61114707776e-05 -53.6781810276 -12.0892475583
23 160858 -0.00356970079829 1.61579188478e-05 -53.5531306652 -12.1255442607
24 160991 -0.00372254465616 1.6189451338e-05 -53.4284361414 -12.1004802716
25 160609 -0.00387586861148 1.61888504614e-05 -53.304013414 -12.0943464049
26 160238 -0.00402936441827 1.60998420286e-05 -53.1801115973 -12.0970582779
27 161318 -0.00418150425992 1.62186386181e-05 -53.0579511899 -12.1055707799
28 160459 -0.0043351762539 1.60863699084e-05 -52.9352091703 -12.10339296
29 161762 -0.00448698025224 1.62418371891e-05 -52.814594209 -12.1014671967
30 160523 -0.00464084166958 1.61045321721e-05 -52.6929835466 -12.0891247611
31 161528 -0.00479292686598 1.62658304707e-05 -52.573404092 -12.1047148742
32 159901 -0.00494731493306 1.6122507461e-05 -52.4526468888 -12.0818869929
33 160609 -0.00510000492926 1.60853304505e-05 -52.3338401901 -12.1148405696
34 161930 -0.0052517202152 1.61807718188e-05 -52.2164001415 -12.1015344119
35 161688 -0.00540444974696 1.61518210642e-05 -52.0987826618 -12.0868577811
36 161921 -0.00555679612627 1.61451221053e-05 -51.9820630082 -12.0893413353
37 162265 -0.00570891800115 1.6188441656e-05 -51.8661114383 -12.0958503253
38 161897 -0.00586162152304 1.61555859765e-05 -51.7503110148 -12.0903357408
39 162069 -0.00601393411572 1.61362615931e-05 -51.6353958777 -12.0842734382
40 162559 -0.00616583476381 1.61753486605e-05 -51.5213727922 -12.0859439596
41 162405 -0.00631817551549 1.60539511737e-05 -51.4075979312 -12.076792114
42 164263 -0.00646851565242 1.61728120541e-05 -51.2958810131 -12.093014343
43 164150 -0.00662002091776 1.62010424763e-05 -51.1838606522 -12.0915131125
44 163568 -0.00677206047066 1.61137359599e-05 -51.0720085348 -12.0731791749
