Open High Low Close Volume
0.0 94.25 92.09 92.59 5392600.0
0.0 92.73 90.56 92.56 7172900.0
0.0 93.41 91.84 92.22 3888000.0
0.0 92.56 90.7 90.86 4290000.0
0.0 91.97 90.41 91.41 5484300.0
0.0 91.94 90.0 90.02 4287900.0
0.0 91.11 89.72 90.38 2652300.0
0.0 93.36 90.59 93.31 7294000.0
0.0 94.0 92.75 92.81 2812500.0
0.0 93.72 92.75 93.41 2473700.0
0.0 94.44 92.59 93.14 3663300.0
0.0 94.0 93.31 93.55 803500.0
0.0 94.28 92.91 93.59 1885200.0
0.0 93.5 91.66 91.66 3623700.0
0.0 91.91 90.25 91.19 7055900.0
0.0 92.97 90.94 92.66 6708000.0
0.0 93.31 92.19 92.5 2060500.0
0.0 95.28 93.03 94.81 6979000.0
0.0 95.5 94.5 94.81 2220000.0
0.0 96.38 94.97 95.22 5045400.0
0.0 95.36 94.41 95.03 1566400.0
0.0 96.2 95.22 95.56 3259000.0
0.0 95.7 94.75 95.12 1872800.0
0.0 96.11 94.28 94.34 2793100.0
0.0 94.75 93.62 93.69 6327800.0
0.0 94.81 94.19 94.47 3995800.0
0.0 95.56 94.16 95.38 2065000.0
0.0 95.69 94.38 94.38 4137600.0
0.0 95.81 94.78 95.62 3567500.0
0.0 96.19 95.31 96.16 2577500.0
0.0 97.75 95.34 96.64 6499900.0
0.0 97.61 96.91 97.28 2272100.0
0.0 98.5 97.2 98.19 1832800.0
0.0 98.38 96.73 97.5 4439400.0
0.0 97.61 96.22 97.16 3607800.0
0.0 96.98 96.25 96.88 2858100.0
0.0 97.55 96.72 96.97 1760300.0
0.0 97.5 96.19 97.0 2235700.0
0.0 97.06 96.28 96.78 2601700.0
0.0 97.5 95.0 95.25 9488100.0
0.0 95.38 93.0 94.28 8151300.0
0.0 95.75 94.16 95.62 3636400.0
0.0 97.5 96.03 97.48 5225400.0
0.0 97.39 96.53 96.84 4485200.0
0.0 95.75 94.28 94.94 8054000.0
0.0 96.16 93.67 94.0 6778700.0
0.0 93.94 86.84 87.19 10838700.0
0.0 92.88 84.38 92.22 19493400.0
0.0 93.75 91.28 91.97 10184200.0
0.0 92.56 89.75 89.94 9772900.0
0.0 92.5 90.44 92.06 7072700.0
0.0 94.38 92.88 94.0 5548500.0
0.0 94.44 93.28 94.0 3455700.0
0.0 95.28 93.84 94.31 4774900.0
0.0 94.34 93.5 93.95 3679800.0
0.0 93.25 91.44 92.94 10606800.0
0.0 93.84 92.0 92.38 4347900.0
0.0 93.06 92.03 92.41 3212400.0
0.0 92.72 90.38 90.5 6775300.0
0.0 92.16 90.09 91.81 8589600.0
0.0 93.39 91.61 93.06 5827900.0
0.0 95.31 94.03 94.78 5149900.0
0.0 95.09 93.89 94.19 3433600.0
0.0 95.06 92.75 94.66 4387900.0
0.0 96.53 95.28 96.09 4822700.0
0.0 96.81 95.66 96.75 5436500.0
0.0 96.34 94.62 95.0 4337200.0
0.0 95.81 94.66 95.25 4525000.0
0.0 95.98 95.31 95.53 2681100.0
0.0 96.25 95.59 95.62 1564700.0
0.0 98.09 96.03 98.09 4850900.0
0.0 97.98 97.25 97.5 1974900.0
0.0 98.53 96.88 97.78 3302500.0
0.0 98.72 97.38 97.69 2872500.0
0.0 99.0 97.12 98.94 3458800.0
0.0 99.0 98.25 98.66 2289200.0
0.0 98.59 97.62 98.06 1703000.0
0.0 97.84 96.47 97.22 3558400.0
0.0 96.59 95.31 95.56 5072800.0
0.0 96.5 94.91 95.75 4478400.0
0.0 97.11 95.88 96.72 4674700.0
0.0 97.81 96.88 97.31 2885800.0
0.0 97.88 96.7 96.81 2236300.0
0.0 96.94 95.22 95.88 4658300.0
0.0 95.88 92.38 94.78 8556000.0
0.0 95.91 94.56 95.39 5136800.0
0.0 95.62 93.53 93.69 4436500.0
0.0 94.44 93.25 93.41 2019200.0
0.0 94.12 93.41 93.78 941800.0
0.0 95.72 94.44 95.62 2080000.0
0.0 97.25 95.84 97.12 3616000.0
0.0 97.62 96.69 97.06 4359500.0
0.0 97.66 96.53 97.56 2360900.0
0.0 98.44 96.78 97.78 4191800.0
0.0 97.28 96.19 96.22 3154900.0
0.0 96.72 95.22 96.47 4424200.0
0.0 96.31 95.38 95.62 3831000.0
0.0 95.5 91.91 92.31 10258800.0
0.0 94.19 90.91 94.0 12097900.0
0.0 95.38 94.22 95.31 5224900.0
0.0 95.97 94.72 95.75 3770400.0
0.0 95.75 94.81 94.95 2875400.0
0.0 96.69 95.66 96.31 4374800.0
0.0 98.02 96.5 97.88 5091700.0
0.0 97.69 96.16 96.94 4699400.0
0.0 96.88 95.88 96.08 4543400.0
0.0 96.78 95.0 95.94 6350300.0
0.0 96.73 95.41 95.88 4362900.0
0.0 97.5 95.66 96.84 7044200.0
0.0 98.11 97.19 97.72 4268600.0
0.0 99.56 97.56 98.25 8007700.0
0.0 98.97 98.0 98.31 3649100.0
0.0 100.5 99.75 99.94 5756300.0
0.0 100.81 99.72 100.69 2763000.0
0.0 101.16 99.94 100.56 3374000.0
0.0 101.59 100.03 100.5 5076200.0
0.0 101.62 100.69 101.62 5701200.0
0.0 101.75 100.72 101.28 2322200.0
0.0 102.47 101.19 102.25 3660400.0
0.0 102.34 101.7 102.16 4073200.0
0.0 102.94 100.88 102.59 5024700.0
0.0 102.52 101.88 102.0 2101300.0
0.0 103.09 102.16 102.5 3055500.0
0.0 103.48 102.28 103.44 3007400.0
0.0 103.41 102.75 102.89 3387800.0
0.0 103.72 102.38 103.66 3707000.0
0.0 104.25 103.34 104.06 3227800.0
0.0 104.09 102.94 103.25 3386800.0
0.0 104.88 103.62 104.53 3481800.0
0.0 105.22 104.19 105.12 3187600.0
0.0 105.53 104.53 105.12 3442900.0
0.0 105.75 104.62 104.91 4252300.0
0.0 105.62 104.53 105.5 3349200.0
0.0 105.41 104.44 104.81 4404100.0
0.0 104.44 103.16 103.84 7268000.0
0.0 105.94 104.44 105.94 6896300.0
0.0 106.22 105.25 105.56 3619000.0
0.0 106.84 105.94 106.56 5481900.0
0.0 107.31 106.78 107.06 3439600.0
0.0 107.59 106.5 107.5 3191300.0
0.0 108.0 106.88 107.09 2879400.0
0.0 108.38 107.53 108.25 3223600.0
0.0 108.56 107.66 108.56 4581900.0
0.0 108.97 108.03 108.97 1944100.0
0.0 109.38 108.66 109.25 2554800.0
0.0 110.19 108.88 109.88 3123300.0
0.0 110.31 109.41 109.62 4453100.0
0.0 110.81 109.94 110.56 3333600.0
0.0 111.53 109.19 110.16 4597600.0
0.0 110.75 109.62 110.09 3333500.0
0.0 110.78 109.0 109.62 2611300.0
0.0 110.09 108.97 109.56 3108700.0
0.0 111.19 109.75 109.94 5826500.0
0.0 111.08 109.41 110.83 2929000.0
0.0 112.25 110.75 112.03 3920900.0
0.0 112.81 111.84 112.59 3787600.0
0.0 113.38 111.69 111.69 4550500.0
0.0 111.94 110.16 110.94 5583700.0
0.0 111.28 109.75 110.31 4854800.0
0.0 111.28 110.53 111.19 4481200.0
0.0 111.38 110.0 110.88 4350200.0
0.0 111.81 110.91 111.81 3279100.0
0.0 112.12 111.16 112.12 3867200.0
0.0 111.5 110.5 110.81 7177900.0
0.0 112.44 110.44 112.28 5688800.0
0.0 112.56 111.88 112.25 3688300.0
0.0 113.16 111.91 112.78 4573200.0
0.0 113.44 112.81 113.09 2386100.0
0.0 113.0 111.75 112.0 5062000.0
0.0 112.47 110.34 110.81 11039700.0
0.0 109.69 107.62 108.72 14510200.0
0.0 109.81 108.12 108.56 6511400.0
0.0 109.97 108.44 109.31 7703100.0
0.0 111.92 110.41 111.34 8684500.0
0.0 112.59 111.31 112.59 4008800.0
0.0 113.31 112.16 112.31 4537200.0
0.0 112.16 111.12 111.53 5146400.0
0.0 112.12 110.19 110.22 5526100.0
0.0 110.56 109.34 109.34 6940400.0
0.0 111.38 110.0 111.12 7951000.0
0.0 112.22 110.38 110.75 6336300.0
0.0 111.97 110.34 111.94 6045200.0
0.0 112.56 111.59 112.22 4441500.0
0.0 112.69 111.34 111.66 4187500.0
0.0 112.22 110.81 111.03 6716100.0
0.0 111.59 109.83 110.59 4847200.0
0.0 111.69 110.78 111.34 5918700.0
0.0 112.5 110.88 112.41 5716600.0
0.0 112.78 111.31 111.69 6301500.0
0.0 112.06 110.94 111.25 4862200.0
0.0 112.09 109.19 109.47 6899300.0
0.0 109.91 107.58 109.62 10202600.0
0.0 110.38 109.06 110.12 4907600.0
0.0 110.81 109.03 109.03 4772600.0
0.0 110.22 108.56 109.53 6092200.0
0.0 110.34 109.16 109.62 6701100.0
0.0 110.19 107.88 107.88 6445100.0
0.0 110.06 108.06 109.88 6566300.0
0.0 112.0 109.88 112.0 8463200.0
0.0 112.47 111.66 111.88 4159900.0
0.0 112.42 111.41 112.22 2725300.0
0.0 113.06 111.25 111.5 6186900.0
0.0 111.88 109.38 109.41 8056600.0
0.0 110.44 108.25 110.44 9779000.0
0.0 109.91 107.5 107.53 10234200.0
0.0 109.22 107.75 109.19 7471500.0
0.0 111.78 109.94 111.47 12057700.0
0.0 111.44 110.75 110.97 3844600.0
0.0 111.23 109.62 110.06 3549100.0
0.0 111.06 110.06 110.59 5438300.0
0.0 112.06 111.0 111.91 5004600.0
0.0 113.69 111.61 113.41 8291900.0
0.0 114.44 112.81 113.22 5854800.0
0.0 113.84 113.12 113.69 4833100.0
0.0 114.69 113.8 114.09 5953400.0
0.0 114.19 113.06 113.31 4284800.0
0.0 114.94 113.62 114.62 3489500.0
0.0 114.88 114.25 114.84 3503900.0
0.0 116.0 114.56 116.0 3144400.0
0.0 116.12 115.28 115.78 4920700.0
0.0 116.94 115.75 116.62 6875000.0
0.0 116.72 115.62 115.84 6942500.0
0.0 116.94 115.06 116.47 7849700.0
0.0 116.84 116.06 116.5 6555100.0
0.0 118.16 116.94 117.81 6983600.0
0.0 118.28 117.44 117.59 4977500.0
0.0 118.59 117.06 118.41 6315600.0
0.0 119.0 118.31 118.56 3539500.0
0.0 119.23 117.94 118.56 2338400.0
0.0 119.0 116.28 116.5 5518600.0
0.0 116.98 115.53 116.5 10417300.0
0.0 116.59 113.91 114.19 15110900.0
0.0 115.09 112.88 114.09 11540500.0
0.0 115.0 112.84 114.91 9600000.0
0.0 114.66 111.88 112.97 13693000.0
0.0 114.12 112.25 112.53 7462400.0
0.0 114.59 113.41 114.22 6821600.0
0.0 114.5 111.31 111.78 7680500.0
0.0 112.42 111.03 111.31 10486500.0
0.0 112.22 107.0 107.0 15091600.0
0.0 108.88 105.59 108.47 21718400.0
0.0 109.5 107.56 108.94 13084400.0
0.0 110.59 108.47 109.12 12083800.0
0.0 109.66 108.19 108.5 6273000.0
0.0 107.44 105.5 106.88 14287100.0
0.0 108.88 107.5 108.69 11158400.0
0.0 109.66 107.38 107.38 9073900.0
0.0 108.72 105.78 106.12 8628500.0
0.0 108.94 105.5 108.38 11290000.0
0.0 110.59 108.78 110.38 7603900.0
0.0 111.09 109.62 110.09 6258600.0
0.0 110.41 109.16 109.44 7402800.0
0.0 108.72 105.5 108.56 16685400.0
0.0 109.94 108.31 109.25 7201700.0
0.0 111.25 108.64 109.5 9688300.0
0.0 109.62 107.75 108.88 9339700.0
0.0 107.56 103.47 103.75 24887800.0
0.0 105.72 102.16 103.38 23735900.0
0.0 104.02 95.38 96.0 22563100.0
0.0 100.56 93.62 100.06 24748500.0
0.0 101.75 98.78 99.34 13843200.0
0.0 99.38 96.75 98.56 17311300.0
0.0 99.81 95.75 97.75 17783800.0
0.0 103.0 99.81 103.0 14746500.0
0.0 103.12 100.44 100.5 12109700.0
0.0 99.34 96.81 98.5 19883300.0
0.0 101.69 97.0 101.69 20379800.0
0.0 104.45 102.09 103.44 10686800.0
0.0 104.31 102.28 104.06 8337900.0
0.0 105.25 103.16 105.0 11024900.0
0.0 103.03 101.78 102.0 12945200.0
0.0 102.41 101.09 102.09 7019200.0
0.0 103.41 99.0 102.03 8834600.0
0.0 103.66 102.16 102.88 7270100.0
0.0 107.0 103.78 107.0 13634500.0
0.0 106.81 103.25 104.38 11129500.0
0.0 105.42 102.62 104.25 10247400.0
0.0 106.31 104.25 105.19 8847800.0
0.0 105.94 103.38 104.94 10618100.0
0.0 104.31 101.38 101.75 7908400.0
0.0 101.55 98.09 98.81 13335600.0
0.0 100.88 97.22 100.72 14351800.0
0.0 99.97 96.34 98.69 12807200.0
0.0 101.28 97.53 98.59 12621000.0
0.0 100.03 95.75 97.12 14348500.0
0.0 96.75 92.22 96.59 20625000.0
0.0 98.78 94.06 98.53 12708500.0
0.0 101.44 99.69 99.97 9508500.0
0.0 100.41 98.75 99.62 6256800.0
0.0 101.81 98.84 100.56 8176900.0
0.0 107.25 99.94 105.97 20541100.0
0.0 106.75 105.0 106.0 16573900.0
0.0 106.81 105.5 106.38 7915900.0
0.0 108.8 106.09 107.0 14611600.0
0.0 107.62 105.88 106.62 9178400.0
0.0 108.47 106.16 108.22 8277500.0
0.0 108.0 106.78 106.84 6237200.0
0.0 108.47 106.78 107.62 5838600.0
0.0 108.97 106.28 107.0 10089700.0
0.0 107.53 106.03 106.81 5650600.0
0.0 109.44 106.62 109.41 9625600.0
0.0 110.91 109.5 110.0 9872800.0
0.0 111.88 110.19 111.88 6501400.0
0.0 111.81 110.75 111.06 6866000.0
0.0 113.09 111.09 112.25 8233600.0
0.0 113.94 111.12 113.78 6841500.0
0.0 114.56 113.31 114.12 5224800.0
0.0 114.25 112.5 113.31 6188700.0
0.0 113.94 112.25 113.0 14015200.0
0.0 114.0 111.89 112.25 10922400.0
0.0 113.12 111.69 112.12 5457400.0
0.0 113.22 112.12 113.22 5524600.0
0.0 114.36 112.89 114.06 6023700.0
0.0 115.62 113.0 114.06 9058900.0
0.0 115.0 113.5 114.75 4567700.0
0.0 115.91 114.62 115.75 5249300.0
0.0 116.75 115.84 116.62 5562000.0
0.0 119.62 117.16 119.38 7151300.0
0.0 119.66 118.45 118.62 5323700.0
0.0 119.19 118.22 118.62 4393500.0
0.0 119.72 119.02 119.5 4557900.0
0.0 119.38 116.12 116.12 8705400.0
0.0 118.03 115.22 117.62 8950600.0
0.0 117.91 116.0 117.28 7495500.0
0.0 118.31 115.09 115.34 12145300.0
0.0 118.5 116.5 118.38 10339500.0
0.0 119.47 118.0 118.94 4290000.0
0.0 119.75 117.5 118.41 10102600.0
0.0 118.97 117.88 118.62 5327900.0
0.0 118.84 116.72 116.89 5966600.0
0.0 117.34 115.56 117.12 8198200.0
0.0 116.41 113.75 113.75 9521400.0
0.0 116.75 114.53 116.69 9631500.0
0.0 117.12 115.75 116.53 7260000.0
0.0 118.59 117.03 118.39 6914700.0
0.0 119.12 117.88 118.5 4802400.0
0.0 121.34 119.0 120.16 8580700.0
0.0 121.22 119.19 120.69 5461100.0
0.0 123.22 120.81 123.22 7791000.0
0.0 123.25 122.5 122.69 1507100.0
0.0 123.31 122.0 122.38 4203600.0
0.0 124.48 122.12 124.31 3935800.0
0.0 124.75 123.03 123.31 6810700.0
0.0 123.94 122.47 123.31 6790500.0
0.0 125.22 121.72 123.03 9450400.0
0.0 124.88 122.94 124.44 8031000.0
0.0 127.75 125.75 127.44 7737700.0
0.0 127.22 125.78 126.81 5504900.0
0.0 128.5 125.97 127.75 6224400.0
0.0 127.69 125.22 126.53 7578300.0
0.0 126.22 123.75 124.25 7768800.0
