100 100000 2 0.5 10000000

26 0.00133042373428 -0.00342208151185 0.000709799171096 0.997621935578 26000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
27 0.000781971558304 -0.0023929242956 0.00102915721625 0.998358261286 27000 [0.000772493367549032, -0.014586486853659153, 0.8687417507171631]
28 0.00104670012159 -0.00258263461457 -0.00018971031897 0.997688695225 28000 [0.000772493367549032, -0.014586486853659153, 0.8687416911125183]
29 0.00219525514324 -0.00207012562384 0.000512508990728 0.999057901895 29000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
30 0.0020081092808 -0.00349326714526 -0.00142314152142 0.995904616487 30000 [0.000772493367549032, -0.014586486853659153, 0.868741512298584]
31 0.00133835311977 -0.0018837697768 0.00160949736846 0.998816906816 31000 [0.000772493367549032, -0.014586486853659153, 0.8687413930892944]
32 0.00151055229137 -0.00103800483761 0.000845764939197 1.0015019825 32000 [0.000772493367549032, -0.014586486853659153, 0.8687413334846497]
33 0.00055456800472 -0.00239365493769 -0.00135565010008 0.997324564787 33000 [0.000772493367549032, -0.014586486853659153, 0.8687412142753601]
34 0.00186736160976 -0.00450695618835 -0.00211330125066 0.994371930942 34000 [0.000772493367549032, -0.014586486853659153, 0.8687411546707153]
35 0.00119818110591 -0.00319882865713 0.00130812753122 0.997458500687 35000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
36 0.00398709903722 -0.00253308639754 0.000665742259597 1.00263245469 36000 [0.000772493367549032, -0.014586486853659153, 0.8687411546707153]
37 8.24924705082e-05 -0.00451016728029 -0.00197708088275 0.994103569587 37000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
38 0.00144233947046 -0.00274195715094 0.00176821012935 0.998376449803 38000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
39 0.00126070261653 -0.00326158280174 -0.0005196256508 0.996048425835 39000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
40 0.00237082781515 -0.00444889489863 -0.00118731209689 0.995594282872 40000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
41 0.00121873201161 -0.00319656585773 0.0012523290409 0.996595985896 41000 [0.000772493367549032, -0.014586486853659153, 0.8687412142753601]
42 0.00243138109669 -0.00507912518473 -0.001882559327 0.99429743943 42000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
43 0.000322857841412 -0.00618450574541 -0.00110538056068 0.994406908566 43000 [0.000772493367549032, -0.014586486853659153, 0.8687412142753601]
44 0.0030809850652 -0.00204581266177 0.00413869308364 0.999640828312 44000 [0.000772493367549032, -0.014586486853659153, 0.8687412142753601]
45 0.00037698667977 -0.00398999116348 -0.00194417850171 0.995880052281 45000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
46 0.00320405560726 -0.00115780345544 0.00283218770804 0.999691848806 46000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
47 4.08655239581e-05 -0.00354938237944 -0.002391578924 0.996555381055 47000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
48 0.000466311397635 -0.0021302584424 0.00141912393704 0.998712418368 48000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
49 0.000740588752856 -0.00373252899386 -0.00160227055146 0.996132663993 49000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
50 0.0026963013199 -0.0019277514796 0.00180477751426 0.998322360815 50000 [0.000772493367549032, -0.014586486853659153, 0.8687409162521362]
51 0.00170534253556 -0.00246833467818 -0.000540583198578 0.997673208902 51000 [0.000772493367549032, -0.014586486853659153, 0.8687408566474915]
52 0.00650904543796 0.000517972777828 0.00298630745601 1.00887837704 52000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
53 0.00516032202263 -0.00271298056127 -0.0032309533391 0.997190436688 53000 [0.000772493367549032, -0.014586486853659153, 0.8687412738800049]
54 0.00115684606571 -0.00198562971684 0.00072735084443 0.997940421035 54000 [0.000772493367549032, -0.014586486853659153, 0.8687413334846497]
55 0.00569667332085 -0.00449944887641 -0.00251381915957 0.995539560021 55000 [0.000772493367549032, -0.014586486853659153, 0.8687413930892944]
56 0.00123859699987 -0.00120876976716 0.00329067910926 1.00206063619 56000 [0.000772493367549032, -0.014586486853659153, 0.868741512298584]
57 0.00292720184957 -0.00379331821027 -0.00258454844311 0.994003972359 57000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
58 0.00060562639468 -0.0025061359698 0.00128718224047 0.997898271981 58000 [0.000772493367549032, -0.014586486853659153, 0.8687417507171631]
59 0.000336890037269 -0.000401570119843 0.00210456584996 1.00032858134 59000 [0.000772493367549032, -0.014586486853659153, 0.8687418103218079]
60 0.000867441780933 -0.00309225430077 -0.00269068418093 0.996650050383 60000 [0.000772493367549032, -0.014586486853659153, 0.8687418699264526]
61 0.00025443392984 -0.00343745794717 -0.000345203646394 0.996173201631 61000 [0.000772493367549032, -0.014586486853659153, 0.8687419295310974]
62 0.0015879264444 -0.00305211167982 0.00038534626735 0.997248123717 62000 [0.000772493367549032, -0.014586486853659153, 0.8687419295310974]
63 0.0012062189028 -0.000697930345526 0.00235418133429 0.999788646849 63000 [0.000772493367549032, -0.014586486853659153, 0.8687418699264526]
64 0.00121567579182 -0.00318395664697 -0.00248602630144 0.995946696357 64000 [0.000772493367549032, -0.014586486853659153, 0.8687418103218079]
65 0.000130764869946 -0.0029926095536 0.000191347093362 0.996678140796 65000 [0.000772493367549032, -0.014586486853659153, 0.8687417507171631]
66 0.00053662540766 -0.00272921915499 0.000263390398612 0.996790642915 66000 [0.000772493367549032, -0.014586486853659153, 0.8687417507171631]
67 0.000760230450072 -0.00208439403582 0.000644825119171 0.997715778208 67000 [0.000772493367549032, -0.014586486853659153, 0.8687416911125183]
68 0.00222531404456 -0.0048180091444 -0.00273361510858 0.993531619418 68000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
69 0.000753395956286 -0.00168367293576 0.00313433620863 0.998562771172 69000 [0.000772493367549032, -0.014586486853659153, 0.8687415719032288]
70 0.000945979013579 -0.00215066920704 -0.000466996271278 0.99649259418 70000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
71 9.89181775788e-05 -0.00346337843227 -0.00131270922523 0.996154644283 71000 [0.000772493367549032, -0.014586486853659153, 0.8687415719032288]
72 0.0012773410935 -0.00274293503846 0.000720443393809 0.996792349067 72000 [0.000772493367549032, -0.014586486853659153, 0.8687415719032288]
73 0.00220169069009 -0.00417667053513 -0.00143373549666 0.996008438355 73000 [0.000772493367549032, -0.014586486853659153, 0.8687416315078735]
74 0.00107054631482 -0.0038249984811 0.000351672054027 0.994752516382 74000 [0.000772493367549032, -0.014586486853659153, 0.8687417507171631]
75 0.000158656528179 -0.0038754790572 -5.04805760944e-05 0.995341388647 75000 [0.000772493367549032, -0.014586486853659153, 0.8687416911125183]
76 0.00452356912094 -0.00898262265294 -0.00510714359574 0.993393476939 76000 [0.000772493367549032, -0.014586486853659153, 0.8687416911125183]
77 0.000463157444755 -0.0028030851162 0.00617953753674 0.996582139037 77000 [0.000772493367549032, -0.014586486853659153, 0.8687413334846497]
78 0.0015327021544 -0.00364782546974 -0.000844740353544 0.995694794942 78000 [0.000772493367549032, -0.014586486853659153, 0.8687413334846497]
79 0.00114702040731 -0.00329253173139 0.000355293738354 0.996967076453 79000 [0.000772493367549032, -0.014586486853659153, 0.8687412738800049]
80 0.00184381039553 -0.00338295093751 -9.04192061205e-05 0.995622980511 80000 [0.000772493367549032, -0.014586486853659153, 0.8687412142753601]
81 0.00205845782843 -0.00137293647575 0.00201001446176 1.00203019407 81000 [0.000772493367549032, -0.014586486853659153, 0.8687411546707153]
82 0.000762993234183 -0.00345938273731 -0.00208644626156 0.996014190812 82000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
83 0.00585676279511 -0.00283785145974 0.000621531277565 0.997442241007 83000 [0.000772493367549032, -0.014586486853659153, 0.8687411546707153]
84 0.000574778374061 -0.00326414865753 -0.000426297197786 0.996364134808 84000 [0.000772493367549032, -0.014586486853659153, 0.8687411546707153]
85 0.00065295697243 -0.00347698461122 -0.00021283595369 0.996077588305 85000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
86 0.000955407082845 -0.00175616751859 0.00172081709263 0.99874765484 86000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
87 0.000564678947693 -0.00436450654407 -0.00260833902548 0.995491353988 87000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
88 0.000902589997123 -0.00406693217213 0.000297574371947 0.995473395857 88000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
89 0.00204813301288 -0.00260008895517 0.00146684321696 1.00003602803 89000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
90 0.000432687369226 -0.00245113162302 0.000148957332148 0.997421145265 90000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
91 0.00228601937149 -0.00419035478664 -0.00173922316362 0.994397719617 91000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
92 0.000562823115448 -0.0032979047187 0.000892450067933 0.995903904853 92000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
93 0.000528718730329 -0.00433144458905 -0.00103353987035 0.996557247256 93000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
94 0.00170352680164 -0.00369405029634 0.000637394292713 0.996149042753 94000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
95 0.000644494269164 -0.00434894403567 -0.000654893739326 0.997049852533 95000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
96 0.00139760896268 -0.000653061276892 0.00369588275878 1.00260502577 96000 [0.000772493367549032, -0.014586486853659153, 0.8687410950660706]
97 0.000696868621681 -0.00172403209899 -0.0010709708221 0.998746433241 97000 [0.000772493367549032, -0.014586486853659153, 0.868740975856781]
98 0.00145821621294 -0.00385958159213 -0.00213554949314 0.996152475562 98000 [0.000772493367549032, -0.014586486853659153, 0.8687410354614258]
