2 100000 0.75 gpomdp sample_hoeffding 30000000

1 2 0 2.0866648078e-05 -56.6666666667 -14.1579888162
2 2 7.00387213496e-05 2.5705226689e-07 -56.7318874385 -14.3106731283
3 20 7.03847271e-05 4.05762655859e-06 -56.7322100639 -11.6577767305
4 80 0.000112524266116 9.52852962796e-06 -56.7715331885 -11.8279742147
5 161 0.000206711656499 1.75678230743e-05 -56.8596487079 -12.0103500481
6 140 0.000385340040188 1.36830248667e-05 -57.0276136767 -12.1085540159
7 181 0.000515186705618 1.890258905e-05 -57.1504145594 -12.1924610709
8 138 0.00068639952428 1.87538401677e-05 -57.3132530896 -11.609773443
9 107 0.000866297574887 1.0225338607e-05 -57.4854848085 -12.4402706435
10 199 0.000967809031497 1.66984130018e-05 -57.5831870305 -12.1790967366
11 189 0.00111349093019 1.61660870349e-05 -57.7240587635 -12.2665080258
12 189 0.00125026539267 1.97804184526e-05 -57.8570266489 -12.2666395522
13 131 0.00144457986312 1.67098171029e-05 -58.0471253423 -11.5459639961
14 124 0.00162446731956 1.63731224469e-05 -58.2243695723 -11.7532274465
15 122 0.00178902032663 1.56552683393e-05 -58.3875761384 -12.440698649
16 129 0.00193611010089 1.2194731381e-05 -58.5343370862 -11.7905781078
17 195 0.00207658682931 1.26839942565e-05 -58.6752773286 -11.8295789401
18 279 0.00218746593278 1.41408804182e-05 -58.7870628524 -12.2165315707
19 343 0.00232371248775 2.04477860502e-05 -58.9250811527 -12.1412239281
20 222 0.00251831258997 2.12094940101e-05 -59.123480714 -12.1104820763
21 133 0.00273791118329 2.30240762186e-05 -59.3491786929 -11.6666893974
22 66 0.0029657298879 2.44754603369e-06 -59.5853810076 -12.50619628
23 345 0.00298392448148 2.26122320332e-05 -59.6043362576 -12.247755701
24 179 0.00320938192499 1.67700632641e-05 -59.8403477825 -11.8003665438
25 169 0.00337068829594 1.57275170332e-05 -60.0104970064 -12.4748441911
26 177 0.00348834317742 1.85989034494e-05 -60.1352881284 -12.1342090293
27 139 0.00366387195221 1.66825045735e-05 -60.3225493284 -11.4000058105
28 132 0.00382416427311 1.20864273669e-05 -60.4947017637 -12.4884313175
29 201 0.00393236511813 1.5674774398e-05 -60.6115324594 -12.3068159992
30 212 0.00408252150934 1.35509939854e-05 -60.7745052397 -12.1629725908
31 277 0.00421325712345 1.56149825275e-05 -60.9172012087 -12.1732206114
32 293 0.00436632901326 2.02713088674e-05 -61.0852334585 -12.3342086567
33 193 0.00457225716273 2.17261591755e-05 -61.3129317542 -12.3256720792
34 110 0.00480208733469 9.00236440957e-06 -61.5693125467 -12.4876533464
35 234 0.00488585745121 2.45659065865e-05 -61.6633574052 -12.0431702921
36 99 0.00513711807086 1.0448064892e-05 -61.9473724832 -11.9652502677
37 180 0.00522461603599 1.58625514735e-05 -62.0469644241 -11.9325758929
38 186 0.00538428055354 1.38294299024e-05 -62.2296227412 -12.1450921151
39 237 0.00552832908396 1.65681845148e-05 -62.395449845 -12.2210710707
40 228 0.00569641096115 1.83047487904e-05 -62.5901955319 -12.2297108402
41 184 0.00585613668889 1.85168193823e-05 -62.7765208736 -12.1196166731
42 145 0.00601660964154 1.16729446598e-05 -62.9649683237 -12.5441703652
43 231 0.00612720733527 1.72229449321e-05 -63.0955821256 -12.0643470043
44 208 0.00629006258232 1.7811406283e-05 -63.2890145229 -12.0067134601
45 177 0.00648272193417 2.22060457395e-05 -63.5195606204 -12.2940415346
46 96 0.00673164368757 1.50407066452e-05 -63.8202184399 -12.7409335066
