100 100000 0.95 reinforce iter_bernstein 20000000
235 727 -0.00230565744565 1.18151517094e-06 -54.6103926335 -12.1891116963
236 676 -0.00231810282952 9.42085623448e-07 -54.5997512396 -12.0629475499
237 791 -0.00232637338 1.13892347849e-06 -54.5926821335 -12.1685285333
238 656 -0.00233845029183 1.08951511934e-06 -54.5823633448 -12.1361575721
239 790 -0.00234843713501 1.17466165286e-06 -54.5738337076 -12.2106793836
240 762 -0.00235945176687 1.25272751643e-06 -54.5644297631 -12.0764425317
241 799 -0.00237101887233 1.17024529282e-06 -54.5545580997 -12.1279806576
242 699 -0.00238283522141 1.25720180729e-06 -54.5444779178 -12.0635906101
243 629 -0.00239728535637 9.51834011633e-07 -54.5321566853 -12.0286038401
244 687 -0.00240683604621 8.76368086839e-07 -54.5240165483 -12.2594584318
245 772 -0.00241453975202 1.0429103351e-06 -54.5174526251 -12.2814627108
246 786 -0.00242382828746 1.07374787034e-06 -54.509540741 -12.0735553404
247 792 -0.00243338722549 1.06192667572e-06 -54.5014012565 -11.9896282582
248 670 -0.00244428593878 1.00089282658e-06 -54.4921243183 -12.0709781648
249 847 -0.00245271899991 1.16241200918e-06 -54.4849485968 -12.1874387262
250 683 -0.00246458042116 1.0174748997e-06 -54.4748593079 -12.1017678712
251 683 -0.00247489581861 1.04448741138e-06 -54.4660885161 -12.2994316923
252 629 -0.0024864020599 8.47181396532e-07 -54.4563089835 -12.1139471541
253 836 -0.0024934188943 1.24453016403e-06 -54.4503471056 -11.9989979915
254 807 -0.00250462447804 1.01104826309e-06 -54.44082932 -11.9224978513
255 705 -0.00251440608833 9.8446989164e-07 -54.4325241203 -12.2135282246
256 787 -0.0025231383368 1.14198971643e-06 -54.4251123289 -12.0401642056
257 657 -0.00253526619318 8.96433758396e-07 -54.4148222078 -12.1164052223
258 922 -0.00254215314406 1.23818790004e-06 -54.4089808072 -12.2005408459
259 757 -0.00255378919109 1.19341563634e-06 -54.3991145404 -12.2656413673
260 740 -0.00256542900007 9.38135548193e-07 -54.3892491549 -12.0282421614
261 794 -0.00257353703174 1.12281594397e-06 -54.3823795517 -12.0946399919
262 689 -0.00258494337898 7.68004637887e-07 -54.3727187619 -12.2096045201
263 682 -0.00259225596262 1.03866304401e-06 -54.3665273049 -12.1728160861
264 825 -0.00260128457683 1.06450378676e-06 -54.3588851224 -12.1680169896
265 665 -0.00261224076539 8.1729245427e-07 -54.3496146453 -12.1187612359
266 801 -0.00261913707813 9.87442149239e-07 -54.3437812388 -12.2633963568
267 751 -0.00262812772996 1.05533828046e-06 -54.3361784256 -12.2797107653
268 715 -0.00263837529268 1.05828855259e-06 -54.3275156749 -11.862797473
269 685 -0.00264914804943 1.12400637908e-06 -54.3184123403 -12.0654175312
270 776 -0.002659634101 1.1127524624e-06 -54.3095546139 -12.2023706329
271 759 -0.00267002458822 1.07372175817e-06 -54.3007808535 -12.1778956749
272 714 -0.002680522226 1.14746114165e-06 -54.2919198896 -12.1943532419
273 879 -0.00269015766296 1.11199389443e-06 -54.2837895974 -12.0970446701
274 692 -0.00270125629353 8.30583542299e-07 -54.274428109 -12.0447212615
275 744 -0.00270872953765 9.00635402516e-07 -54.2681266361 -12.3855326735
276 783 -0.00271653771094 1.04549454745e-06 -54.2615445278 -12.2118296968
277 741 -0.00272634246046 1.20678819272e-06 -54.2532819248 -12.2004227563
278 833 -0.00273701235259 1.32020325379e-06 -54.2442935066 -12.132370629
279 787 -0.00274936239323 1.00839911721e-06 -54.2338939461 -12.0895038281
280 724 -0.00275892637133 9.56405382888e-07 -54.2258435537 -12.160220867
281 766 -0.00276753975921 1.18404594003e-06 -54.2185956395 -12.1926376182
282 729 -0.00277916441046 9.63737969422e-07 -54.2088173304 -12.0086877334
283 659 -0.00278904092273 1.05780246586e-06 -54.2005126568 -12.0748752866
284 736 -0.00279927220563 1.03375173474e-06 -54.1919127273 -12.2722714906
285 765 -0.00280875048166 1.0976526735e-06 -54.1839485105 -11.9786714111
