100 100000 0.75 gpomdp bernstein 30000000

1 100 0 2.72842104269e-05 -56.6666666667 -12.0069498381
2 4355 0.000231922440604 2.80212035656e-05 -56.8832867348 -12.1001335636
3 3917 0.000500185965042 2.6298689534e-05 -57.1361972814 -12.256585688
4 3914 0.000752466305421 2.63541804242e-05 -57.3763689741 -12.1996041529
5 3894 0.00100685880465 2.62713355589e-05 -57.620871328 -12.1299857167
6 3900 0.00125949767439 2.62399333262e-05 -57.8660268784 -12.2147194494
7 3910 0.0015115228008 2.57186383051e-05 -58.1129424582 -12.1329396562
8 4050 0.00174945919941 2.6459882583e-05 -58.3482446946 -12.1582356459
9 3997 0.00199884893089 2.65291565336e-05 -58.597188673 -12.2089933049
10 3945 0.00225084288699 2.63164267739e-05 -58.8511734092 -12.0940474963
11 3939 0.00250155914252 2.641853757e-05 -59.1063410851 -12.1482492912
12 3912 0.00275469911039 2.62509307922e-05 -59.366512621 -12.257455352
13 3910 0.00300759491715 2.63871456624e-05 -59.6290165528 -12.1976340169
14 3881 0.00326325541316 2.6228186953e-05 -59.8970541268 -12.1345707739
15 3903 0.00351477128183 2.60028665889e-05 -60.1633993155 -12.199630477
16 3966 0.00376126997954 2.63763766051e-05 -60.4270227548 -12.1444103375
17 3944 0.00401230616002 2.631526368e-05 -60.6981747236 -12.2329884254
18 3929 0.00426443685036 2.64175251529e-05 -60.9732677016 -12.2078196283
19 3896 0.00451914734711 2.62194304076e-05 -61.2540257276 -12.1792474084
20 3906 0.0047715756565 2.65854979354e-05 -61.5351381013 -12.1914091129
21 3837 0.00503160806834 2.60055103256e-05 -61.8277527576 -12.1934237067
22 3890 0.00528365618685 2.62979705278e-05 -62.114367473 -12.1233829428
23 3882 0.00553848260255 2.64590883293e-05 -62.4071756976 -12.2053917149
24 3846 0.00579630996872 2.66678002156e-05 -62.7065862448 -12.2096529523
25 3759 0.00606253794314 2.57637199216e-05 -63.0191355432 -12.2567787542
