100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.09664542163e-05 -56.6666666667 -12.2035266776
2 3095 0.000208991117239 2.55195338019e-05 -56.8617850532 -12.1374901758
3 3246 0.000453193753423 2.64220204763e-05 -57.0917110527 -12.192378681
4 3215 0.000709509349008 2.57006767035e-05 -57.3353128757 -12.1520878862
5 3326 0.000950475640438 2.6960946866e-05 -57.566477557 -12.1459416088
6 3189 0.0012140079621 2.60775300073e-05 -57.8217110592 -12.1467623165
7 3231 0.00146523703682 2.58457475428e-05 -58.0674171861 -12.1954856131
8 3311 0.00170893815631 2.66418414092e-05 -58.308020709 -12.1619494018
9 3230 0.00196692608231 2.61199046165e-05 -58.56518948 -12.107933141
10 3263 0.00221611233439 2.66446155614e-05 -58.8160213761 -12.2197852133
11 3185 0.00247740876896 2.59977898641e-05 -59.0816536701 -12.1697517222
12 3242 0.00272702250721 2.62439193432e-05 -59.3379419577 -12.204780317
13 3251 0.00297828260881 2.6046572881e-05 -59.5984570685 -12.1911619259
14 3295 0.0032248100016 2.69660282636e-05 -59.8565748076 -12.0358749546
15 3164 0.00348996562747 2.58550619928e-05 -60.137013056 -12.2644053622
16 3245 0.00373820917744 2.62126361566e-05 -60.4022500854 -12.1091518893
17 3261 0.00398826564852 2.66121355071e-05 -60.6720898046 -12.1305516066
18 3193 0.00424831095467 2.61134721118e-05 -60.9555896032 -12.2199178741
19 3221 0.00450125319371 2.62134025591e-05 -61.2342071765 -12.2366051023
20 3240 0.0047527725745 2.59833300406e-05 -61.5140989219 -12.3447618852
21 3288 0.00500005786075 2.63420158486e-05 -61.7920835454 -12.1663639763
22 3276 0.00525054201046 2.64997920791e-05 -62.0765426242 -12.137453087
23 3233 0.00550587152613 2.62596127907e-05 -62.3695320572 -12.1743297129
24 3245 0.00575714755581 2.68138526582e-05 -62.6609012503 -12.157281076
25 3143 0.00602281442359 2.63791591111e-05 -62.9722800951 -12.1514949901
26 3129 0.00628486545523 2.60468927768e-05 -63.2828211853 -12.1394187489
27 3179 0.0065395761995 2.61667521693e-05 -63.5879533653 -12.2565620022
28 3206 0.00679324712859 2.63381966672e-05 -63.8951154577 -12.1877692509
29 3204 0.0070484477216 2.64396953863e-05 -64.207481799 -12.2501320788
30 3172 0.00730820976274 2.6293772222e-05 -64.528940872 -12.2443323182
31 3174 0.0075657897554 2.63243823474e-05 -64.8512537806 -12.2854564253
32 3165 0.00782488463392 2.5887572941e-05 -65.17909264 -12.1304534271
33 3236 0.00807456456786 2.68269676382e-05 -65.4985208595 -12.1488709731
34 3136 0.00834054040128 2.57740717657e-05 -65.8426426354 -12.1766189806
35 3239 0.00858785017089 2.65375933256e-05 -66.1662328541 -12.2335789157
36 3192 0.00884648165741 2.61007344185e-05 -66.5084307754 -12.2463643899
37 3226 0.00909851503954 2.68942861568e-05 -66.8456931721 -12.1798531844
38 3104 0.00936886295032 2.58572904456e-05 -67.2116997597 -12.2562006465
39 3180 0.00962253698605 2.57816641216e-05 -67.5591897733 -12.2213645542
40 3276 0.00986782200426 2.7013594929e-05 -67.8989885566 -12.2849488383
41 3126 0.0101379086692 2.59132877654e-05 -68.2775434247 -12.2747256581
42 3195 0.0103907233828 2.60806198039e-05 -68.6361399686 -12.2383927348
43 3233 0.0106420392628 2.64704021657e-05 -68.9967563885 -12.1302212531
44 3200 0.010899387317 2.64583157109e-05 -69.370387499 -12.235100952
45 3167 0.0111594823724 2.62606315519e-05 -69.7525687026 -12.3433744408
46 3170 0.0114176835881 2.65526052109e-05 -70.1365856652 -12.2119176388
47 3118 0.0116829382147 2.65343463801e-05 -70.53597349 -12.3419457732
48 3072 0.0119519320868 2.55533791051e-05 -70.9461377203 -12.2949823766
49 3214 0.0121989477436 2.65134146673e-05 -71.3274389833 -12.2137168658
50 3171 0.0124591493583 2.63218760252e-05 -71.7339986238 -12.2289157518
51 3169 0.0127172959813 2.66549541127e-05 -72.1424115057 -12.2591131825
52 3102 0.0129844557223 2.54126027418e-05 -72.5704967842 -12.3268074622
53 3270 0.0132262251663 2.70845111151e-05 -72.9627324585 -12.2607412171
54 3118 0.0134963394589 2.53084334037e-05 -73.4064906621 -12.363335659
55 3296 0.0137363286777 2.70525902482e-05 -73.8057516114 -12.3284421572
56 3147 0.0140039895257 2.68672739328e-05 -74.2566991788 -12.2513538699
57 3033 0.0142803018101 2.56976421296e-05 -74.7285958936 -12.4138791657
58 3139 0.0145354838623 2.60101608966e-05 -75.1702727976 -12.2947630547
59 3194 0.0147887379165 2.62100368526e-05 -75.6142941388 -12.3076407092
60 3211 0.0150427420647 2.73932372754e-05 -76.0654266908 -12.1988528938
61 3012 0.015324724065 2.55496224727e-05 -76.5731875834 -12.3322922423
62 3153 0.0155763736718 2.59463799894e-05 -77.0326193247 -12.4036557003
63 3215 0.0158280236341 2.67073964247e-05 -77.4981058906 -12.2729461144
