100 100000 0.95 gpomdp cheb_gpomdp 30000000

1 100 0 4.26642421543e-06 -56.6666666667 -12.0628737913
2 4160 -3.53671856e-05 1.9152968381e-05 -56.6337967552 -12.1728962069
3 3073 -0.00022011949678 1.56065375396e-05 -56.4627882766 -12.109551157
4 3253 -0.000366423953893 1.65953025385e-05 -56.3281937938 -12.1712036258
5 3115 -0.000525413339707 1.60605236423e-05 -56.1827502991 -12.0897668902
6 3149 -0.000678443159559 1.6087307631e-05 -56.0435591357 -12.0808605129
7 3175 -0.000831105786884 1.65983012842e-05 -55.9054777468 -12.1273997849
8 3039 -0.000992089814982 1.54978805629e-05 -55.7607020083 -12.1189487815
9 3253 -0.00113738131981 1.67114152793e-05 -55.6307662063 -12.0157621577
10 3078 -0.00129842824198 1.55700139003e-05 -55.4875397768 -12.1850014144
11 3271 -0.0014440011947 1.57930324126e-05 -55.358792624 -12.1662912075
12 3398 -0.00158886928251 1.71763063965e-05 -55.2313397925 -12.2238071762
13 3068 -0.0017546873929 1.57794981679e-05 -55.0862702086 -12.1561508418
14 3191 -0.00190404055792 1.59834421887e-05 -54.9563436886 -12.1489098974
15 3251 -0.00205392385093 1.64666446357e-05 -54.8266536747 -12.0037667571
16 3154 -0.00221070315924 1.64921191408e-05 -54.691738556 -12.1096551913
17 3052 -0.00237032734394 1.53931719468e-05 -54.5551481536 -12.1853973512
18 3302 -0.00251356467462 1.62952989539e-05 -54.4332384199 -12.1365311764
19 3259 -0.00266617789968 1.63942100527e-05 -54.3040286335 -12.1197993172
20 3185 -0.00282150429579 1.62244053365e-05 -54.1732361933 -12.1582315242
21 3167 -0.00297566393735 1.59669914573e-05 -54.0441330909 -12.2334432151
22 3232 -0.00312583377413 1.67467249183e-05 -53.9190429721 -12.0759694612
23 3048 -0.00328803447459 1.56300835886e-05 -53.7846698453 -12.0471027706
24 3219 -0.00343533551794 1.67460466536e-05 -53.6632994279 -12.1360705914
25 3036 -0.00359785124402 1.50289939218e-05 -53.5301148513 -12.1236485039
26 3409 -0.0037354916442 1.67688674306e-05 -53.4179040184 -12.0570326356
27 3207 -0.00389381178413 1.58957390757e-05 -53.2894956809 -12.1242886952
28 3297 -0.00404183978784 1.60713103038e-05 -53.1700703524 -12.1780162552
29 3329 -0.00419076730239 1.67041558266e-05 -53.0505341333 -12.107330227
30 3153 -0.00434983758619 1.57019499061e-05 -52.9235326404 -12.1971309371
31 3306 -0.00449586338994 1.68006920688e-05 -52.8075556074 -12.0057186904
32 3100 -0.00465719602111 1.61227024892e-05 -52.6800948325 -12.1317805534
33 3114 -0.00481167618026 1.57023235439e-05 -52.5587050834 -12.0725717735
