100 100000 0.95 reinforce cheb_reinforce 30000000
43 14068 -0.00645786739 1.59704920009e-05 -51.3037753371 -12.1155079804
44 14350 -0.00661096889432 1.50107398557e-05 -51.1905377806 -12.0854675702
45 16139 -0.0067466612829 1.71968695494e-05 -51.0906550725 -12.1004409157
46 14538 -0.00691045380607 1.54981904163e-05 -50.9706826638 -12.0688775756
47 15559 -0.00705314109516 1.66555131064e-05 -50.8666954653 -12.0718001466
48 14806 -0.00721033448295 1.62333963862e-05 -50.752699641 -12.1033150048
49 14706 -0.00736406558711 1.63495174511e-05 -50.6417813948 -12.0899943539
50 14435 -0.00752033961296 1.58349392782e-05 -50.529598474 -12.1224950385
51 14929 -0.00766917162041 1.60776130668e-05 -50.4232882506 -12.0555521482
52 15064 -0.0078196051942 1.55043342822e-05 -50.3163559787 -12.0767220389
53 16112 -0.00795987857835 1.69755067317e-05 -50.2171152717 -12.0465663354
54 14843 -0.00811989289698 1.56692119449e-05 -50.1044573657 -12.0562355397
55 15611 -0.00826391143712 1.62690140117e-05 -50.0035581059 -12.0475600057
56 15449 -0.00841422623922 1.61377021485e-05 -49.8987460555 -12.0590546179
57 15494 -0.00856311238285 1.59339870818e-05 -49.7954284278 -12.0787228024
58 15864 -0.00870839551654 1.64987515651e-05 -49.695085689 -12.0203153242
59 15338 -0.00886138457493 1.56366888339e-05 -49.5899238701 -12.0679508533
60 16186 -0.00900253257869 1.7393994263e-05 -49.4933559753 -12.022516566
61 14292 -0.00916962296333 1.55328629872e-05 -49.3795991752 -12.0490900482
62 15242 -0.00931410946613 1.6373310198e-05 -49.2817171852 -12.0486461061
63 14925 -0.00946802012093 1.61064895622e-05 -49.1779428595 -12.0143657771
64 15016 -0.00961896510173 1.57215023258e-05 -49.0766576582 -12.0445283177
65 15710 -0.00976301165211 1.62997886058e-05 -48.9804502082 -12.0251272557
66 15499 -0.00991337004318 1.61532069884e-05 -48.8804914706 -12.0384642634
67 15520 -0.0100622757513 1.70920603036e-05 -48.781962692 -12.0671559554
68 14130 -0.010227405268 1.53047088239e-05 -48.6732351487 -12.0437431117
69 15423 -0.0103689311776 1.6184632501e-05 -48.5804947826 -12.1302909194
70 15394 -0.010518732371 1.6074678525e-05 -48.4827766948 -12.0223057407
71 15538 -0.0106668273857 1.63825904872e-05 -48.3866183585 -12.0262364369
72 15201 -0.0108194231865 1.61921884281e-05 -48.2879991069 -12.0286379605
73 15161 -0.0109704426105 1.60169003159e-05 -48.1908565583 -12.044480555
74 15393 -0.0111186995173 1.64496150864e-05 -48.0959310412 -12.009501134
75 14957 -0.0112731636795 1.56181664212e-05 -47.9974916978 -12.0466720733
76 15813 -0.0114157944687 1.65539422399e-05 -47.907008228 -12.0875619721
77 15203 -0.0115699734493 1.62602098869e-05 -47.8096432789 -12.0448067962
78 15059 -0.0117221414832 1.65119668263e-05 -47.7139980379 -12.0124181079
79 14540 -0.0118793975368 1.52902806776e-05 -47.6156209138 -11.9945084069
80 15894 -0.0120186799545 1.60308643411e-05 -47.5288808663 -12.024295029
81 16114 -0.0121637068407 1.7269278342e-05 -47.4389531189 -12.0052035013
82 14409 -0.0123289217508 1.57190894939e-05 -47.3369884751 -12.013712431
83 15078 -0.0124759304979 1.59416613919e-05 -47.2466879815 -12.0230148321
84 15426 -0.0126233325156 1.64047877832e-05 -47.1565477641 -12.0051712588
85 15057 -0.0127768615019 1.58062494743e-05 -47.063085695 -12.0484068665
86 15618 -0.0129221111684 1.6229825256e-05 -46.9750602341 -12.0422909281
87 15518 -0.0130717325585 1.63169105325e-05 -46.8847857871 -11.9998550931
88 15283 -0.0132233087522 1.63210342329e-05 -46.7937434949 -12.0353221873
89 15045 -0.0133761164171 1.56195574478e-05 -46.7023780382 -12.0098617956
90 15904 -0.0135183521839 1.67803822296e-05 -46.6177069495 -12.0136935114
91 14944 -0.0136759915179 1.58418825589e-05 -46.5242840227 -12.0163112604
92 15444 -0.0138223826691 1.63498669599e-05 -46.4379178772 -11.994396011
93 15159 -0.0139748831337 1.52864340869e-05 -46.3483448629 -11.9986743945
94 16577 -0.0141112311816 1.69122122164e-05 -46.2686003751 -12.0326397474
95 15369 -0.0142678937144 1.57828440542e-05 -46.1773698635 -12.0233100324
96 15979 -0.0144112780508 1.59836040288e-05 -46.0942396862 -12.0000415546
97 16278 -0.0145551467499 1.72397949496e-05 -46.0111798442 -12.0102622326
98 14599 -0.0147190016215 1.54417507496e-05 -45.9170069976 -12.0507983607
99 15714 -0.0148604653354 1.63074388786e-05 -45.8360653145 -12.0232780699
100 15491 -0.0150109335235 1.60485544831e-05 -45.750337471 -12.0211858793
101 15677 -0.0151581289443 1.61228659373e-05 -45.6668369655 -12.0128815972
102 15746 -0.0153056814544 1.58214011791e-05 -45.5834916102 -11.9601135701
103 16307 -0.0154479633218 1.69834331721e-05 -45.5034604482 -12.0345356679
104 15010 -0.015607156238 1.57693479159e-05 -45.4143068453 -12.0215275309
105 15627 -0.0157520217205 1.61421307097e-05 -45.333532524 -12.0487279902
106 15665 -0.0159001313897 1.56637408544e-05 -45.251297174 -12.0276956995
107 16485 -0.0160402325213 1.73295496981e-05 -45.1738301373 -11.9810319292
108 14651 -0.0162046493106 1.53893551954e-05 -45.0833144243 -12.0236794851
109 15854 -0.0163450080133 1.61704257737e-05 -45.0063798063 -11.976783512
110 15847 -0.0164925229042 1.63466080034e-05 -44.9258545745 -11.9711616532
111 15560 -0.016643016902 1.54959141959e-05 -44.8440514613 -12.0045770163
112 16656 -0.0167809024551 1.67100078127e-05 -44.769408797 -12.0117214308
113 15762 -0.0169337498581 1.58313920441e-05 -44.6870076237 -11.9474643871
114 16307 -0.0170761215144 1.64779475908e-05 -44.6105744829 -11.9831055107
115 15800 -0.0172266690382 1.64771626409e-05 -44.530086217 -11.9728974347
116 15310 -0.0173795995476 1.63113598654e-05 -44.4486733925 -11.9301021592
117 15086 -0.0175321070639 1.5365628177e-05 -44.3678342741 -11.9757905705
118 16365 -0.0176700474886 1.66043134345e-05 -44.2950145948 -11.9994786824
119 15654 -0.0178224537527 1.59730438259e-05 -44.2148853155 -12.0065132554
120 15964 -0.017967634363 1.54394785239e-05 -44.1388723525 -11.9920148813
121 17187 -0.0181028794968 1.69373649252e-05 -44.0683382711 -11.9762619693
122 15894 -0.0182571621584 1.574204976e-05 -43.988199778 -11.9911185241
123 16594 -0.0183975029652 1.58944195892e-05 -43.9156013546 -11.9370850232
124 17058 -0.0185372585569 1.70990970317e-05 -43.8435863856 -11.9299176589
125 15519 -0.0186948890195 1.57783771699e-05 -43.7626947849 -11.9804589483
126 16142 -0.0188375059813 1.61579147396e-05 -43.6898110901 -11.9228323782
127 16156 -0.0189834931891 1.66622629854e-05 -43.6155017435 -12.010368833
128 15363 -0.0191378702466 1.54795831398e-05 -43.5372464134 -11.9864597343
129 16473 -0.0192763757203 1.66441589011e-05 -43.4673187913 -12.0064741836
130 15694 -0.0194289539728 1.59825933745e-05 -43.3905933413 -11.9901118722
131 15989 -0.0195741064825 1.57460003152e-05 -43.3178990861 -11.9314248759
132 16686 -0.0197140929503 1.664725631e-05 -43.2480648219 -11.9823153116
133 15892 -0.0198657462518 1.593550566e-05 -43.1727108461 -11.9613378207
134 16269 -0.0200092233441 1.62425641174e-05 -43.1017054622 -11.9484875953
135 16144 -0.0201560305442 1.65139208738e-05 -43.0293381324 -11.9419309119
136 15585 -0.0203079433145 1.61713634017e-05 -42.9547568899 -11.9701370582
137 15577 -0.0204567415314 1.62168543083e-05 -42.8820015402 -11.95500332
138 15497 -0.0206063414955 1.5647508423e-05 -42.8091485031 -11.9556670083
139 16335 -0.0207469379883 1.65740809513e-05 -42.7409474623 -11.9397244408
140 15673 -0.0208989731925 1.57979391851e-05 -42.6674875917 -11.9583805026
141 16270 -0.021041204958 1.68593319393e-05 -42.5990356594 -11.9501406623
142 15166 -0.0211984222586 1.52732045259e-05 -42.5236747956 -11.9598756571
143 16607 -0.021334529177 1.66749225985e-05 -42.4586886287 -11.9304964218
144 15772 -0.0214870090874 1.59015495014e-05 -42.3861650103 -11.9253496022
145 16202 -0.0216304765259 1.60558959811e-05 -42.3181966608 -11.9718617024
146 16385 -0.0217745254933 1.57917336661e-05 -42.2502133838 -11.9214106785
147 17020 -0.021913534178 1.69649157754e-05 -42.1848550148 -11.9403464941
148 15696 -0.0220690410723 1.65293472478e-05 -42.1120244878 -11.9297667816
149 15129 -0.0222233711372 1.57328665452e-05 -42.0400408066 -11.9278463994
150 15810 -0.022367065401 1.60984108148e-05 -41.9732811905 -11.9068737028
151 15919 -0.0225135911615 1.54318039663e-05 -41.9054659593 -11.9573311716
152 17152 -0.022648907163 1.62166019117e-05 -41.8430706235 -11.9289677881
153 17065 -0.0227914691354 1.66053411952e-05 -41.7775735398 -11.9102851636
154 16322 -0.0229407338601 1.6791427514e-05 -41.7092588295 -11.9451584902
155 15319 -0.0230965311829 1.60166744225e-05 -41.6382383204 -11.9142447151
156 15553 -0.0232440177768 1.60021992697e-05 -41.5712719995 -11.8857964185
157 15814 -0.0233901509831 1.58513443542e-05 -41.5051736049 -11.9131254181
158 16328 -0.0235326117818 1.61389514222e-05 -41.4409777587 -11.9260048247
159 16373 -0.0236774553181 1.59280524919e-05 -41.3759512396 -11.9341357661
160 16774 -0.023818689628 1.68764836805e-05 -41.312779732 -11.90431811
161 15608 -0.0239738193177 1.57636527803e-05 -41.2436585983 -11.9438930326
162 16259 -0.024115790148 1.64683830964e-05 -41.1806428952 -11.8946828687
163 15768 -0.024266399162 1.60431407387e-05 -41.1140446367 -11.9408354125
164 15966 -0.0244122066635 1.54826288215e-05 -41.0498149895 -11.9273178046
165 17114 -0.0245481192244 1.64536844103e-05 -40.9901603857 -11.8948709067
166 16622 -0.0246946775988 1.63069350849e-05 -40.9260656441 -11.9299225359
167 16387 -0.0248409700485 1.60190107202e-05 -40.8623265118 -11.901960047
168 16634 -0.02498360727 1.61634710023e-05 -40.800408891 -11.912324398
169 16639 -0.0251275092836 1.6601844605e-05 -40.7381700433 -11.9282707225
170 15920 -0.0252786140898 1.63078557522e-05 -40.6730608494 -11.921316069
171 15693 -0.025428112584 1.5857664563e-05 -40.608889332 -11.9235090145
172 16192 -0.0255712244902 1.59980549121e-05 -40.5476867504 -11.9244056863
173 16471 -0.0257143779677 1.60866794652e-05 -40.4866878297 -11.8732984611
174 16605 -0.0258577435155 1.66191973317e-05 -40.4258193152 -11.8919020975
175 15860 -0.0260092943008 1.62672977615e-05 -40.3617145079 -11.8985828926
176 15698 -0.0261583957605 1.5230164725e-05 -40.2988840336 -11.8920625853
177 17265 -0.0262915075198 1.66658247259e-05 -40.2429901338 -11.8825318844
178 16412 -0.0264409030577 1.62486033032e-05 -40.1804805841 -11.9001399507
179 16276 -0.0265871684302 1.60923545127e-05 -40.1195069481 -11.911130445
180 16399 -0.0267314826727 1.61731053382e-05 -40.0595648336 -11.8929148465
181 16388 -0.0268765693743 1.65991786216e-05 -39.9995191293 -11.8989753052
182 15684 -0.0270287819271 1.51870735351e-05 -39.9367571883 -11.9068227052
183 17325 -0.0271612852427 1.68416052677e-05 -39.8823150887 -11.876778645
184 16178 -0.0273133436457 1.64082212184e-05 -39.8200586278 -11.9184275069
185 15786 -0.0274633194264 1.49576189619e-05 -39.7588842457 -11.8799770847
186 17851 -0.0275918864519 1.72490259297e-05 -39.7066227934 -11.8395869621
187 15995 -0.027748512598 1.58391930229e-05 -39.643179364 -11.8471103573
188 16535 -0.0278899691531 1.64398324103e-05 -39.5860907584 -11.8657604021
189 16083 -0.0280388413112 1.56066231935e-05 -39.5262236654 -11.8883105764
190 17024 -0.0281762063148 1.56810509793e-05 -39.4711779487 -11.8695885669
191 17884 -0.0283108660382 1.69244980778e-05 -39.4173960443 -11.925492656
192 16561 -0.0284618989442 1.61614613834e-05 -39.3572854701 -11.8510605636
193 16569 -0.0286060851324 1.62619825544e-05 -39.3001065777 -11.8786069816
194 16409 -0.0287518746579 1.53304044759e-05 -39.2424960667 -11.8529736518
195 17864 -0.0288835979103 1.65288360823e-05 -39.1906196916 -11.8878481678
196 17219 -0.0290282520921 1.64499460171e-05 -39.1338419049 -11.879287328
197 16731 -0.0291743020477 1.63416031216e-05 -39.076718244 -11.8396938582
198 16436 -0.0293206843366 1.56993243021e-05 -39.0196671728 -11.9397970858
