100 100000 0.5 reinforce cheb_reinforce 30000000

1 100 0 2.14877327807e-05 -56.6666666667 -12.1370750925
2 27693 -0.000204395479287 1.58593943664e-05 -56.4772970979 -12.1081727222
3 28569 -0.000352922705802 1.66957302446e-05 -56.3405840134 -12.1487319641
4 27075 -0.00051353809762 1.57728201285e-05 -56.1935843929 -12.1319128659
5 28178 -0.000662275449326 1.63217652836e-05 -56.0582278847 -12.1700217518
6 27737 -0.000817409352346 1.61757448923e-05 -55.9178345241 -12.1267495614
7 27710 -0.000971229201462 1.61807172345e-05 -55.7794143971 -12.1137940219
8 27669 -0.00112521011766 1.63973673647e-05 -55.6416247041 -12.1134224739
9 27028 -0.00128309378399 1.57327804479e-05 -55.5011413899 -12.1263085438
10 28244 -0.00143128078612 1.67203344246e-05 -55.3700157422 -12.1386793962
11 26700 -0.00159325756296 1.54967826169e-05 -55.2274894361 -12.137855002
12 28579 -0.00173836452433 1.6663830649e-05 -55.1005122362 -12.1384822787
13 27172 -0.00189838602456 1.58725168091e-05 -54.9612500514 -12.1060233702
14 27994 -0.00204855453017 1.6037601603e-05 -54.8312875975 -12.116810716
15 28362 -0.00219929866784 1.59457834358e-05 -54.7015271483 -12.117911274
16 29004 -0.00234751185107 1.64460295673e-05 -54.5746238536 -12.1077133545
17 28192 -0.00250255892992 1.6190915897e-05 -54.4425834684 -12.1398011391
18 28121 -0.00265539313992 1.64551638217e-05 -54.313136622 -12.1498782283
19 27309 -0.00281301608903 1.5774058905e-05 -54.1803651602 -12.0707471527
20 28418 -0.00296113578552 1.6672560948e-05 -54.0562699904 -12.1658171389
21 26995 -0.00312176508404 1.58490357514e-05 -53.9224234636 -12.1093733024
22 27878 -0.00327202294654 1.5995739439e-05 -53.7979004486 -12.1328341765
23 28364 -0.00342236630198 1.60155631604e-05 -53.6739605013 -12.1136496392
24 28801 -0.00357175102553 1.67268523376e-05 -53.5514536367 -12.0999578687
25 27209 -0.00373226942334 1.58477557678e-05 -53.4205247897 -12.0786794921
26 28103 -0.00388191341264 1.6204841424e-05 -53.2991215869 -12.1327760068
27 27993 -0.00403522937092 1.59603435932e-05 -53.1753904424 -12.1011256947
28 28584 -0.00418466285521 1.67090967716e-05 -53.0554217893 -12.1012559904
29 27053 -0.00434547357095 1.57771537075e-05 -52.9270075999 -12.0999176263
30 28143 -0.00449434503699 1.6366068299e-05 -52.8087585306 -12.0973322006
31 27578 -0.00465034684781 1.60936258371e-05 -52.6854917258 -12.0891230065
32 27782 -0.00480318816723 1.66291784171e-05 -52.5653583156 -12.0872495722
33 26508 -0.00496486700136 1.57707479554e-05 -52.4389583932 -12.1248847956
34 27594 -0.00511515109763 1.61041610002e-05 -52.3220886509 -12.0710446056
35 27768 -0.0052681298833 1.59622558093e-05 -52.2037338539 -12.0873986495
36 28349 -0.00541820010779 1.61360292395e-05 -52.0882232239 -12.0842624709
37 28436 -0.0055696714623 1.62732114787e-05 -51.9722260554 -12.0816070713
38 28129 -0.00572326189356 1.60875537136e-05 -51.8552086865 -12.0826017693
39 28354 -0.00587449515035 1.58584513427e-05 -51.7405755724 -12.0963813295
40 29254 -0.00602126514727 1.67845290951e-05 -51.6298795979 -12.0511403988
41 27476 -0.0061815529743 1.56854786366e-05 -51.5096069992 -12.0977225033
42 28850 -0.00632773328651 1.60582665985e-05 -51.4004789783 -12.0567772845
43 29168 -0.00647657159392 1.61598760729e-05 -51.2899104164 -12.0688754415
44 29187 -0.00662630299193 1.65181657516e-05 -51.179227923 -12.0657888512
45 28163 -0.00678211001081 1.57420755438e-05 -51.0646350908 -12.081593372
46 29402 -0.00692743463089 1.63363176752e-05 -50.9582818149 -12.086240412
47 28899 -0.00707955274826 1.63478447832e-05 -50.847500726 -12.0799261451
48 28371 -0.00723318705298 1.60255952112e-05 -50.7361759662 -12.0875857079
49 28779 -0.00738272302976 1.60728260315e-05 -50.6283578291 -12.0972263566
50 29053 -0.00753199018333 1.63380189736e-05 -50.521257893 -12.0742746496
51 28551 -0.00768504837752 1.6220821902e-05 -50.4119779183 -12.0516520625
52 28393 -0.00783743020955 1.62578649018e-05 -50.3037200675 -12.079467693
53 28130 -0.00799087245336 1.59295895935e-05 -50.1952484942 -12.0498011951
54 28814 -0.00813942225532 1.62380956646e-05 -50.090747608 -12.0809872098
55 28605 -0.00829140170725 1.64924103895e-05 -49.9843516613 -12.0473329528
56 27674 -0.00844833531735 1.59923166268e-05 -49.8750328404 -12.0901280766
57 28167 -0.00859917328846 1.58458339979e-05 -49.7704786212 -12.0505506278
58 29098 -0.00874621827416 1.63011346987e-05 -49.6690391413 -12.0575741118
59 28702 -0.00889852760437 1.63046853535e-05 -49.5644699025 -12.0764666578
60 28301 -0.00905194506713 1.64228844994e-05 -49.4596524444 -12.0238278178
61 27574 -0.00920850128376 1.54963663127e-05 -49.3532169941 -12.04388725
62 29515 -0.00935128317567 1.61919878242e-05 -49.2566064371 -12.0651408012
63 29438 -0.00950067075684 1.62329167413e-05 -49.1559930736 -12.0730245052
64 29239 -0.00965094338081 1.60312349857e-05 -49.0552618942 -12.0323614362
65 29642 -0.00979833706709 1.63721186651e-05 -48.9569232539 -12.0858533608
66 29029 -0.00995044605079 1.62483639422e-05 -48.8559157411 -12.0415093259
67 28788 -0.0101020363352 1.61459030027e-05 -48.7557314135 -12.0511139049
68 28847 -0.0102525156744 1.60448539566e-05 -48.656750647 -12.0130891961
69 29204 -0.0104011361967 1.59047677637e-05 -48.5594483418 -12.0464705271
70 29989 -0.0105465183878 1.63753281406e-05 -48.4647014272 -12.0380596466
71 29359 -0.0106977990575 1.59114864118e-05 -48.3665642814 -12.0309867983
72 30128 -0.0108429077127 1.63418109176e-05 -48.2728629624 -12.0455888611
73 29596 -0.0109932742614 1.64064710658e-05 -48.1762096471 -12.0376914738
74 28883 -0.0111460867923 1.6515241166e-05 -48.0784430638 -12.0449316421
75 27878 -0.0113026606675 1.58149323068e-05 -47.9787465672 -12.0296016585
76 28890 -0.0114499463008 1.57907020092e-05 -47.8854014262 -12.0272268089
77 30013 -0.0115942299296 1.63024583743e-05 -47.7943670091 -11.996818575
78 29601 -0.0117442218257 1.64302709923e-05 -47.7001563728 -12.0529182151
79 28819 -0.0118974278956 1.5918566642e-05 -47.6043715106 -12.0238296737
80 29552 -0.0120440075919 1.61934481869e-05 -47.5131472109 -12.0414311577
81 29470 -0.0121933261521 1.61140435891e-05 -47.4206355483 -12.0210009121
82 29626 -0.0123415208576 1.65822915534e-05 -47.3292336946 -12.0232455159
83 28402 -0.0124972751011 1.55196254808e-05 -47.2336103426 -12.0129403575
84 30330 -0.0126383382415 1.68374790096e-05 -47.1473938293 -12.0508492105
85 28334 -0.0127966781538 1.55928131904e-05 -47.0510535845 -12.021233717
86 30033 -0.0129391054308 1.67767663381e-05 -46.9647862967 -12.0346435038
87 28230 -0.0130971654496 1.55955763662e-05 -46.8694810003 -12.025778453
88 29914 -0.0132399001697 1.63730259685e-05 -46.7838031087 -11.986436851
89 29293 -0.0133913313896 1.63166022657e-05 -46.6933036154 -12.0147622599
90 28849 -0.013543396209 1.56272360836e-05 -46.6028356598 -12.0250370003
91 30472 -0.0136851058074 1.67887685293e-05 -46.5188959244 -12.0252265644
92 28608 -0.0138422309519 1.59600833008e-05 -46.4262368445 -12.0066665981
93 29213 -0.0139900451239 1.63751555112e-05 -46.3394613453 -12.0225013969
94 28600 -0.0141433189402 1.56600895874e-05 -46.2498801403 -12.0294607442
95 30108 -0.0142861816223 1.62984106255e-05 -46.1667475369 -11.9973031503
96 29707 -0.0144358687789 1.63593690143e-05 -46.0800178377 -11.9765153141
97 29130 -0.0145875948023 1.5778283461e-05 -45.9924949682 -12.0340763076
98 30300 -0.0147310792924 1.61367529958e-05 -45.9100834116 -11.9788845469
99 30391 -0.0148776048877 1.65317581906e-05 -45.8262812205 -12.0063743012
100 29285 -0.0150305254075 1.6363362754e-05 -45.7392028106 -12.002592844
