100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.53052781323e-05 -56.6666666667 -12.626636193
2 3931 0.000200366710186 2.9435520966e-05 -56.8537030829 -12.1451741057
3 3224 0.000484983888192 2.59742273633e-05 -57.1217973297 -12.227918608
4 3280 0.000732035686375 2.62325237776e-05 -57.356834143 -12.1624553773
5 3281 0.000982000560215 2.60775368514e-05 -57.596875883 -12.1561294145
6 3312 0.00122821256965 2.6426454816e-05 -57.8355408888 -12.152287863
7 3287 0.00147830083552 2.63213469118e-05 -58.0802582001 -12.1738293471
8 3276 0.00172891470541 2.66163982956e-05 -58.3278430039 -12.1698859822
9 3210 0.00198727995342 2.57641675573e-05 -58.5855874824 -12.0695770489
10 3308 0.00223018900412 2.59921747946e-05 -58.8302631832 -12.1184644059
11 3359 0.00247184569734 2.66255356488e-05 -59.0759701747 -12.2083813969
12 3281 0.00272546977188 2.67092761631e-05 -59.3363399782 -12.2434106446
13 3195 0.00298612291891 2.61583507656e-05 -59.6066275214 -12.2431494153
14 3223 0.00323857238572 2.61748206089e-05 -59.8710582177 -12.135239875
15 3250 0.0034888550072 2.63720755163e-05 -60.1358322745 -12.2186918357
16 3235 0.00374255547212 2.63333602087e-05 -60.4069172766 -12.1841831982
17 3225 0.00399692358298 2.58653191409e-05 -60.6814811169 -12.1217292312
18 3317 0.00423883228131 2.69160127963e-05 -60.9452039109 -12.2219480731
19 3195 0.00450096915728 2.58380760163e-05 -61.2338927095 -12.1700648298
20 3277 0.00474694369418 2.67380132351e-05 -61.5075801259 -12.1506435546
21 3186 0.00500850940313 2.57699429489e-05 -61.80163396 -12.2434777829
22 3283 0.00525326270258 2.64677613202e-05 -62.0796484098 -12.0741237375
23 3256 0.00550559774485 2.65131965151e-05 -62.3692162403 -12.2619612745
24 3199 0.00576491560155 2.62353661619e-05 -62.6699571762 -12.1567189212
25 3200 0.00602112056888 2.59966894312e-05 -62.9702838535 -12.226573039
26 3259 0.00626923979892 2.61549079172e-05 -63.2642084585 -12.2277451479
27 3280 0.00651810635686 2.6477333596e-05 -63.5621069893 -12.2063247959
28 3249 0.00677123213864 2.61657982812e-05 -63.8683273374 -12.3077340488
29 3268 0.00702098260374 2.6946561008e-05 -64.173701309 -12.2809563519
