10 100000 0.95 gpomdp sample_hoeffding 30000000

1 10 0 1.6605522733e-05 -56.6666666667 -12.510757709
2 10 -0.000142642343384 5.86550826378e-09 -56.5343594825 -11.997202016
3 122 -0.000142663768324 1.22824830887e-05 -56.5343396624 -12.25941128
4 182 -0.000256879967364 1.65853622442e-05 -56.4289016366 -12.3723415238
5 175 -0.000417006087041 2.23757784619e-05 -56.2818288833 -11.8214078204
6 93 -0.000638220155272 1.5600324968e-05 -56.0800690348 -11.7127647538
7 99 -0.000788348376534 1.31599006504e-05 -55.9440735318 -12.660086226
8 135 -0.000889435068513 1.02869498997e-05 -55.852922892 -12.2638469669
9 249 -0.000986511961373 2.06803890324e-05 -55.7657040612 -11.3779646409
10 158 -0.00118118164594 1.88854816225e-05 -55.591729613 -12.3850924012
11 120 -0.00134548907474 1.48096856582e-05 -55.4458441397 -12.2653545215
12 138 -0.00147688954089 1.68772689144e-05 -55.3297993997 -12.5697773443
13 129 -0.00163233821874 1.94880976528e-05 -55.1932262187 -11.9647707025
14 93 -0.00181777202861 1.09208264912e-05 -55.0313060945 -12.1915359733
15 161 -0.0019140865274 1.95158954043e-05 -54.9476293889 -11.8109905918
16 115 -0.00209749888631 1.57586750467e-05 -54.7890796928 -11.5765422846
17 120 -0.00223557839656 1.61972466525e-05 -54.6704016909 -12.346528566
18 120 -0.0023893700198 2.32157882826e-05 -54.538905091 -12.3333360206
19 59 -0.00260315452682 9.86835175081e-06 -54.357302627 -11.465480547
20 114 -0.00267720945278 1.81767117474e-05 -54.294715817 -12.2147166373
21 93 -0.00284700379835 2.10109016586e-05 -54.1518328323 -12.3596313031
22 57 -0.00305208152236 1.55336400168e-05 -53.9803954349 -11.8709647399
23 61 -0.00318742112609 8.63352753421e-06 -53.8679317107 -12.3500313828
24 136 -0.00325436071466 1.92376344677e-05 -53.8125036629 -12.0009655688
25 100 -0.00343118813643 1.98790232764e-05 -53.6667081713 -11.8654528788
26 69 -0.00361056690031 1.61561228092e-05 -53.5197259205 -11.7117746636
27 70 -0.00373801627153 9.93714286315e-06 -53.4158508349 -12.574023099
28 135 -0.00381705881409 1.9913422831e-05 -53.3516594697 -12.3455584282
29 93 -0.0040068902036 1.74284197777e-05 -53.1982116967 -11.756382917
30 82 -0.0041517035021 1.6124328517e-05 -53.0818291756 -11.7107593457
31 83 -0.00427982235117 2.09032186888e-05 -52.9793470517 -12.0656853439
32 52 -0.00447577722631 1.39492311926e-05 -52.8234740441 -11.2873747976
33 66 -0.00460166975483 1.70110339917e-05 -52.7238839061 -11.394757356
34 61 -0.00475719878174 1.26896282302e-05 -52.6014400896 -12.0431843006
35 88 -0.00487960134674 1.35705412673e-05 -52.5055320109 -12.0961351917
36 115 -0.00500645956744 1.80631685972e-05 -52.4065538172 -12.2053602198
37 95 -0.00517940973972 5.42692235326e-06 -52.2722990435 -12.9648693721
38 313 -0.00522127805695 2.34900925257e-05 -52.2399164663 -12.2319637354
39 148 -0.00542935382078 1.95590675282e-05 -52.0796614531 -11.9693210351
40 105 -0.00559524984138 1.42127921179e-05 -51.9526964319 -12.0261965748
41 129 -0.00571070020604 1.79305974894e-05 -51.8647565036 -11.7613439032
42 108 -0.00589317709561 1.06958163236e-05 -51.7264551632 -12.6061443421
43 191 -0.00598337257658 1.89722131044e-05 -51.6584066678 -12.1482897134
44 144 -0.00616697445388 1.37760477675e-05 -51.5205194752 -12.0332162276
45 184 -0.00627831298149 1.59252662089e-05 -51.4373133214 -12.4485783552
46 189 -0.00640959624077 2.29116574634e-05 -51.3395972319 -12.2411960675
47 95 -0.00662089477178 1.70414028878e-05 -51.183216169 -11.6862734963
48 87 -0.00675775745096 1.45847138486e-05 -51.0825070174 -12.265630591
49 103 -0.00687165307943 1.84761491363e-05 -50.9990443198 -12.1806840596
50 82 -0.00705608613522 9.51955426876e-06 -50.8645543242 -12.0550244497
51 165 -0.00714850559822 1.48649864077e-05 -50.7974674675 -11.232132373
52 189 -0.00728565732711 1.92296852208e-05 -50.6982838331 -12.4186065011
53 139 -0.00746065996863 1.94665858113e-05 -50.572372564 -12.306576594
54 100 -0.00764922249588 8.19517295319e-06 -50.4375079551 -11.8808880968
55 234 -0.00772213382411 2.06096139262e-05 -50.3855816222 -12.3941870028
56 149 -0.00791382947012 1.61805079565e-05 -50.2496443741 -12.0663330922
57 149 -0.00809331646655 1.51642784932e-05 -50.1231281228 -12.1670320625
58 165 -0.00824380794402 1.86968617163e-05 -50.0176144575 -12.3954801781
59 128 -0.00840877887169 2.09832458076e-05 -49.9025355675 -12.0835168794
60 79 -0.00859627387117 1.74810983314e-05 -49.7724836025 -11.9815923437
61 70 -0.00877859841261 7.90594983724e-06 -49.6467656651 -12.296901986
62 169 -0.00884235386314 1.7758742197e-05 -49.6029772398 -12.2878359224
63 144 -0.00898779474859 1.41546190462e-05 -49.5034187078 -11.7655972899
64 177 -0.00913032113524 1.8549249685e-05 -49.4063018909 -12.0714357633
65 139 -0.00931574842703 1.39338603813e-05 -49.2806094476 -12.4254046623
66 175 -0.00944652579135 2.59312877918e-05 -49.1924050608 -11.740793433
67 64 -0.00968854744258 1.34069712383e-05 -49.0301296698 -12.4055845206
68 85 -0.00983774670604 8.0183322978e-06 -48.9307070246 -12.39829357
69 203 -0.00991299062333 1.54748414346e-05 -48.880743116 -11.8769221906
70 218 -0.0100541367904 2.18702212219e-05 -48.7873362454 -11.771351088
71 122 -0.010266488373 1.6301211633e-05 -48.6475834375 -11.7823793021
72 121 -0.0104108615312 1.48158631018e-05 -48.5530968503 -12.0655810763
73 139 -0.0105437904926 1.63208799061e-05 -48.4664752769 -11.9206557624
74 137 -0.010682695298 1.41862549028e-05 -48.3763415178 -11.895812143
75 168 -0.0108129800788 1.99635245005e-05 -48.2921537158 -12.0970342247
76 115 -0.0109966303387 1.76013938508e-05 -48.1740575347 -11.8554917872
77 100 -0.0111678654924 1.55474189975e-05 -48.0645469423 -12.1174794376
78 107 -0.0113299807146 1.59402634016e-05 -47.9614000288 -11.3464246479
79 110 -0.0114756553913 1.89815954767e-05 -47.8691510164 -11.7842474798
80 83 -0.0116880609638 1.33985719116e-05 -47.7353806835 -11.8880002005
81 111 -0.0118071061575 1.26076088892e-05 -47.6607867244 -12.4060842297
82 160 -0.0119052089338 1.54398672202e-05 -47.599518717 -11.9089050163
83 173 -0.0120647658191 1.01701329232e-05 -47.5002611297 -11.6155611352
84 324 -0.0121563868045 1.72719531333e-05 -47.443482612 -11.9955170577
85 290 -0.0123127129395 2.06665145331e-05 -47.3469693902 -12.1310576672
86 184 -0.0124964129165 1.77131358843e-05 -47.2341384316 -11.8106934294
87 158 -0.0126482768409 1.23357680034e-05 -47.1413332699 -11.791740689
88 235 -0.0127514573948 1.80982250776e-05 -47.0785208458 -12.2990148118
89 194 -0.0129051376124 2.0265847772e-05 -46.9853268862 -12.2572675904
90 128 -0.0130961798682 1.87663574081e-05 -46.870073878 -11.6901533209
91 99 -0.0132710281837 1.93368973346e-05 -46.7651667263 -12.1021748557
92 72 -0.0134590400185 1.3415434508e-05 -46.6529711055 -12.5004004179
93 96 -0.013581299221 1.78953819959e-05 -46.5803496872 -11.9479439842
94 81 -0.0137427591182 1.48570855962e-05 -46.4848467395 -12.197200635
95 93 -0.0138868751242 1.3397224588e-05 -46.3999881088 -11.9727196601
96 124 -0.0140101752215 1.92500625017e-05 -46.3276731272 -12.1492114417
97 91 -0.0141841744847 1.06197325323e-05 -46.2260703332 -12.6445083035
98 162 -0.0142698665498 1.68292089375e-05 -46.176223689 -12.0276465302
99 152 -0.0144169727364 1.94340313176e-05 -46.090945297 -11.8676353994
100 110 -0.0146017055921 2.26988828615e-05 -45.9843749566 -12.2603454276
101 57 -0.014794120936 1.54088795207e-05 -45.8739841218 -11.8075156948
102 62 -0.0149607528517 1.26129172833e-05 -45.7788856603 -11.764977403
103 90 -0.015082302614 1.78643858802e-05 -45.7098068066 -12.2269432691
104 76 -0.01524558088 1.56904969339e-05 -45.6173964656 -11.6961611829
105 80 -0.0153805201174 1.51168348095e-05 -45.5413549961 -12.4462094144
106 90 -0.0155062742947 1.71888023642e-05 -45.4707566299 -12.6860120077
107 82 -0.0156693142317 1.01302004198e-05 -45.3796073441 -12.5911863664
108 154 -0.0157640996595 1.22127752373e-05 -45.3268133139 -11.5811441477
109 232 -0.0158628585332 2.34571300107e-05 -45.2719592893 -12.0500598548
110 110 -0.016066937815 1.8133320833e-05 -45.1590991364 -11.5518498809
111 91 -0.0162362149889 1.25194021694e-05 -45.0659854357 -11.8278951058
112 133 -0.0163429514233 2.30522312173e-05 -45.0075048543 -12.0814982889
113 66 -0.0165557988467 1.38769230764e-05 -44.8914173146 -12.0324989245
114 84 -0.0166701458872 1.29987511751e-05 -44.829342379 -11.9408078584
115 117 -0.0167864745368 1.73557600926e-05 -44.7663985635 -11.8895890044
116 104 -0.0169553104008 1.92986818347e-05 -44.6754128954 -12.3125436384
117 76 -0.0171507410493 1.3357612533e-05 -44.5706373243 -11.5212960712
118 102 -0.0172864322816 1.50885258579e-05 -44.4982293466 -11.7935999546
119 114 -0.0174190705492 9.63964187222e-06 -44.4277178461 -12.3924657621
120 226 -0.0174893073478 2.14536496741e-05 -44.3904859651 -12.0390921991
121 132 -0.0176591204167 1.60939134882e-05 -44.3007727898 -12.0737762614
122 133 -0.0178110918089 1.72451128971e-05 -44.2208471863 -12.245621919
123 120 -0.0179617554812 1.4591711897e-05 -44.1419443979 -11.2726901206
124 141 -0.0180722108531 2.05547549327e-05 -44.0843094817 -12.0371173287
125 91 -0.0182672165898 1.95811313449e-05 -43.9829891825 -11.5758791956
126 65 -0.0184396829136 1.92370033454e-05 -43.8938369143 -12.0000479151
127 48 -0.0186205123377 9.36973093324e-06 -43.8008188406 -11.4015307634
128 98 -0.0187190384041 1.3614258345e-05 -43.7503331414 -12.7391755766
