100 100000 0.95 gpomdp cheb_gpomdp 30000000

1 100 0 3.37837685339e-06 -56.6666666667 -11.8379111866
2 3627 -2.99958770616e-05 1.74802064565e-05 -56.6387860191 -12.2196713024
3 3175 -0.000195868978693 1.62800210922e-05 -56.4851681742 -12.1113167303
4 3139 -0.000351238177904 1.58271799301e-05 -56.3421303529 -12.2123810077
5 3249 -0.000499697869521 1.56549345704e-05 -56.2062171653 -12.1504598613
6 3423 -0.00064277719509 1.63773467338e-05 -56.0759299634 -12.067831912
7 3351 -0.000794051668318 1.68193198291e-05 -55.9389218587 -12.097317757
8 3137 -0.000954626589499 1.60626864678e-05 -55.7943174478 -12.0880266499
9 3171 -0.00110715613757 1.5845958102e-05 -55.6577403566 -12.168826253
10 3276 -0.00125518118595 1.66612188604e-05 -55.5259191924 -12.0948062274
11 3116 -0.00141477314688 1.57084358354e-05 -55.384588004 -12.1782486605
12 3265 -0.00156177247042 1.62306839972e-05 -55.255128527 -12.2676985381
13 3244 -0.00171413921106 1.60313215165e-05 -55.1216647229 -12.0606089458
14 3289 -0.00186360116132 1.69752326383e-05 -54.991454311 -12.0526407088
15 3030 -0.00202848271442 1.59293621285e-05 -54.848618203 -12.1503242994
16 3104 -0.00218135582065 1.61506799375e-05 -54.7169357426 -12.1180781972
17 3109 -0.00233622399414 1.59105396058e-05 -54.5842652109 -12.0821931353
18 3191 -0.00248682003118 1.6070809239e-05 -54.4559538112 -12.1856690264
19 3222 -0.002638192338 1.60901674187e-05 -54.3276703077 -12.1202911892
20 3247 -0.00278916437557 1.65747820858e-05 -54.2004088697 -11.9748972693
21 3116 -0.00294793855396 1.57523184058e-05 -54.0673004129 -12.1220490982
22 3250 -0.00309567752696 1.60601650609e-05 -53.9441099182 -12.0320419242
23 3286 -0.00324548925455 1.68752891045e-05 -53.8198420355 -12.1065386964
24 3058 -0.00340864632772 1.57955942988e-05 -53.6852439768 -12.0847177759
25 3176 -0.00355851857321 1.61221861041e-05 -53.5622795202 -12.0923225298
26 3191 -0.00371113033952 1.60506799983e-05 -53.437725396 -12.0762978158
27 3229 -0.00386215868558 1.61390840619e-05 -53.3151121324 -12.1004037006
28 3238 -0.00401380140475 1.56460921345e-05 -53.1926441127 -12.0832887336
29 3414 -0.00415697825078 1.66981668907e-05 -53.0776009732 -12.1486527291
30 3235 -0.0043139518511 1.6153556089e-05 -52.9521230702 -12.1139870705
31 3240 -0.00446570111721 1.56231991493e-05 -52.831463568 -12.0679549555
32 3424 -0.00460845815026 1.68127217913e-05 -52.7185259835 -12.0233704715
33 3207 -0.00476719670286 1.6532659187e-05 -52.5935912286 -12.0896038828
34 3090 -0.00492621202242 1.56050671476e-05 -52.4691154402 -12.0652961354
35 3272 -0.00507208881991 1.67336512741e-05 -52.3555154475 -12.1288551135
36 3089 -0.00523306246892 1.56621170382e-05 -52.230810226 -12.0739759034
37 3252 -0.0053799214486 1.66320687851e-05 -52.1176310766 -12.0861542575
38 3102 -0.00553958487488 1.60135573271e-05 -51.995219331 -12.1701880623
39 3151 -0.00569212254087 1.55319624948e-05 -51.8788842998 -12.0442687386
40 3361 -0.00583537035325 1.6675795527e-05 -51.7701759966 -12.164429372
41 3192 -0.00599318575857 1.51077845108e-05 -51.6510154364 -12.1972628381
42 3555 -0.00612866723639 1.70415821863e-05 -51.5492189177 -12.0354643485
43 3253 -0.00628841645061 1.64924156409e-05 -51.4297779954 -12.0501427795
44 3148 -0.00644559809996 1.63231246659e-05 -51.3128749052 -12.068650598
45 3099 -0.00660238769176 1.62045996451e-05 -51.1968694607 -12.0917071927
46 3087 -0.00675832419334 1.56511171993e-05 -51.0820909316 -12.0815953017
47 3253 -0.00690504552608 1.61719572902e-05 -50.9746337085 -12.0360519536
48 3252 -0.00705668826219 1.58058469118e-05 -50.8641165836 -12.0151427768
49 3374 -0.00720219149356 1.67084376052e-05 -50.7585904654 -12.0762399769
50 3194 -0.00736027224128 1.63441134743e-05 -50.6445116146 -12.0425669746
51 3137 -0.00751629484027 1.53846880076e-05 -50.5324948463 -12.1369726882
52 3397 -0.00765743946661 1.6571757103e-05 -50.4316497931 -12.0892694548
53 3261 -0.00781261647492 1.64253641873e-05 -50.3213121825 -11.9679126427
54 3177 -0.00796843628274 1.62594569725e-05 -50.2110754524 -12.0131727582
55 3148 -0.00812339865338 1.59667246358e-05 -50.1019956611 -12.159845591
56 3213 -0.0082740164322 1.58334516243e-05 -49.9964961381 -12.1269578963
57 3324 -0.00842086145657 1.64729663062e-05 -49.8941311013 -12.0746344352
58 3223 -0.00857601890383 1.60876132743e-05 -49.7864953526 -12.0693070096
59 3249 -0.0087269239967 1.6127937455e-05 -49.6823221585 -11.9883219197
60 3262 -0.00887790943018 1.62562452942e-05 -49.5785957269 -12.0863185035
61 3233 -0.00903078438284 1.6027610771e-05 -49.4740793426 -12.0729616942
62 3279 -0.0091804375407 1.60411431721e-05 -49.3722573113 -12.1306542645
63 3321 -0.0093292649207 1.63647679332e-05 -49.2714761409 -12.1371735216
64 3255 -0.00948262909706 1.61398667068e-05 -49.1681189966 -12.1052481424
65 3264 -0.00963367828529 1.63308584154e-05 -49.0668108013 -11.91419263
66 3210 -0.0097877899738 1.68715722843e-05 -48.963944947 -12.0702801063
67 2989 -0.0099527997569 1.51223592075e-05 -48.8543565591 -12.0840793204
68 3324 -0.0100930454849 1.64047223101e-05 -48.761660095 -11.9549846564
69 3245 -0.0102470263806 1.6173525844e-05 -48.6603531585 -11.93773244
70 3243 -0.010398882737 1.58416670918e-05 -48.5609203223 -11.9884189588
71 3352 -0.0105451838401 1.59891043847e-05 -48.4655692155 -12.1394042228
72 3413 -0.0106915171746 1.63560246602e-05 -48.3706302257 -12.1143901664
73 3348 -0.0108426523505 1.6301451821e-05 -48.2730274881 -11.9954633938
