2 100000 0.95 gpomdp sample_hoeffding 30000000

1 2 0 8.37238060996e-06 -56.6666666667 -10.0243014447
2 141 1.64136444918e-06 1.83117254343e-05 -56.6681931821 -11.973872943
3 114 0.0001694669333 2.00164404555e-05 -56.8247680669 -11.936353053
4 78 0.00036781318987 1.29964246388e-05 -57.0110835097 -12.3432270317
5 108 0.000497484953102 1.17090532007e-05 -57.1336381872 -12.5965757755
6 171 0.000611642557753 1.81726067972e-05 -57.2420239045 -12.6144639507
7 140 0.000785194632977 1.69076210815e-05 -57.4076936351 -12.4604548723
8 130 0.000941736269172 8.56086639958e-06 -57.558056908 -11.9927314585
9 291 0.00103748804842 2.73585483569e-05 -57.6504685002 -12.0474788542
10 90 0.0013045960169 7.87450222906e-06 -57.9100370894 -12.0063128085
11 218 0.00138307299074 2.25375689749e-05 -57.9868007549 -12.1567291543
12 114 0.00160218491579 1.69201622026e-05 -58.2023484295 -11.5474154918
13 106 0.00177139541685 1.73136411989e-05 -58.370046183 -11.9616182496
14 95 0.00194221153751 1.59812657704e-05 -58.5404428274 -11.845090426
15 97 0.00210008211499 2.19793650611e-05 -58.6989247373 -11.957862962
16 54 0.0023055806956 9.57968787187e-06 -58.9066715405 -12.6976485357
17 108 0.00240662521943 1.74383149025e-05 -59.0094294293 -12.4929147219
18 95 0.0025659255621 1.31268528199e-05 -59.1722522599 -12.14243674
19 130 0.00267911044099 2.02897867778e-05 -59.2885551075 -11.7139489022
20 86 0.00286614049925 1.96036448133e-05 -59.4818674582 -11.5017564961
21 61 0.00305087619517 1.18240715343e-05 -59.6742037439 -12.9806813521
22 96 0.0031576302641 1.66414809577e-05 -59.7859881699 -12.2393398077
23 92 0.00331389390693 1.80251545935e-05 -59.950465432 -12.1281687626
24 77 0.00348506079535 1.60917347674e-05 -60.131798763 -11.9628287705
25 78 0.00363897328604 2.26099924391e-05 -60.2959068641 -11.9038223209
26 41 0.00384841807746 1.15854311211e-05 -60.5208461016 -11.8812805921
27 66 0.00396027392482 1.60941331619e-05 -60.641749285 -12.2933009858
28 67 0.00413134733896 1.17079719924e-05 -60.8277102564 -12.1272229938
29 107 0.00423468703715 1.45007035693e-05 -60.9406632513 -12.3067984035
30 127 0.00435281323813 1.94026415039e-05 -61.0703549717 -12.1256816363
31 92 0.00451639039389 1.48887463218e-05 -61.2509713471 -12.0673040919
32 105 0.00467112622627 1.59559060185e-05 -61.4229292896 -11.6529526204
33 108 0.00480469344193 1.36356896112e-05 -61.5722334708 -12.6797153266
34 140 0.00493059512947 1.53760258146e-05 -61.7137140275 -12.1255770937
35 152 0.00507088939137 1.54881533782e-05 -61.8722267753 -12.279325474
36 163 0.00520415670293 1.29793350651e-05 -62.0236451714 -12.4031190603
37 226 0.00532446006101 1.71429401967e-05 -62.161046778 -12.2827222643
38 205 0.00550260582856 2.31214574309e-05 -62.3657651865 -12.0270854458
39 101 0.0057326452542 1.22030504281e-05 -62.6323557789 -12.3368404804
40 152 0.00585809990292 1.82446169151e-05 -62.7788187272 -11.8554024643
