100 500000 0.75 gpomdp hoeffding 30000000

1 100 0 3.67953629664e-05 -56.6666666667 -13.0206121045
2 185378 -0.00027283190011 2.10612070448e-05 -56.4142110925 -12.146281014
3 112572 -0.000473233358846 1.62485488293e-05 -56.2303907567 -12.1245613973
4 111634 -0.00062848959525 1.61187854204e-05 -56.0889094315 -12.1352206268
5 112171 -0.000782136782158 1.61125073915e-05 -55.9496855676 -12.1354957078
6 112782 -0.000935307245924 1.61236948112e-05 -55.8116704904 -12.1534683192
7 113268 -0.00108825510521 1.61624932469e-05 -55.6746234623 -12.1476450758
8 113309 -0.00124154319515 1.62610496101e-05 -55.53803466 -12.1308404294
9 112222 -0.00139651098006 1.62058978858e-05 -55.4007192315 -12.1365178485
10 111769 -0.00155126577531 1.60800699777e-05 -55.2643587846 -12.1202252255
11 112748 -0.00170415067228 1.61342129928e-05 -55.1303916484 -12.1317875628
12 113113 -0.00185730309579 1.61636010932e-05 -54.9969270548 -12.1229041418
13 113141 -0.0020107153129 1.61849945698e-05 -54.8639694968 -12.135008119
14 112924 -0.0021644783733 1.61559076921e-05 -54.7314384216 -12.1323308692
15 113040 -0.0023178859461 1.61839452226e-05 -54.5999366448 -12.1170883422
16 112835 -0.00247169952156 1.61333914395e-05 -54.468805863 -12.1260288053
17 113210 -0.00262477871376 1.61515284331e-05 -54.3390101893 -12.1197859607
18 113377 -0.00277791682863 1.62037801629e-05 -54.2098665667 -12.1110149732
19 112944 -0.00293184468554 1.60634744376e-05 -54.0807588213 -12.1194281569
20 114126 -0.00308364737946 1.61944412923e-05 -53.9541172141 -12.1151896562
21 113798 -0.00323690824497 1.61064728122e-05 -53.8269423205 -12.1291250023
22 114488 -0.0033888763109 1.62605079332e-05 -53.7015125946 -12.1008597626
23 113396 -0.00354303472872 1.60608463742e-05 -53.5749536766 -12.1143689896
24 114613 -0.00369448958803 1.6228005371e-05 -53.4512746562 -12.1193280869
25 113895 -0.00384800263252 1.61683301836e-05 -53.3265775432 -12.1003326675
26 113869 -0.00400096870823 1.61358972573e-05 -53.2029830434 -12.1092871742
27 114218 -0.00415339433587 1.62016284545e-05 -53.0804737311 -12.1121039374
28 113806 -0.00430671734943 1.62565304667e-05 -52.9578911254 -12.1033081381
29 112766 -0.00446126798025 1.61182585062e-05 -52.834979555 -12.1039481233
30 113314 -0.00461413294484 1.6022981282e-05 -52.7140479551 -12.0943820493
31 114971 -0.00476499519902 1.62556777664e-05 -52.5953192877 -12.0829706778
32 113930 -0.0049187460903 1.61492910407e-05 -52.4749446303 -12.1137154657
33 114124 -0.00507136107488 1.61670617962e-05 -52.3560807746 -12.0889620885
34 114112 -0.00522415178275 1.61582167554e-05 -52.2376954996 -12.0885696684
35 114203 -0.00537679840998 1.60775614559e-05 -52.1200320512 -12.0905189902
36 115233 -0.00552800247587 1.62047778953e-05 -52.0040772406 -12.089971542
37 114781 -0.0056807028116 1.61105911039e-05 -51.8875730636 -12.0999910456
38 115429 -0.00583208906359 1.62119060358e-05 -51.772660268 -12.0780024863
39 114893 -0.00598478201931 1.61258657739e-05 -51.6573449346 -12.1070441817
40 115362 -0.00613635536108 1.62005321017e-05 -51.543456098 -12.0925303501
41 114959 -0.00628889744999 1.6181222635e-05 -51.4294193217 -12.0793765144
42 114782 -0.0064413751032 1.61750160499e-05 -51.316007765 -12.0787587857
43 114678 -0.00659386372085 1.6095880687e-05 -51.2031606933 -12.0756324027
44 115497 -0.00674506674189 1.62392440784e-05 -51.0918262094 -12.0915128318
45 114642 -0.00689818435021 1.61897063034e-05 -50.9796471864 -12.0732451689
46 114367 -0.00705101848765 1.60843219935e-05 -50.8682387993 -12.0744725688
47 115319 -0.00720222950569 1.61622896464e-05 -50.7585629629 -12.0777528063
48 115363 -0.00735414484843 1.60703173292e-05 -50.6489224552 -12.0626790026
49 116489 -0.00750446374281 1.62203230195e-05 -50.5409690281 -12.0704173606
50 115849 -0.00765660425385 1.6174128552e-05 -50.4322451735 -12.0839056045
51 115754 -0.00780837385471 1.61242731839e-05 -50.3243214783 -12.0699439956
52 116246 -0.00795935531399 1.62320682196e-05 -50.2174846332 -12.0527067344
53 115470 -0.00811185587482 1.60824603232e-05 -50.1101019289 -12.0617741197
54 116454 -0.00826231132337 1.61615950183e-05 -50.0046765709 -12.0504489653
55 116507 -0.00841347271971 1.61834596e-05 -49.8992702088 -12.0704803687
56 116301 -0.00856497215031 1.61363841573e-05 -49.7941409867 -12.0693907712
57 116652 -0.00871580392977 1.61612336115e-05 -49.6899814207 -12.0514509826
58 116709 -0.00886683083753 1.61429839029e-05 -49.5861896798 -12.0528776718
59 116982 -0.00901751077258 1.61728202751e-05 -49.4831339669 -12.057633656
60 116902 -0.0091685213816 1.61617252269e-05 -49.3803471651 -12.0543005037
61 116953 -0.00931939506652 1.6235682821e-05 -49.2781449706 -12.0533155338
62 116130 -0.00947149572631 1.61715419053e-05 -49.1756052636 -12.0414092423
63 116065 -0.00962303746637 1.6085841546e-05 -49.0739317544 -12.043465156
64 117014 -0.00977316407736 1.60894610633e-05 -48.9736859483 -12.0573918273
65 117927 -0.00992274178939 1.62707209453e-05 -48.8742767318 -12.0402366782
66 116681 -0.0100748099444 1.60543296916e-05 -48.7736899725 -12.0627992986
67 118011 -0.0102240076441 1.62162109796e-05 -48.6754666178 -12.0368840589
68 117412 -0.0103750940454 1.61634031561e-05 -48.5764656247 -12.0478913179
69 117444 -0.0105256681482 1.62271556563e-05 -48.4782633923 -12.0487925464
70 116718 -0.0106773052052 1.60976796455e-05 -48.3798318393 -12.0467059165
71 117531 -0.0108272114713 1.61005836622e-05 -48.2829782152 -12.057249136
72 118314 -0.0109766473316 1.61873109111e-05 -48.1868750964 -12.0314231966
73 118059 -0.0111270505532 1.61449831452e-05 -48.0905969731 -12.0338133373
74 118312 -0.0112769002555 1.61771396898e-05 -47.9951161888 -12.0480989379
75 118179 -0.0114271326988 1.61119787898e-05 -47.8998323709 -12.0412877081
76 118829 -0.0115763500308 1.62658477383e-05 -47.8056263297 -12.0353562174
77 117632 -0.0117277571286 1.61602860804e-05 -47.7104768318 -12.0273784437
