100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.1307005011e-05 -56.6666666667 -12.2291738438
2 3164 0.000209073762423 2.62956546622e-05 -56.8618625129 -12.0528203102
3 3167 0.000467097961597 2.61709909728e-05 -57.1048656312 -12.0615976476
4 3189 0.000722602840177 2.54403044253e-05 -57.3478199484 -12.1341732412
5 3351 0.000959251394082 2.72217378091e-05 -57.5749360589 -12.1789747134
6 3164 0.00122723001882 2.56865472697e-05 -57.8345840217 -12.0567059958
7 3280 0.00147103833186 2.62073304144e-05 -58.0731187585 -12.1590747697
8 3291 0.00171945717808 2.60170213073e-05 -58.3184566139 -12.1567703422
9 3343 0.00196196131568 2.67967164272e-05 -58.5602163736 -12.2372742576
10 3242 0.0022193053779 2.6544828776e-05 -58.819251198 -12.1462252902
11 3196 0.00247755480039 2.61523886889e-05 -59.0818028793 -12.1521325038
12 3225 0.00272971535085 2.64720911412e-05 -59.3407204338 -12.0957353813
13 3183 0.00298925845957 2.54111330482e-05 -59.6098957988 -12.2073465925
14 3345 0.00322668512793 2.67219509255e-05 -59.8585477111 -12.1486959176
15 3255 0.00348257027488 2.68169467647e-05 -60.1291514962 -12.1058201905
16 3150 0.00374786756391 2.60228493651e-05 -60.4126226698 -12.2320940074
17 3195 0.00400205225707 2.63646456761e-05 -60.6870457558 -12.1326311217
18 3173 0.00426143811929 2.59067050067e-05 -60.9699794581 -12.1337387702
19 3247 0.00450969363241 2.63902962328e-05 -61.2435535406 -12.2563245295
20 3221 0.00476545110069 2.63154374659e-05 -61.5282834352 -12.1939598658
21 3216 0.00502023019807 2.63707674011e-05 -61.8148841575 -12.1762442654
22 3194 0.00527791371427 2.55788519868e-05 -62.1078044133 -12.2115786565
23 3336 0.00551625065938 2.65786958142e-05 -62.3815074059 -12.2332541912
24 3280 0.00576832899801 2.67734417202e-05 -62.6739374101 -12.2204136727
25 3186 0.00602979936727 2.60618798908e-05 -62.9805134815 -12.151236727
26 3228 0.00628141566189 2.62218308879e-05 -63.2787108645 -12.2995188956
27 3237 0.0065340868959 2.68152944089e-05 -63.5813428644 -12.1849425262
28 3132 0.00680094553902 2.62117212787e-05 -63.9044888838 -12.0485277037
29 3147 0.00706017558774 2.56190863889e-05 -64.2219184427 -12.2371306954
30 3273 0.00730410288396 2.65715840215e-05 -64.5238307065 -12.2159406278
31 3221 0.00756051958493 2.63875338938e-05 -64.8446232979 -12.2762310237
32 3194 0.00781852153319 2.64587208951e-05 -65.1709971661 -12.2883532986
33 3153 0.00808063957957 2.60424733745e-05 -65.5063362465 -12.2740610571
34 3200 0.00833393046958 2.60053472034e-05 -65.8340420483 -12.2507237315
