100 100000 0.75 reinforce cheb_reinforce 30000000

1 100 0 2.07854692098e-05 -56.6666666667 -12.7250186187
2 25754 -0.000167402093823 1.9766420363e-05 -56.5114648191 -12.1622810192
3 17865 -0.000358541486666 1.54673063637e-05 -56.3354268572 -12.1262339483
4 19180 -0.00050289218612 1.67673508818e-05 -56.2033009581 -12.1327308222
5 18046 -0.000664216711052 1.6237371436e-05 -56.0564661444 -12.1568952382
6 17916 -0.000821005576872 1.60471720385e-05 -55.9145894496 -12.099125695
7 18134 -0.000975025459344 1.53777386001e-05 -55.7760080183 -12.1114785994
8 19647 -0.00111682431492 1.67710779347e-05 -55.6491088668 -12.1392135027
9 18478 -0.00127628555618 1.59821367244e-05 -55.5071826898 -12.1147251009
10 18827 -0.00142683272321 1.6696734393e-05 -55.3739414521 -12.1497588369
11 17841 -0.0015883975112 1.5809226823e-05 -55.2317537694 -12.1265234477
12 18500 -0.0017386263859 1.65472051674e-05 -55.1002836908 -12.1147483823
13 17799 -0.00189893338764 1.59788771384e-05 -54.9607750683 -12.1418980899
14 18141 -0.00205226857377 1.54470596938e-05 -54.8280821453 -12.1031256424
15 19516 -0.00219518222834 1.65777338676e-05 -54.7050613088 -12.1204216092
16 18718 -0.00235179083738 1.61300177968e-05 -54.5709700324 -12.1454803248
17 18787 -0.00250389102015 1.60506405756e-05 -54.4414521879 -12.0928754273
18 19009 -0.00265435720444 1.64715770632e-05 -54.3140116774 -12.1113349767
19 18429 -0.00281117811489 1.61835895295e-05 -54.1819090958 -12.1235185024
20 18397 -0.00296539396788 1.60487222669e-05 -54.052712038 -12.0963693952
21 18618 -0.00311741368909 1.59164403385e-05 -53.9260393762 -12.0886426921
22 19096 -0.0032662799329 1.64168067613e-05 -53.8026478077 -12.0980522708
23 18617 -0.00342179045382 1.58123769537e-05 -53.6744339772 -12.1301224832
24 19298 -0.00356890789846 1.6710296607e-05 -53.5537792671 -12.1065254532
25 18262 -0.00372872833157 1.60356325817e-05 -53.4234052508 -12.0488172426
26 18506 -0.00388108321796 1.59366491742e-05 -53.2997933711 -12.1272757751
27 18942 -0.00403074231227 1.59721557804e-05 -53.1790023376 -12.1106582248
28 19319 -0.00417926603072 1.6336889654e-05 -53.0597437287 -12.0875126039
29 18987 -0.00433250147495 1.61138419318e-05 -52.9373400437 -12.1054909751
30 19088 -0.00448324514082 1.61770358168e-05 -52.8175543848 -12.1277003082
31 19067 -0.00463466379556 1.64095138057e-05 -52.6978541485 -12.0764944621
32 18602 -0.00479016587893 1.6487577256e-05 -52.5755694333 -12.0664801323
33 18006 -0.00494897585376 1.57449839557e-05 -52.4513512209 -12.1132180392
34 18793 -0.00509742195578 1.58773424117e-05 -52.3358448586 -12.1013450119
35 19352 -0.00524493635236 1.60643852598e-05 -52.2216385227 -12.1081775416
36 19553 -0.00539342025641 1.65719700066e-05 -52.1072561817 -12.1247053716
37 18765 -0.00554978052496 1.5932275361e-05 -51.9874248301 -12.0627247356
38 19216 -0.00569832943294 1.67494948087e-05 -51.8741631504 -12.1228894596
39 18112 -0.00585918548242 1.61187011883e-05 -51.7521536981 -12.0536621815
40 18200 -0.00601361206884 1.53855464589e-05 -51.6356382348 -12.1078508681
41 19702 -0.00615528171403 1.66190610361e-05 -51.5292756889 -12.0672114017
42 18818 -0.00631186560556 1.63336775464e-05 -51.4122990071 -12.0549838602
43 18501 -0.0064670716651 1.61515725403e-05 -51.2969513814 -12.0609477755
44 18529 -0.00662043332261 1.61402401929e-05 -51.1835564938 -12.1104321626
45 18578 -0.00677348351283 1.61279078059e-05 -51.0709642864 -12.0745737183
46 18650 -0.00692611940424 1.54603216107e-05 -50.959242058 -12.0995822482
47 20037 -0.007067285547 1.69162058426e-05 -50.8564138755 -12.0997758986
48 18570 -0.007227729509 1.56832381511e-05 -50.7401209482 -12.0846761616
49 19504 -0.00737287467555 1.69005343908e-05 -50.6354424544 -12.0896669196
50 18105 -0.0075352164991 1.64128413976e-05 -50.5189487511 -12.0615109023
