100 100000 0.95 gpomdp sample_bernstein 30000000
52 192 -0.0108665390479 2.02672230209e-05 -48.2576433046 -12.0530739734
53 229 -0.011040783611 2.16643431889e-05 -48.1457646473 -12.0249908579
54 250 -0.01123083807 2.22349473628e-05 -48.0244190653 -12.0295373972
55 267 -0.0114414723622 2.51937574099e-05 -47.8907605112 -11.8906315121
56 234 -0.011677984017 2.49671512024e-05 -47.7417073845 -11.8344549858
57 207 -0.0118929631627 2.35581450281e-05 -47.6071565466 -12.0016027712
58 196 -0.0121206771133 2.18979881419e-05 -47.465593502 -12.0456785983
59 208 -0.0123073153249 2.37727589086e-05 -47.3502941721 -12.2364368141
60 195 -0.0125117753865 2.42113387314e-05 -47.2247309619 -11.9929049585
61 181 -0.0127056564629 2.57661419213e-05 -47.1063786342 -11.9919323356
62 148 -0.0129529475615 1.86300005647e-05 -46.9564218622 -12.1626991961
63 193 -0.0131127343764 2.64406555971e-05 -46.8601178147 -12.0027949267
64 147 -0.0133858691132 2.12684694893e-05 -46.69656092 -11.5543856495
65 163 -0.0135977662887 1.68195781353e-05 -46.5705884881 -11.7601781602
66 242 -0.0137471766255 2.35983568879e-05 -46.4822402269 -12.1947812593
67 233 -0.0139468899108 2.71979762021e-05 -46.3647567562 -11.8155313373
68 170 -0.0141977017761 1.74710775819e-05 -46.21819321 -12.2349606916
69 247 -0.0143477495953 2.70425455415e-05 -46.1310284483 -12.1119162117
70 176 -0.0146136285828 2.36384286215e-05 -45.9775165231 -12.1055966176
71 164 -0.0148236543829 1.72447484732e-05 -45.8570953571 -12.0236684311
72 236 -0.0149914289307 2.71113434914e-05 -45.7614288335 -11.6029418746
73 180 -0.0152450373416 1.86823873188e-05 -45.6177033647 -11.9957307063
74 245 -0.0154390092673 2.3505319914e-05 -45.5084872353 -12.0921675959
75 232 -0.0156418075149 2.52828063952e-05 -45.3949552022 -11.8003771741
76 195 -0.0158828158402 2.64723761206e-05 -45.2608932507 -12.2784815657
77 148 -0.0161135690159 1.95486664585e-05 -45.1334037776 -12.2054682464
78 184 -0.016288035192 1.32990286453e-05 -45.0375710006 -12.085543411
79 350 -0.0164089403973 2.76671297137e-05 -44.9714388387 -12.2037473923
80 250 -0.0166481039278 2.72032479066e-05 -44.8412924584 -12.0780856146
81 180 -0.0168873918945 1.92709789775e-05 -44.7119618059 -11.924768143
82 234 -0.0170891734888 2.63746796454e-05 -44.6035828471 -11.9824964505
83 182 -0.017331789721 2.29814134989e-05 -44.4740873288 -11.9255816139
84 176 -0.0175195704231 2.31873012896e-05 -44.3744664514 -12.0886469142
85 170 -0.0177450644949 2.13800986084e-05 -44.2555307981 -11.7477413977
86 187 -0.0179330203583 2.20090771447e-05 -44.1569673766 -12.1429505433
87 196 -0.0181361179195 1.71774366951e-05 -44.0510442245 -12.196073951
88 285 -0.0182879519467 2.34180846802e-05 -43.9722479207 -12.2066856553
89 273 -0.0184868961496 2.39661950621e-05 -43.8695055586 -12.4201386039
90 253 -0.0186940946943 2.51779556489e-05 -43.7631015263 -11.9860243763
91 218 -0.018922954828 2.18176696818e-05 -43.6462802259 -12.2721957218
92 230 -0.0191234029686 2.45178932608e-05 -43.5445659143 -11.9420830731
93 201 -0.0193432929464 2.31959495011e-05 -43.4336292874 -12.2154046405
94 197 -0.019557083663 2.24656374031e-05 -43.3264093975 -11.7799858998
95 197 -0.0197681690532 1.76522432217e-05 -43.2211595641 -12.2124044471
96 284 -0.019939404446 2.45516597681e-05 -43.136223514 -11.9540871078
97 252 -0.0201431791274 2.60042449542e-05 -43.0356616125 -11.7111391289
98 209 -0.0203819954723 2.39457957274e-05 -42.9185122528 -12.1698533003
99 197 -0.020597165697 2.54452865894e-05 -42.8136085227 -11.6508021051
100 161 -0.0208116055943 1.88789730235e-05 -42.709664867 -11.8542661356
101 209 -0.0209910643761 2.43755634146e-05 -42.6231370186 -11.8748300159
102 190 -0.0212111515908 1.49759958872e-05 -42.5175869643 -11.9479287271
103 322 -0.0213428743723 2.89991072116e-05 -42.4547117845 -12.1527488702
104 205 -0.0216084077497 2.45048397024e-05 -42.3286349507 -12.2140000612
105 175 -0.0218400492942 2.21508827421e-05 -42.2193757084 -12.0829642903
106 181 -0.0220283392248 2.04997184198e-05 -42.1310579341 -12.0396544108
107 213 -0.0221763934622 2.41911484239e-05 -42.0619213761 -12.1631681022
108 190 -0.0223694705125 2.30257297221e-05 -41.9721659396 -11.7436995312
109 185 -0.0225525669247 2.28818118523e-05 -41.8874711448 -12.1182852344
110 188 -0.0227855356687 2.0764667674e-05 -41.7802946632 -11.9855564005
111 212 -0.0229488809387 2.78529873309e-05 -41.7055377946 -11.9753477413
112 148 -0.0232344235135 2.05138840828e-05 -41.5756204474 -12.1844604938
113 172 -0.0234186575034 2.3568892372e-05 -41.4923089293 -11.6338076463
114 165 -0.0236425028574 2.25468766148e-05 -41.3916205492 -11.7841725286
115 166 -0.0238435542003 2.13800143913e-05 -41.3016821583 -11.6188484595
116 185 -0.0240401440595 1.90483587114e-05 -41.2141907185 -12.2868083887
117 236 -0.0242049047506 2.35378886987e-05 -41.1412058378 -11.7896025424
118 224 -0.0243885674894 2.64222274844e-05 -41.0602119378 -11.9364379472
119 173 -0.0246184640929 2.24229572748e-05 -40.9593662558 -11.9994576516
120 174 -0.0248069219454 2.00200812287e-05 -40.8771398789 -11.9235343356
121 216 -0.0249906280913 2.39783465696e-05 -40.7973670265 -12.4081202174
122 191 -0.0251970098999 2.02855476094e-05 -40.7081920088 -12.1076755634
123 221 -0.0253632303092 2.54478706731e-05 -40.6367098327 -11.606893014
124 188 -0.0256060571743 1.932923972e-05 -40.5328239031 -11.9722188704
125 244 -0.025792347222 2.59459489903e-05 -40.4535572015 -11.6334418072
126 191 -0.0259948454117 2.16237262737e-05 -40.3678157244 -12.0791302301
127 202 -0.0261888335571 2.19263467995e-05 -40.286086655 -12.1732204397
128 211 -0.0263738908572 2.24343191955e-05 -40.2084906372 -11.8097784743
129 218 -0.0265659752751 2.51642139144e-05 -40.1283279195 -11.7183888377
130 187 -0.0267757340405 1.91755146759e-05 -40.0412278911 -11.9204534286
131 233 -0.0269282931173 2.34209515988e-05 -39.9781651484 -11.8979339147
132 230 -0.0271394941643 2.21946113861e-05 -39.8912561556 -11.7636619317
133 243 -0.0273520752395 2.20958849639e-05 -39.8042384323 -11.8242609826
134 257 -0.0275553390295 2.80647715775e-05 -39.7214621322 -11.79167132
135 169 -0.0278210982771 1.42952844381e-05 -39.6138606074 -11.7389505533
136 303 -0.0279528706536 2.45204470081e-05 -39.5607689571 -11.9928475932
137 273 -0.0281810101703 2.5669198088e-05 -39.4692562757 -11.6932472075
138 225 -0.0284308735311 2.75528986586e-05 -39.3696153578 -11.741692464
139 156 -0.0286778410324 1.89963608291e-05 -39.2717257641 -12.1259043034
140 201 -0.0288378468336 2.48912795566e-05 -39.208618921 -11.7920062046
141 173 -0.0290394018977 2.48013405446e-05 -39.129473805 -11.63163909
142 150 -0.0293095465199 2.17440145497e-05 -39.024000924 -11.886716662
143 157 -0.0294896324548 2.02553752224e-05 -38.9540720068 -11.3863584044
144 187 -0.0296553009409 1.87069163627e-05 -38.8900095679 -12.0397102615
145 248 -0.0298342716158 2.34093140263e-05 -38.8210901425 -11.961610938
146 237 -0.0300261938223 2.59501252991e-05 -38.7475121643 -11.747020642
147 192 -0.0302454281656 2.40536872334e-05 -38.6638770322 -11.8009584968
148 181 -0.0304613653644 1.99838803954e-05 -38.5819277052 -11.602660289
149 223 -0.0306656800616 2.11723834035e-05 -38.5047772977 -11.9026071091
150 241 -0.0308395223919 2.00559781354e-05 -38.439428508 -12.188930986
151 288 -0.0310103104602 2.3159204195e-05 -38.3754903283 -11.9845821415
152 282 -0.0312028817032 2.41016378274e-05 -38.3037072359 -11.8781323315
153 262 -0.0314389029656 2.61356489621e-05 -38.2161728017 -11.8339369763
154 206 -0.0316783494483 2.69681601361e-05 -38.1278651303 -11.4753314756
155 152 -0.0319192437721 2.10743650143e-05 -38.0395245135 -11.1695650765
156 173 -0.0320990160883 2.23965370108e-05 -37.973923459 -11.5155086183
157 181 -0.0323157653182 2.35564306112e-05 -37.8951956526 -11.7053508391
158 169 -0.0325272463691 1.87716993193e-05 -37.8187649024 -11.7023656164
159 219 -0.0326715376229 2.39366831051e-05 -37.7668329968 -11.6741887844
160 206 -0.0328668032705 2.2921103955e-05 -37.6968320691 -11.6803293578
161 202 -0.0330830030765 2.33828727416e-05 -37.6196959659 -11.933440873
162 188 -0.033305128866 2.26677258644e-05 -37.5408470892 -11.3503292247
163 191 -0.0334947255955 2.29258385556e-05 -37.4738647853 -11.9814022693
164 187 -0.0336780320806 2.17093871824e-05 -37.40938272 -11.5597588844
165 201 -0.0338746382618 2.47327330108e-05 -37.3405239709 -11.5309403086
166 175 -0.0340934324664 2.19797868962e-05 -37.2642588665 -12.0025801193
167 185 -0.034301285736 2.51690271425e-05 -37.1921607899 -12.0127156069
168 154 -0.0345339003871 1.70587676505e-05 -37.111878945 -11.9937741651
169 225 -0.034668420077 2.44500466599e-05 -37.0656464782 -11.7145979993
170 203 -0.0348714767915 2.15650704719e-05 -36.9961264445 -11.8178560912
171 224 -0.0350589783293 2.39747682252e-05 -36.9322162136 -11.8285228805
172 205 -0.0352746794413 2.38402503069e-05 -36.8590293642 -11.7999372254
173 188 -0.0354628569833 2.37619293737e-05 -36.7954722275 -11.4998391522
174 173 -0.0356612452135 2.12786805099e-05 -36.728758125 -11.6415312874
175 189 -0.0358336647651 2.28215613423e-05 -36.6710184587 -11.8116132252
176 189 -0.0360395649013 2.38092824211e-05 -36.6023594183 -11.5631058813
177 176 -0.0362345783333 2.00913668245e-05 -36.5376224195 -11.767489672
178 208 -0.0363901500106 2.53907077629e-05 -36.4861808722 -11.7525938581
179 172 -0.036599077086 1.94166581694e-05 -36.4173774737 -12.2090669868
180 208 -0.0367571207847 2.13965301517e-05 -36.3655434374 -12.3207119908
181 222 -0.0369307933323 2.19857464873e-05 -36.3087934523 -11.796742063
182 235 -0.0370911342481 2.50379247825e-05 -36.2565938347 -11.8428072624
183 200 -0.0373148258535 1.96630344066e-05 -36.1840795384 -12.1865565781
184 241 -0.0374690856476 2.88297036077e-05 -36.1342817553 -11.5954009179
185 155 -0.0377324779077 1.80163478288e-05 -36.0496451992 -11.9684269921
186 213 -0.0378763327074 2.25000737511e-05 -36.0036269605 -11.9440067225
187 217 -0.0380629125036 2.61115681728e-05 -35.9441577222 -11.517703609
188 169 -0.0382886366979 2.06913294292e-05 -35.872536635 -11.5768630135
189 195 -0.0384754128848 2.67329599366e-05 -35.8135406757 -11.6355498378
190 142 -0.0387001118405 1.81682724953e-05 -35.7428846326 -12.0134031632
191 189 -0.0388417799848 1.57832696992e-05 -35.698515086 -11.6916830812
192 305 -0.0389820685743 2.65688233119e-05 -35.6547122655 -11.730336466
193 230 -0.0392024312902 2.57653250248e-05 -35.5861767051 -11.8498155021
194 187 -0.0394130391107 2.30025661782e-05 -35.5209804942 -11.7291914684
195 182 -0.0396112085417 2.06613172341e-05 -35.4599055229 -11.6878911247
196 212 -0.039783726359 2.23240874424e-05 -35.4069487142 -11.7779177155
197 220 -0.0399563580993 2.19203644329e-05 -35.3541537321 -11.3803345267
198 238 -0.0401302816965 2.22010740793e-05 -35.3011616498 -11.5485085586
199 254 -0.040326191554 2.43486088495e-05 -35.2417072833 -11.9031164586
200 229 -0.0405234692933 2.57911828576e-05 -35.1820895969 -11.7073979501
201 185 -0.040733178394 2.27078524232e-05 -35.1189904339 -11.8061704767
202 183 -0.0409285377109 2.21911363641e-05 -35.060462602 -11.6204876165
203 195 -0.0411274013449 2.54775800259e-05 -35.0011345921 -11.5104266024
204 163 -0.0413565030778 1.80296937998e-05 -34.9330957255 -11.5849797376
205 220 -0.0414949550453 2.39555938891e-05 -34.8921381807 -11.5087509711
