100 100000 0.75 gpomdp bernstein 30000000
37 3834 0.00915860944732 2.60391664118e-05 -66.9266694655 -12.2472435585
38 3892 0.00940972840389 2.67045679718e-05 -67.2674111667 -12.1786176201
39 3802 0.0096727252992 2.64031735969e-05 -67.6284106367 -12.1832337829
40 3785 0.00993378379979 2.58570494533e-05 -67.9910125487 -12.2230154492
41 3885 0.010183588148 2.66419792154e-05 -68.3420295632 -12.3020605337
42 3786 0.0104491317826 2.61974486869e-05 -68.7195796097 -12.2552845766
43 3806 0.0107076113863 2.64785757668e-05 -69.0915355556 -12.2383648507
44 3768 0.0109708359092 2.61529331583e-05 -69.4749130319 -12.2008371466
45 3796 0.0112296750902 2.58702473453e-05 -69.8565058235 -12.3298997113
46 3890 0.0114794538999 2.64201411388e-05 -70.229146689 -12.2412976338
47 3855 0.0117369871446 2.60407732462e-05 -70.6179686094 -12.343252137
48 3907 0.0119875654864 2.64072988108e-05 -71.0008658228 -12.2667110679
49 3872 0.0122441853882 2.63974045203e-05 -71.3977579989 -12.3107191134
50 3843 0.0125023292075 2.66467946585e-05 -71.8019594595 -12.2213096395
51 3754 0.012769397353 2.6121439993e-05 -72.2254611012 -12.308141244
52 3788 0.0130285931396 2.62433502569e-05 -72.6417579614 -12.2639233653
53 3787 0.0132897777596 2.544159901e-05 -73.0666104087 -12.3199536179
54 3979 0.0135300594418 2.70764704997e-05 -73.4623034619 -12.202351838
55 3802 0.0137965867881 2.61966769423e-05 -73.9067492244 -12.2063344344
56 3822 0.0140538969087 2.68322672469e-05 -74.3414499977 -12.2106592924
57 3705 0.0143250296357 2.62461287965e-05 -74.8056016855 -12.1411884741
58 3713 0.0145905414213 2.54279751436e-05 -75.2663179962 -12.3596634988
59 3903 0.0148355398595 2.64539110186e-05 -75.6969787202 -12.2672234141
60 3863 0.0150927492163 2.64718549757e-05 -76.1549372269 -12.2550458598
61 3819 0.0153530986673 2.61270621102e-05 -76.6246914179 -12.3897697121
62 3849 0.0156085254643 2.64102211423e-05 -77.0917518983 -12.3506107934
63 3816 0.0158687889797 2.64031340542e-05 -77.5740890209 -12.3135147611
64 3795 0.0161294609031 2.61447771345e-05 -78.0638242063 -12.3388988721
65 3827 0.0163859442127 2.67333442675e-05 -78.5523108547 -12.3190801269
66 3726 0.0166551683244 2.57564328133e-05 -79.0722760536 -12.32810906
67 3850 0.0169060292363 2.66360397014e-05 -79.5635635151 -12.210191419
68 3777 0.0171701606685 2.64148817777e-05 -80.0880674237 -12.2702889826
69 3748 0.0174346812954 2.64257356207e-05 -80.6209321893 -12.3459679652
