100 500000 0.95 gpomdp hoeffding 30000000
29 86250 -0.00443982786142 1.61200167068e-05 -52.8519915824 -12.0979748308
30 86654 -0.00459213557397 1.62749771462e-05 -52.7314111157 -12.1158082249
31 85702 -0.00474675933347 1.59446961216e-05 -52.6096384304 -12.116370305
32 87649 -0.00489655260428 1.62697536238e-05 -52.4922814321 -12.1046844172
33 86732 -0.00505020614548 1.61127631683e-05 -52.3725204593 -12.0992488748
34 87202 -0.00520196584465 1.614985e-05 -52.2548475712 -12.090140378
35 87346 -0.00535395011224 1.61579990412e-05 -52.1376054036 -12.0996295541
36 87417 -0.00550594850495 1.61745453935e-05 -52.0209530913 -12.0880801755
37 87342 -0.0056581684807 1.62926897069e-05 -51.9047282209 -12.0723710659
38 86227 -0.00581248824344 1.59618533085e-05 -51.7875057855 -12.091046508
39 88033 -0.00596211576353 1.62426765175e-05 -51.6744254969 -12.0998936469
40 87351 -0.00611496857286 1.62467123981e-05 -51.5594907464 -12.0785347691
41 86639 -0.0062684864811 1.61091007912e-05 -51.4446445109 -12.0713236163
42 87141 -0.00642026488738 1.61757289255e-05 -51.331675114 -12.0754483609
43 87056 -0.0065727460458 1.60072246611e-05 -51.218754532 -12.0910287947
44 88471 -0.00672242705352 1.62558179738e-05 -51.1084609579 -12.0795486864
45 87669 -0.0068751261427 1.62159737461e-05 -50.9965041825 -12.085120381
46 87226 -0.00702783713504 1.61254765941e-05 -50.8851008205 -12.074094617
47 87586 -0.00717938361671 1.61729663678e-05 -50.7750985792 -12.0657225075
48 87525 -0.00733142963776 1.61040331922e-05 -50.6652818515 -12.0813181411
49 88078 -0.00748235155887 1.63263568363e-05 -50.5568159491 -12.0721507137
50 86657 -0.00763660593015 1.60617506605e-05 -50.4465057909 -12.0650597126
51 87579 -0.00778755933756 1.61592581313e-05 -50.3390912496 -12.0661293141
52 87639 -0.00793937692976 1.60769412009e-05 -50.2315916478 -12.073157089
53 88435 -0.00808974006681 1.62920962117e-05 -50.1256418777 -12.0666726902
54 87311 -0.00824309301484 1.60309698422e-05 -50.0181145033 -12.0643374789
55 88516 -0.00839295750427 1.61834770008e-05 -49.9135456146 -12.060419971
56 88360 -0.00854438169258 1.61004003523e-05 -49.8083992048 -12.0601971075
57 88951 -0.00869452725097 1.62209324574e-05 -49.7046439381 -12.0620170618
58 88457 -0.00884621829469 1.60532643045e-05 -49.6003259427 -12.061364713
59 89475 -0.00899548470062 1.62447752393e-05 -49.4981675535 -12.0482770125
60 88763 -0.00914713653564 1.61172034872e-05 -49.3948729737 -12.0485652385
61 89204 -0.00929722512249 1.63231150098e-05 -49.2931322941 -12.0611258804
62 87794 -0.00945044721457 1.59806233908e-05 -49.1897658449 -12.0409064647
63 89462 -0.0095990492993 1.61879965069e-05 -49.0899936734 -12.0565258527
64 89263 -0.0097497473689 1.61831571496e-05 -48.9892910653 -12.0510236373
65 89108 -0.00990053120017 1.61543294495e-05 -48.8890083354 -12.0503831566
66 89214 -0.0100509571135 1.61643715896e-05 -48.7894359231 -12.0470330754
67 89229 -0.0102014637547 1.61125815262e-05 -48.6902788511 -12.055743208
68 89715 -0.0103510818859 1.62685698664e-05 -48.5921686591 -12.0391781956
69 88787 -0.0105029357505 1.61414243234e-05 -48.4930596305 -12.0538903495
70 89009 -0.0106534143933 1.61837992448e-05 -48.3953092223 -12.0498471043
71 88849 -0.0108044241233 1.60777140799e-05 -48.2976720015 -12.0424075031
72 89649 -0.0109537729186 1.61044722011e-05 -48.2015569927 -12.0484821374
73 90211 -0.0111029036589 1.60949502352e-05 -48.1060241078 -12.0480518085
74 90864 -0.0112514094697 1.6361666158e-05 -48.0113272497 -12.0405644544
75 89079 -0.0114038818673 1.60836357648e-05 -47.9145502905 -12.0454604374
76 89827 -0.0115531375125 1.61505342086e-05 -47.8202529058 -12.0317964667
77 89969 -0.0117028961519 1.61906590437e-05 -47.7260701189 -12.030163308
78 89745 -0.0118532140286 1.61717046581e-05 -47.6319682 -12.0197933491
79 89694 -0.0120033986944 1.60774603075e-05 -47.5383795271 -12.03475562
80 90504 -0.012152038063 1.61024156512e-05 -47.4461740037 -12.0376335469
81 91090 -0.0123004282651 1.62876839515e-05 -47.3545372007 -12.0422290307
82 89973 -0.0124514550727 1.61867404824e-05 -47.2616942309 -12.0318556959
83 89784 -0.0126017033556 1.60996746228e-05 -47.1697494784 -12.0279635583
84 90391 -0.0127506412804 1.63339218034e-05 -47.0790169002 -12.0079585141
85 88865 -0.0129030382819 1.60775908306e-05 -46.9865970542 -12.0272586727
86 89666 -0.0130523715528 1.60599265842e-05 -46.8964445048 -12.0280371629
87 90637 -0.013200739921 1.61605555675e-05 -46.8072730332 -11.9905679085
88 90688 -0.0133499962604 1.61346746807e-05 -46.7179660699 -12.0356476125
89 90977 -0.0134987761629 1.62150794195e-05 -46.6293390255 -11.9955582918
90 90526 -0.0136486700299 1.62313470517e-05 -46.5404444173 -12.0187626519
91 89928 -0.0137992117536 1.60407032123e-05 -46.451563025 -12.028906675
92 91079 -0.0139470422037 1.61950594691e-05 -46.364667433 -12.0199718766
93 90811 -0.0140965152641 1.62260616313e-05 -46.2771916783 -12.0322095038
94 90260 -0.0142467313478 1.61509753077e-05 -46.1896689262 -11.9867275919
95 90398 -0.0143961377644 1.60448678721e-05 -46.1030010588 -12.0115658818
96 91517 -0.0145436528691 1.61154809561e-05 -46.0178027401 -11.998285792
97 91988 -0.0146914372 1.61960248999e-05 -45.9328176047 -12.0226448994
98 91709 -0.0148401860527 1.62503543391e-05 -45.847648043 -12.0067877196
99 90928 -0.0149900732644 1.61830579676e-05 -45.7621999727 -12.0008657992
100 90771 -0.0151394685343 1.6043651519e-05 -45.6774028024 -12.0061916528
101 91906 -0.0152866599925 1.61745483342e-05 -45.5942158949 -12.0049379752
102 91827 -0.015435116011 1.62272146079e-05 -45.5106733074 -11.9926728087
103 91259 -0.0155845181194 1.60635021971e-05 -45.4269599799 -12.0100311904
104 92214 -0.0157316452802 1.61836460473e-05 -45.3448736664 -12.0076544772
105 92050 -0.0158800049899 1.62215653522e-05 -45.2624514422 -11.9971703313
106 91533 -0.0160291313264 1.62221436907e-05 -45.1799570292 -11.9510140316
107 91014 -0.0161786879396 1.62134558421e-05 -45.0975784919 -12.0061688799
108 90577 -0.0163285239882 1.60463565136e-05 -45.0153991754 -11.9967936432
109 91684 -0.0164759180679 1.61215102872e-05 -44.9349018764 -11.9775548509
110 92099 -0.0166236681811 1.61923636646e-05 -44.8545490969 -11.9904662344
111 91854 -0.0167722661597 1.6109744019e-05 -44.7740753675 -11.9830689913
112 92380 -0.0169196837076 1.61481197622e-05 -44.6945758728 -11.9643717472
113 92548 -0.0170673183313 1.61248754342e-05 -44.615291599 -11.9728134744
114 92936 -0.0172144329666 1.61735219452e-05 -44.5366152997 -11.9951194594
115 92866 -0.0173620469765 1.62437473916e-05 -44.4579997131 -11.9715650471
116 92137 -0.0175108871028 1.61593459804e-05 -44.3790615021 -11.9748738071
117 92200 -0.0176589033379 1.61865864026e-05 -44.3008872009 -11.977868228
118 92008 -0.0178073234068 1.61469443558e-05 -44.2228249716 -11.9961240179
119 92187 -0.0179552365929 1.61215562086e-05 -44.1453514729 -11.9664379273
120 92604 -0.0181025838332 1.62061481332e-05 -44.0684921776 -11.9663036569
121 92228 -0.0182510059931 1.61491743532e-05 -43.9913908608 -11.9571192634
122 92386 -0.0183987797807 1.60646235112e-05 -43.914942156 -11.959791536
123 93342 -0.0185450253285 1.63026913174e-05 -43.8395924128 -11.9305048161
124 92057 -0.01869447033 1.60494086354e-05 -43.7629091775 -11.9668527589
125 93153 -0.018840725244 1.61419381054e-05 -43.6881692144 -11.9696205651
126 93381 -0.0189876436738 1.63203848887e-05 -43.6133934646 -11.9474716741
127 91930 -0.019137353916 1.60314055986e-05 -43.5375075929 -11.9525953081
128 93195 -0.0192834121346 1.61450100479e-05 -43.4637733943 -11.9596338998
129 93394 -0.019430348309 1.62024460751e-05 -43.3898936646 -11.9518433041
130 93050 -0.0195780798909 1.61777503121e-05 -43.3159132084 -11.9611667925
131 92940 -0.0197256736759 1.60987678843e-05 -43.242299557 -11.959859463
132 93577 -0.0198720460092 1.62350099052e-05 -43.1695873351 -11.9593841077
133 92925 -0.0200201741872 1.60896943892e-05 -43.0962973728 -11.9487820526
134 93648 -0.0201664084828 1.61177361166e-05 -43.0242333248 -11.9499792687
135 94108 -0.0203125388551 1.62767824151e-05 -42.9525054994 -11.9589629213
136 93057 -0.0204609427168 1.61753498235e-05 -42.8799516039 -11.9481842149
137 92969 -0.0206084910804 1.61161442766e-05 -42.8081038281 -11.9405152567
138 93441 -0.0207551277845 1.6239269694e-05 -42.7369826824 -11.9521658137
139 92749 -0.0209034346592 1.597869628e-05 -42.6653364464 -11.940450928
140 94530 -0.0210479812469 1.62712520816e-05 -42.5957809476 -11.9401843981
141 93526 -0.0211959616595 1.60872078287e-05 -42.5248518218 -11.9399102183
142 94277 -0.02134168443 1.61855379267e-05 -42.455278789 -11.939191028
143 94091 -0.0214884431715 1.61137280542e-05 -42.3854843201 -11.9333313282
144 94592 -0.0216341632394 1.6204413704e-05 -42.3164534831 -11.9388593958
145 94225 -0.0217809888181 1.62502770604e-05 -42.2471691429 -11.919078027
146 93423 -0.0219288600595 1.59968421307e-05 -42.1776639128 -11.9333914092
147 95041 -0.0220731807159 1.63131113758e-05 -42.1100898104 -11.9450354725
148 93634 -0.0222214569225 1.60439502158e-05 -42.0409318508 -11.9428830699
149 94802 -0.0223663855064 1.62084806571e-05 -41.9735964707 -11.9288293231
150 94395 -0.0225131154545 1.61382375119e-05 -41.9056857036 -11.9323220388
151 94662 -0.0226590032918 1.61018759111e-05 -41.8384241028 -11.9394578901
152 95281 -0.0228040890632 1.61782119257e-05 -41.7717873725 -11.9542939975
153 95164 -0.0229499522402 1.61313597795e-05 -41.7050485555 -11.9314152912
154 95500 -0.0230951368409 1.61828137661e-05 -41.6388726525 -11.9158264875
155 95338 -0.0232409081475 1.62542272407e-05 -41.5726812706 -11.9183278919
156 94489 -0.0233879789128 1.60910011801e-05 -41.5061542273 -11.9234266841
157 95211 -0.0235330193056 1.62573855268e-05 -41.4407944605 -11.9130601231
158 94333 -0.0236802403049 1.61682710635e-05 -41.374703331 -11.9158737119
159 94312 -0.0238266706293 1.60682791313e-05 -41.3092168678 -11.9283800985
160 95253 -0.023971474991 1.60620528394e-05 -41.2447010991 -11.910439251
161 96264 -0.0241154609836 1.62657511933e-05 -41.1807887326 -11.9287308999
162 95295 -0.0242620120839 1.61521058972e-05 -41.1159809226 -11.8927138031
163 95430 -0.0244074364468 1.61271687892e-05 -41.0519125111 -11.9214781359
164 95807 -0.0245523500772 1.62558247102e-05 -40.9883067203 -11.9161152368
165 94938 -0.0246990867348 1.61017175691e-05 -40.9241411105 -11.9021859587
166 95560 -0.0248439588703 1.61440137806e-05 -40.8610267751 -11.8853867963
167 95774 -0.0249890491143 1.61464538365e-05 -40.7980510918 -11.9156705408
168 95965 -0.0251340170224 1.62614891655e-05 -40.7353607787 -11.9099840313
169 95040 -0.0252807260711 1.61022175096e-05 -40.6721525941 -11.8889490892
170 95658 -0.0254255286141 1.61616147248e-05 -40.6099964224 -11.9091326024
171 95701 -0.0255708323229 1.61514242128e-05 -40.5478541599 -11.8902038629
172 95843 -0.0257159367419 1.60695218296e-05 -40.4860248372 -11.8824729127
173 96787 -0.0258596000612 1.61556085521e-05 -40.425032528 -11.8806648208
174 96890 -0.0260039561351 1.62331729113e-05 -40.3639683538 -11.9062829796
175 96232 -0.0261494997469 1.61014340232e-05 -40.3026261553 -11.8865976583
176 96865 -0.0262933899575 1.61274627269e-05 -40.2422010331 -11.8871879921
177 97245 -0.0264372309431 1.61829393888e-05 -40.182014253 -11.8844700989
178 97079 -0.0265816904844 1.6239112901e-05 -40.1217865195 -11.9044092775
179 96362 -0.0267271893902 1.62076102536e-05 -40.0613449678 -11.8909713702
180 95957 -0.0268727125485 1.60967007549e-05 -40.0011125099 -11.8654673869
181 96635 -0.0270167318418 1.61135288198e-05 -39.9417171499 -11.8911230412
182 97151 -0.0271605177819 1.61694380025e-05 -39.8826299023 -11.8923601081
183 97118 -0.0273048277287 1.61202988903e-05 -39.8235390517 -11.8668053825
184 97570 -0.0274483652371 1.62240078226e-05 -39.7649737963 -11.8851323035
185 96998 -0.0275932515264 1.61682047576e-05 -39.7060687921 -11.8881717191
186 96977 -0.0277376551914 1.60575855689e-05 -39.6475693918 -11.8740274998
187 98050 -0.0278802835678 1.62315508848e-05 -39.5899932979 -11.8769851287
188 97401 -0.0280249373174 1.60766326795e-05 -39.531805712 -11.8774190413
189 98289 -0.0281675615244 1.62574167675e-05 -39.4746366708 -11.8726242744
190 97382 -0.0283124595237 1.61196462e-05 -39.4167606821 -11.8708082887
191 97842 -0.028455791786 1.6220167186e-05 -39.359711792 -11.8756818699
192 97306 -0.0286004141135 1.60535471432e-05 -39.302351692 -11.8827945471
193 98423 -0.0287427361844 1.63447018066e-05 -39.2461012345 -11.8682275171
194 96655 -0.0288889588466 1.61028487147e-05 -39.1885119217 -11.8768496522
195 97277 -0.029032556775 1.61166027019e-05 -39.1321553421 -11.8600129281
196 97766 -0.0291759171544 1.62504621399e-05 -39.0760876674 -11.8743057968
197 96932 -0.0293210888308 1.61065782496e-05 -39.0195098051 -11.8525052895
198 97519 -0.029464541791 1.60334007092e-05 -38.9637966866 -11.8587957214
199 98841 -0.029606384831 1.61883774198e-05 -38.9088983339 -11.8805351311
200 98617 -0.0297497610216 1.61341883584e-05 -38.853597133 -11.8793162423
201 98936 -0.0298924266919 1.62105218459e-05 -38.7987591549 -11.8631383962
202 98491 -0.0300360913686 1.62387164382e-05 -38.7437268912 -11.8743323099
203 97768 -0.0301805371171 1.61277985463e-05 -38.6885863797 -11.8491879472
204 98148 -0.0303237177143 1.6097292419e-05 -38.6341168197 -11.8488951413
205 98835 -0.0304661299424 1.6094151894e-05 -38.5801242867 -11.8595272469
206 99559 -0.0306079960576 1.63267055669e-05 -38.5265210411 -11.8548278044
207 97950 -0.0307530895375 1.61099790837e-05 -38.471885548 -11.8574297103
208 98509 -0.0308958498588 1.62178732304e-05 -38.4183124371 -11.8564332768
209 97992 -0.0310399445856 1.61200108168e-05 -38.3644225281 -11.8324954912
210 98451 -0.0311828359056 1.61599982341e-05 -38.3111642675 -11.8515831607
211 98512 -0.0313260376218 1.61265781502e-05 -38.2579708182 -11.8586670488
212 98907 -0.0314686568918 1.62091536405e-05 -38.2051724203 -11.8574183487
213 98475 -0.0316123205292 1.60335842328e-05 -38.1521667857 -11.8391946594
214 99808 -0.031753476311 1.62695561698e-05 -38.1002609288 -11.8397067633
215 98765 -0.0318974634689 1.61040090411e-05 -38.0474912191 -11.8263967088
216 99389 -0.0320395378154 1.61739288732e-05 -37.9955971738 -11.84201699
217 99310 -0.0321822859029 1.62283251845e-05 -37.943630878 -11.8540567309
218 98685 -0.0323259669957 1.60365077017e-05 -37.8915000206 -11.8388507755
219 99991 -0.0324670191461 1.63097408864e-05 -37.8404930311 -11.8381436069
220 98544 -0.0326115240308 1.60621459979e-05 -37.7884112989 -11.8371612028
221 99589 -0.0327530868017 1.61671803662e-05 -37.7375597033 -11.8575561067
222 99578 -0.0328955831816 1.6183747106e-05 -37.6865415794 -11.8345359047
223 99399 -0.0330383534068 1.615972975e-05 -37.6355944609 -11.8156655169
224 99463 -0.0331808662976 1.61102878049e-05 -37.5849071001 -11.8365431258
225 100027 -0.0333225415795 1.61059502765e-05 -37.5346831397 -11.8134676868
226 100639 -0.0334637477605 1.62330236788e-05 -37.4847888612 -11.8247037671
227 99957 -0.033606552358 1.6160337329e-05 -37.4344948824 -11.822423166
228 100015 -0.0337486766345 1.60920302911e-05 -37.3846045391 -11.8227319302
229 100769 -0.033889669611 1.61309958117e-05 -37.335272232 -11.8320820346
230 101128 -0.0340307529095 1.62883610124e-05 -37.2860679733 -11.8114195173
231 99881 -0.0341740992635 1.60817336807e-05 -37.2362372283 -11.8303605473
232 100739 -0.0343150228567 1.61036245852e-05 -37.1874078625 -11.8318235138
233 101379 -0.0344556922267 1.6289568025e-05 -37.138823213 -11.8142340828
234 100117 -0.0345988803933 1.61181149015e-05 -37.0895285635 -11.8033579292
235 100605 -0.0347402169101 1.61488160989e-05 -37.0410288641 -11.8210971758
236 100781 -0.0348816990073 1.61721208978e-05 -36.9926351677 -11.8325956758
237 100719 -0.0350234289923 1.61817230106e-05 -36.9443123865 -11.7970419647
238 100559 -0.0351653558944 1.61209415975e-05 -36.896077889 -11.8337233311
239 101020 -0.0353064264164 1.60633480844e-05 -36.8482878297 -11.8112590472
240 102078 -0.0354462625674 1.63294388515e-05 -36.8010661503 -11.8105037564
241 100400 -0.0355895984708 1.61453007567e-05 -36.7528171124 -11.8076735108
242 100612 -0.0357311688529 1.61814430302e-05 -36.7053151648 -11.8387741547
243 100455 -0.0358731667301 1.60208455457e-05 -36.6578215845 -11.7993772998
244 101946 -0.0360127231801 1.62212996481e-05 -36.6112920229 -11.8109504725
245 101376 -0.0361544226359 1.62647412241e-05 -36.5641968076 -11.7891151618
246 100366 -0.0362972147567 1.60732788271e-05 -36.516889443 -11.8067657398
