100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.08642544733e-05 -56.6666666667 -12.4664587801
2 3109 -0.00021012143457 2.54062234608e-05 -56.4720126841 -12.0996736406
3 3280 -0.000451003604388 2.64662402094e-05 -56.250714373 -12.1870052867
4 3241 -0.000705652861352 2.59918433273e-05 -56.0188917507 -12.1836015462
5 3299 -0.000950920477172 2.64212235168e-05 -55.7976454083 -12.1617259906
6 3262 -0.00120412872211 2.6179733414e-05 -55.5713030481 -12.2242906168
7 3276 -0.00145360400374 2.58441317121e-05 -55.3503235581 -12.1238436664
8 3361 -0.00169327214743 2.65897360962e-05 -55.1398997186 -12.0332083083
9 3301 -0.00194406402717 2.63774049208e-05 -54.921644282 -12.1735591075
10 3270 -0.0021965773528 2.59956382998e-05 -54.7038634695 -12.1071960986
11 3330 -0.00243950201547 2.6426432214e-05 -54.4961959311 -12.1323980031
12 3302 -0.00268877910787 2.60150126179e-05 -54.2849526395 -12.0391838135
13 3349 -0.00293139289921 2.64986909953e-05 -54.0811367352 -12.0658638954
14 3304 -0.00318136223092 2.62524117157e-05 -53.8729550843 -12.0941919567
15 3304 -0.00342942314065 2.62551473336e-05 -53.6681589756 -12.1333684942
16 3310 -0.00367651305623 2.59826510274e-05 -53.465920346 -12.1685611535
17 3366 -0.00391735132811 2.670626619e-05 -53.2704636293 -12.0259227546
18 3286 -0.00417005525287 2.63356954159e-05 -53.0671218541 -12.0926645972
19 3262 -0.00442283527874 2.63204115211e-05 -52.865483531 -12.1044774761
20 3260 -0.00467370648527 2.62861651141e-05 -52.6670903965 -12.0517897834
21 3259 -0.0049249503894 2.6327773494e-05 -52.4701003839 -12.014322317
22 3252 -0.00517688714866 2.61136686753e-05 -52.2742515809 -12.0640834661
23 3281 -0.00542524872472 2.58280626678e-05 -52.0828122165 -12.0684911417
24 3372 -0.00566386053318 2.67140046872e-05 -51.9003936922 -12.1049911831
25 3282 -0.00591768017439 2.6102640858e-05 -51.7079483451 -12.1375604279
26 3312 -0.00616363547337 2.65192050707e-05 -51.5230195526 -12.1062216541
27 3263 -0.0064168975823 2.57512600749e-05 -51.3341752393 -12.0950583493
28 3370 -0.00665478271115 2.63800027787e-05 -51.1582375679 -12.12323512
29 3343 -0.00690127917068 2.61297287227e-05 -50.9773856533 -12.105575046
30 3364 -0.00714406631673 2.67532031412e-05 -50.8006852691 -12.1241097652
31 3262 -0.00740017649245 2.6291899317e-05 -50.615807907 -12.0196554013
32 3256 -0.00765217642396 2.55464851444e-05 -50.4354018174 -11.9884435124
33 3400 -0.00788650574188 2.67000995455e-05 -50.268968826 -12.1147071219
34 3301 -0.00813986172928 2.53521437946e-05 -50.0904391935 -12.0620107969
35 3488 -0.00836628823409 2.73133602128e-05 -49.9321173771 -12.0379646987
36 3282 -0.00862493043246 2.58902464447e-05 -49.7526754317 -12.1437903797
37 3343 -0.00886773495809 2.63765101608e-05 -49.5855698389 -12.1248148332
38 3318 -0.00911599035702 2.60162032008e-05 -49.4160469101 -12.0745561326
39 3371 -0.0093563467925 2.58837375742e-05 -49.2531882654 -12.1071590782
40 3453 -0.00958974362779 2.67095031419e-05 -49.0962278093 -12.0738774755
41 3356 -0.00983853080206 2.6536660527e-05 -48.930185755 -12.0231315823
42 3300 -0.010089410975 2.59292984117e-05 -48.7640572112 -12.0652392369
43 3362 -0.0103304306716 2.63307568532e-05 -48.6056831769 -12.0584879376
44 3351 -0.0105753580094 2.61669586774e-05 -48.4459572883 -12.1452686341
45 3371 -0.0108175287316 2.57199580736e-05 -48.2892205927 -12.1178178865
