100 100000 0.95 reinforce cheb_reinforce 30000000

1 100 0 1.63703349581e-05 -56.6666666667 -12.7211512619
2 16428 -0.000146677676577 1.73598702658e-05 -56.5306266894 -12.1298800999
3 14556 -0.000311921369666 1.61796592772e-05 -56.3782491539 -12.1553241186
4 14536 -0.000466033076733 1.6409028824e-05 -56.2369718148 -12.1569056647
5 14183 -0.000624267238484 1.54791063958e-05 -56.0927465039 -12.1414992999
6 15208 -0.000768411379937 1.647969731e-05 -55.9620906838 -12.1066123422
7 14732 -0.000924334042806 1.627718603e-05 -55.8215323011 -12.184154018
8 14567 -0.00107921013072 1.67844218018e-05 -55.6827068785 -12.1324386233
9 13682 -0.00124399835402 1.55027756689e-05 -55.5358531486 -12.1435136459
10 14636 -0.00139115929463 1.63103427361e-05 -55.4054484699 -12.1127713506
11 14424 -0.00154712106512 1.60304488403e-05 -55.2680009247 -12.147453766
12 14624 -0.00169935162863 1.59300233308e-05 -55.1345856593 -12.1102608586
13 14979 -0.00184882658725 1.66511068217e-05 -55.0042947235 -12.0962716084
14 14260 -0.00200895625013 1.54609205956e-05 -54.8654898837 -12.0814149591
15 15319 -0.00215240906954 1.68625165925e-05 -54.7418148536 -12.1696100081
16 14275 -0.00231448966752 1.61408874134e-05 -54.6028401789 -12.1366576235
17 14312 -0.00246943279278 1.6195399929e-05 -54.4707331199 -12.1652995492
18 14270 -0.00262512813179 1.53472379644e-05 -54.3387147229 -12.130156016
19 15508 -0.00276665540716 1.68551018353e-05 -54.2193396944 -12.1240976185
20 14462 -0.00292761398461 1.60957784947e-05 -54.0842979878 -12.0942161824
21 14566 -0.00308077093495 1.64463580968e-05 -53.9565106152 -12.1449157569
22 14158 -0.00323950184036 1.57883804088e-05 -53.8247960465 -12.1379653186
23 14712 -0.00338898697446 1.62348164455e-05 -53.701421499 -12.0745243274
24 14610 -0.00354323301877 1.63796828229e-05 -53.5747913249 -12.131290741
25 14297 -0.00370054938523 1.51058847276e-05 -53.4463397309 -12.1459840778
26 15924 -0.00383801965336 1.62207470314e-05 -53.3346664403 -12.15089991
27 15836 -0.00398604541817 1.6819234538e-05 -53.2150120752 -12.0633727551
28 14821 -0.00414470073356 1.58756377858e-05 -53.0874437354 -12.0594059143
29 15265 -0.00429226402003 1.60087483193e-05 -52.9694190383 -12.1219381761
30 15511 -0.00443987873851 1.62674481288e-05 -52.8519511983 -12.1587138316
31 15353 -0.00459065081454 1.68579540411e-05 -52.7325835502 -12.1336901928
32 14313 -0.00475247061513 1.60802117923e-05 -52.6051528665 -12.0481013773
33 14439 -0.00490615235269 1.62042208702e-05 -52.484780825 -12.0817455616
34 14384 -0.00506131530748 1.62902546518e-05 -52.3638859576 -12.1168557387
35 14204 -0.00521828355671 1.56695235745e-05 -52.2422310039 -12.0879299067
36 14939 -0.00536551122384 1.57492880957e-05 -52.1287116894 -12.0922732157
37 15585 -0.00551038812558 1.69361442268e-05 -52.0175548545 -12.0770251438
38 14415 -0.00567238460946 1.53238550221e-05 -51.8939041132 -12.0924674096
39 15703 -0.0058128165352 1.72579594883e-05 -51.7872570593 -12.0858030649
40 14058 -0.00597997397997 1.54641289516e-05 -51.6609670365 -12.0602714674
41 15097 -0.00612450732633 1.57690474391e-05 -51.5523376952 -12.0723293247
42 15718 -0.00626894983806 1.70423282689e-05 -51.4442987635 -12.091422094
43 14382 -0.00643214671621 1.57853601559e-05 -51.3228554374 -12.0694124117
44 14949 -0.00658041204559 1.67900742058e-05 -51.2130924981 -12.1044464924
45 14033 -0.00674318258902 1.53930530597e-05 -51.0932101359 -12.0457659571
46 15180 -0.00688666007613 1.58534017499e-05 -50.9880705525 -12.0533447894
47 15670 -0.00703209948308 1.65903175111e-05 -50.8819994417 -12.0273219699
48 15010 -0.00718760720389 1.5755465001e-05 -50.7691450054 -12.0199471416
49 15649 -0.00733224311579 1.66263258772e-05 -50.6646957782 -12.0663011119
50 14936 -0.00748847782418 1.58867012258e-05 -50.5524243536 -12.0804290159
51 15366 -0.00763565702412 1.58296000403e-05 -50.4471826776 -12.0304519489
52 15900 -0.0077798221113 1.74469985568e-05 -50.3445840532 -12.0681623801
53 13964 -0.00794937720531 1.58728645585e-05 -50.224529173 -12.0390333557
54 14386 -0.00810135324563 1.61458055984e-05 -50.1174803477 -11.9959999048
55 14416 -0.00825578301667 1.57098620526e-05 -50.009240396 -12.038887056
56 15100 -0.0084026009459 1.60955630726e-05 -49.9068341027 -12.0988353669
57 15209 -0.00855248376569 1.65233801824e-05 -49.8027876602 -12.0622984601
58 14668 -0.00870916122082 1.55825150956e-05 -49.694558076 -12.0417863176
59 15564 -0.00885260133069 1.64243244999e-05 -49.5959474059 -12.0628444773
60 15162 -0.00900578186754 1.60751267963e-05 -49.4911380535 -12.0329355912
61 15303 -0.00915501316844 1.6683991329e-05 -49.3895215663 -12.0692917854
62 14520 -0.00931401630969 1.58852326377e-05 -49.2817801494 -12.0130102588
63 14940 -0.00946326404458 1.5736560874e-05 -49.1811420811 -12.0587979739
64 15606 -0.00960792546329 1.64939660081e-05 -49.084048983 -12.0671721587
65 15096 -0.00976209180124 1.62406843856e-05 -48.9810631844 -12.0538662184
