100 100000 0.5 gpomdp cheb_gpomdp 30000000

1 100 0 1.26233642321e-05 -56.6666666667 -12.5004374634
2 11190 -8.79477171002e-05 2.24295791571e-05 -56.58500855 -12.1413841413
3 5894 -0.000303267742236 1.58335676622e-05 -56.3862059372 -12.120235829
4 6097 -0.000452716419386 1.62963506906e-05 -56.2491478358 -12.1490349473
5 6017 -0.000607544811746 1.63792168974e-05 -56.1079488726 -12.1780323671
6 5889 -0.000764851313302 1.58164150855e-05 -55.965309315 -12.160724617
7 6102 -0.000914071409845 1.67732335355e-05 -55.8307590844 -12.1331911349
8 5738 -0.00107726366206 1.5838794497e-05 -55.6844467688 -12.1697947458
9 5932 -0.00122882048408 1.5937091188e-05 -55.5493424349 -12.1490532102
10 6072 -0.00137955396177 1.60601627884e-05 -55.41570715 -12.0913431586
11 6138 -0.00153063094366 1.64075889187e-05 -55.2824969207 -12.1135448566
12 5990 -0.00168687363898 1.62193748685e-05 -55.1454938949 -12.1324571043
13 5958 -0.00184173507966 1.63987908633e-05 -55.0104602902 -12.2040203615
14 5819 -0.00200016463907 1.53483225838e-05 -54.8730900532 -12.0528586116
15 6324 -0.00214241156603 1.63416973062e-05 -54.7504134678 -12.1865559418
16 6213 -0.00229520982615 1.63276599797e-05 -54.6193294856 -12.1029581401
17 6112 -0.0024491249379 1.63103477532e-05 -54.488006534 -12.1188053127
18 6024 -0.00260400596046 1.58391408997e-05 -54.3565821131 -12.212871411
19 6228 -0.00275192715947 1.62314596874e-05 -54.2317348103 -12.1362616982
20 6187 -0.00290400716268 1.65857924209e-05 -54.104055813 -12.0962414882
21 5930 -0.0030627479664 1.57014709783e-05 -53.9715124797 -12.196442395
22 6217 -0.00320951118582 1.64452751715e-05 -53.8496260823 -12.0967738958
23 6044 -0.00336541223803 1.61788819882e-05 -53.720835617 -12.0978147209
24 6037 -0.00351887984269 1.62115424203e-05 -53.5947390944 -12.0675139309
25 6010 -0.00367300153963 1.62382103194e-05 -53.4687822882 -12.1359936297
26 5967 -0.00382793259696 1.62828172941e-05 -53.3428425122 -12.0967510523
27 5897 -0.00398420120952 1.57179102111e-05 -53.2164990447 -12.0885174598
28 6172 -0.00413165169569 1.60516159648e-05 -53.0979095882 -12.1248851553
29 6245 -0.00428135509573 1.675330867e-05 -52.9781237459 -12.0705259951
30 5884 -0.00444231385368 1.57569037433e-05 -52.850018388 -12.0547378376
31 6134 -0.00459058676957 1.61271791805e-05 -52.7326341245 -12.0816083791
32 6159 -0.00474203970373 1.61599741236e-05 -52.6133458243 -12.0910478309
33 6163 -0.0048937445229 1.6308687701e-05 -52.4944759444 -12.0622308757
34 6075 -0.00504795469636 1.6078751036e-05 -52.3742707761 -12.1381836359
35 6130 -0.00519931189734 1.61238294019e-05 -52.256900216 -12.1394116417
36 6157 -0.00535075702515 1.60922124684e-05 -52.1400623892 -12.0830550773
37 6204 -0.00550133164415 1.65281597658e-05 -52.0244875334 -12.1275814003
38 5981 -0.00565884307267 1.56234884325e-05 -51.9042144721 -12.0782603533
39 6320 -0.00580367834635 1.64539637457e-05 -51.7941815165 -12.0726168812
40 6139 -0.00595845365078 1.62904211488e-05 -51.677186363 -12.1406592257
41 6062 -0.00611264898052 1.65230159042e-05 -51.5612305383 -12.0781826426
42 5847 -0.00627190342297 1.54219779e-05 -51.4420949847 -12.1311133045
43 6307 -0.00641502565261 1.63200791597e-05 -51.3355652132 -12.053952591
