100 100000 0.95 gpomdp bernstein 30000000

1 100 0 2.47685347233e-05 -56.6666666667 -11.8865176094
2 3782 0.000201227182757 2.86236195661e-05 -56.854509319 -12.1147446496
3 3268 0.000474230733027 2.59550191733e-05 -57.1116165046 -12.2104712756
4 3330 0.000717196695058 2.64435164048e-05 -57.342655182 -12.1584051036
5 3295 0.000967526928383 2.67534159362e-05 -57.5829149942 -12.1529252227
6 3193 0.00122953615537 2.57313973646e-05 -57.8368299325 -12.1690482287
7 3296 0.00147306672463 2.67620719319e-05 -58.0751125814 -12.2490614873
8 3198 0.00173418708219 2.65118331778e-05 -58.3330772002 -12.208324498
9 3154 0.00199610307608 2.5992903762e-05 -58.5944347045 -12.1273635061
10 3213 0.00224775326604 2.58337048511e-05 -58.8480443784 -12.2260531382
11 3301 0.0024914794208 2.65461196214e-05 -59.0960343975 -12.0838446855
12 3250 0.00274580911003 2.67105940286e-05 -59.3573320707 -12.2367900822
13 3172 0.00300764299583 2.56080519826e-05 -59.629066706 -12.195011744
14 3306 0.00324860244897 2.64978554203e-05 -59.8816187222 -12.124889168
15 3262 0.00350166930007 2.63734148605e-05 -60.1494592468 -12.1831025418
16 3239 0.00375586839171 2.64019511878e-05 -60.4212181499 -12.1400134681
17 3229 0.00400919954248 2.62359536165e-05 -60.6948025056 -12.1639304047
18 3237 0.0042616925843 2.61946767145e-05 -60.9702584751 -12.1623523705
19 3263 0.00451078519064 2.61993348864e-05 -61.2447624906 -12.1899664823
20 3277 0.0047601287974 2.61569681341e-05 -61.5223280447 -12.1900934417
21 3296 0.00500794957857 2.70839558617e-05 -61.8010012449 -12.2281177307
22 3136 0.00527737175597 2.57685088345e-05 -62.1071850903 -12.2693030645
23 3233 0.00552576310438 2.61799324619e-05 -62.3924872863 -12.1825753479
24 3248 0.00577728486676 2.64539610088e-05 -62.684383195 -12.20974994
25 3214 0.00603368162938 2.60134532843e-05 -62.9850906713 -12.2085941428
26 3259 0.00628306351248 2.69309974471e-05 -63.2806741527 -12.2072334206
27 3133 0.00655074104902 2.60122627883e-05 -63.601403373 -12.1722787047
28 3183 0.00680536278399 2.60250292715e-05 -63.9098686123 -12.1589229329
29 3234 0.00705593729129 2.63023846077e-05 -64.2167003966 -12.1576059514
30 3226 0.00731024397176 2.59658205095e-05 -64.5314723597 -12.2214648464
31 3285 0.00755670897736 2.65171936177e-05 -64.8398300519 -12.2740452228
32 3230 0.00781325239609 2.68767738327e-05 -65.1642951802 -12.1627429382
33 3120 0.00808106661079 2.58348669919e-05 -65.5068856919 -12.2141055737
34 3210 0.00833127464511 2.6323436692e-05 -65.8305870939 -12.2473058359
35 3202 0.00858732620786 2.6031767827e-05 -66.1655435517 -12.2453595113
36 3250 0.00883686068197 2.68770569758e-05 -66.4956309431 -12.2780795256
37 3133 0.00910435406511 2.56743407754e-05 -66.8535516568 -12.1868138299
38 3255 0.00934944148417 2.64887048238e-05 -67.1852584607 -12.2721085863
39 3214 0.00960620934877 2.64410381197e-05 -67.5367040787 -12.163093746
40 3181 0.00986530674233 2.58800862388e-05 -67.8954849347 -12.3213075856
41 3258 0.0101127301226 2.69376161832e-05 -68.2420560461 -12.1841851049
42 3134 0.0103800738149 2.62814363005e-05 -68.6209505617 -12.2403058962
43 3138 0.0106405204697 2.58494819088e-05 -68.9945644943 -12.277977899
44 3214 0.0108917349377 2.6639348616e-05 -69.3592130163 -12.2312089917
45 3141 0.0111564580561 2.56458020752e-05 -69.7480981325 -12.2325897888
46 3266 0.011400646342 2.69773492962e-05 -70.1111030792 -12.1468689727
47 3141 0.0116670607124 2.62991482681e-05 -70.5119262588 -12.1618821487
48 3149 0.0119259145056 2.60834756436e-05 -70.9062367729 -12.2094138444
49 3191 0.0121800826467 2.60768595585e-05 -71.298159349 -12.2776423897
50 3232 0.0124312322251 2.65769059586e-05 -71.6901349473 -12.2340418823
51 3175 0.0126920302453 2.62903755328e-05 -72.1022133396 -12.3360209789
52 3177 0.0129493364715 2.62497702997e-05 -72.5139051622 -12.3315931944
53 3192 0.0132044855527 2.66778236145e-05 -72.9272729142 -12.2262999381
54 3117 0.0134709735608 2.60920765746e-05 -73.3645666103 -12.2264367968
55 3161 0.0137271851713 2.61474664206e-05 -73.7904527356 -12.2190250431
56 3190 0.0139821631021 2.65499382271e-05 -74.2197007959 -12.2184791432
57 3136 0.014246210337 2.65043964058e-05 -74.6700185383 -12.3325398507
58 3095 0.014512930004 2.57310811445e-05 -75.1310060024 -12.2726219823
