100 100000 0.75 gpomdp iter_bernstein 20000000
63 685 -0.00011644719229 2.24101269004e-07 -56.5586042747 -12.0846915103
64 702 -0.000118547650812 1.69273839273e-07 -56.5566593385 -11.8800976148
65 676 -0.000120158434335 2.30050159097e-07 -56.5551679232 -12.1544568307
66 676 -0.000122384719269 2.18334384863e-07 -56.553106765 -12.3008136873
67 652 -0.000124582982153 1.98965670116e-07 -56.5510717172 -12.2189843927
68 668 -0.000126505250146 2.02057987739e-07 -56.5492923081 -12.1849697436
69 662 -0.000128495801284 1.84290900374e-07 -56.5474498241 -12.0656547533
70 656 -0.000130298044755 1.76178911322e-07 -56.5457817575 -12.1326138097
71 667 -0.000132000198751 2.16127291092e-07 -56.544206431 -12.3489898774
72 670 -0.000134097282193 1.88853602699e-07 -56.5422657377 -12.0343607237
73 666 -0.000135915296843 2.02635128358e-07 -56.5405834236 -12.0836877311
74 729 -0.000137733935376 2.03065354705e-07 -56.5389006454 -12.3642916983
75 713 -0.000139581780043 2.0005637977e-07 -56.5371909589 -12.1213919295
76 667 -0.000141533273461 1.97759106355e-07 -56.5353855001 -12.1083164706
77 662 -0.00014345978633 1.86015949003e-07 -56.5336032805 -12.0982788575
78 633 -0.000145337668137 2.149563132e-07 -56.5318661719 -12.2004331403
79 683 -0.000147411832282 1.93507313983e-07 -56.5299476353 -11.9868306969
80 672 -0.000149286521407 2.16529779442e-07 -56.5282137335 -12.097132718
81 708 -0.000151288860643 1.90101269008e-07 -56.5263619009 -12.0529224746
82 669 -0.000153118398501 2.36597919588e-07 -56.5246700009 -12.1300140485
83 677 -0.000155413134923 2.17067270859e-07 -56.5225480617 -12.0833364483
84 657 -0.000157584534025 1.95583423351e-07 -56.5205403382 -12.0385906296
85 685 -0.000159425818989 1.98271614594e-07 -56.5188379719 -12.1934781095
86 701 -0.000161271526516 2.08244424076e-07 -56.5171316331 -12.1721092317
87 685 -0.000163246254276 2.6693257091e-07 -56.5153061454 -12.2637045596
88 696 -0.000165813979437 2.03743540185e-07 -56.5129326755 -12.1852248084
89 681 -0.000167744910292 2.01311369245e-07 -56.5111479733 -12.2121049715
90 628 -0.000169821880574 2.2443930877e-07 -56.5092284335 -12.3977477678
91 733 -0.000171854594619 2.0809077814e-07 -56.5073499382 -12.1289503444
92 684 -0.000173826137045 1.93960836549e-07 -56.5055281084 -12.0884452909
93 631 -0.000175807522365 1.72904563453e-07 -56.5036973171 -12.1524451745
94 681 -0.000177435689514 2.28491232538e-07 -56.5021929982 -12.0607547382
95 642 -0.000179755097663 1.69749007251e-07 -56.5000501748 -12.149012289
