100 500000 0.75 gpomdp hoeffding 30000000

1 100 0 3.3771136393e-05 -56.6666666667 -12.0817327728
2 117337 -0.00031474627982 1.6660932481e-05 -56.3756522732 -12.1554217127
3 111593 -0.00047397186179 1.6154926407e-05 -56.2297158635 -12.1298977082
4 111719 -0.000628274533971 1.60397915652e-05 -56.0891048543 -12.1205378956
5 113160 -0.000780499114446 1.62088248758e-05 -55.9511653761 -12.1354776229
6 112670 -0.000934661906568 1.61819881472e-05 -55.8122503589 -12.1363402353
7 112488 -0.001088693906 1.61780532379e-05 -55.6742313775 -12.1384894624
8 112351 -0.00124278221321 1.61010205149e-05 -55.5369337164 -12.1320390069
9 113095 -0.00139563169944 1.61332535653e-05 -55.4014961813 -12.1337643995
10 113472 -0.00154853245317 1.61888225215e-05 -55.2667606145 -12.1360481988
11 113210 -0.00170213722646 1.62682931294e-05 -55.1321511636 -12.1307221973
12 112042 -0.00185729881492 1.60995495733e-05 -54.9969307751 -12.1192810986
13 112801 -0.00201033352108 1.616846923e-05 -54.8642994776 -12.1152473764
14 112773 -0.00216404198356 1.61541138502e-05 -54.7318135243 -12.1177624367
15 112910 -0.00231752121212 1.60837627363e-05 -54.600248445 -12.1255618651
16 113857 -0.00246969511243 1.62672304993e-05 -54.4705100781 -12.1232732644
17 112694 -0.00262439676984 1.61303205412e-05 -54.3393331637 -12.1133014444
18 113103 -0.00277751867969 1.60471406316e-05 -54.210201426 -12.1194757937
19 114476 -0.00292893481754 1.62838636258e-05 -54.0831929966 -12.1146463313
20 113116 -0.00308350575984 1.61041154368e-05 -53.9542350458 -12.1152395893
21 113829 -0.00323589072203 1.62411761513e-05 -53.8277844029 -12.1168581628
22 112965 -0.00339015957846 1.60620793263e-05 -53.7004562611 -12.1165668855
23 114163 -0.00354192423352 1.63014015008e-05 -53.5758629249 -12.0856329318
24 112606 -0.00369701152157 1.60948987277e-05 -53.4492207395 -12.112505236
25 113422 -0.00384958239109 1.61173288264e-05 -53.3252977706 -12.1088434808
26 113984 -0.00400198867006 1.61885340085e-05 -53.2021611219 -12.111949087
27 113724 -0.00415524309504 1.61014746906e-05 -53.0789917773 -12.1220860642
28 114472 -0.00430717488362 1.62583478893e-05 -52.9575262917 -12.099275081
29 113405 -0.00446130670597 1.60851776761e-05 -52.8349488388 -12.1121274768
30 114340 -0.00461317239413 1.61814546465e-05 -52.7148058727 -12.106994004
31 114161 -0.00476606621461 1.61372839659e-05 -52.5944785833 -12.086161685
32 114495 -0.00491832057593 1.61937867633e-05 -52.4752769046 -12.0922027644
33 114173 -0.00507132300889 1.60335741861e-05 -52.3561103454 -12.0939711631
34 115718 -0.00522179691086 1.63513959578e-05 -52.2395154527 -12.0975267858
35 113562 -0.00537670336683 1.60802942436e-05 -52.1201051239 -12.0895803115
