100 100000 0.95 reinforce hoeffding 20000000
26 87870 -0.00396643500107 1.62901287665e-05 -53.2308286443 -12.1020248516
27 86771 -0.00412024625699 1.61197752606e-05 -53.1070610678 -12.0868263417
28 87180 -0.00427209189498 1.63182426024e-05 -52.9855178246 -12.1109462289
29 85844 -0.00442699786017 1.6269279482e-05 -52.8621777533 -12.0939414752
30 84950 -0.00458225013846 1.58090052168e-05 -52.7392182343 -12.0914816958
31 88086 -0.00473040028368 1.62970333472e-05 -52.6224914505 -12.0910857326
32 86923 -0.00488414178483 1.5965225105e-05 -52.501982059 -12.0801259009
33 88713 -0.00503322605712 1.65460831222e-05 -52.3857243867 -12.1042790999
34 85359 -0.00519074119785 1.57648411545e-05 -52.2635303204 -12.0970861686
35 88908 -0.00533779286609 1.62146979102e-05 -52.1500406485 -12.0935254755
36 88470 -0.00548941430919 1.65954388463e-05 -52.0336134034 -12.0779088507
37 84700 -0.00564801247066 1.58246569201e-05 -51.9124641384 -12.0797090202
38 87687 -0.00579664609008 1.64722231759e-05 -51.7995116499 -12.0865649068
39 85006 -0.00595378328689 1.57464441905e-05 -51.6807078402 -12.0863329313
40 88706 -0.00610083052122 1.6334083579e-05 -51.570096972 -12.0939464592
41 87207 -0.00625467091548 1.60717275931e-05 -51.4549558518 -12.0677504853
42 88046 -0.00640531727661 1.62777714317e-05 -51.3427754113 -12.0858293222
43 87054 -0.00655876195582 1.63025281248e-05 -51.2290867511 -12.0913311342
44 85857 -0.00671350731626 1.59107719712e-05 -51.1150182462 -12.0683059628
45 88111 -0.00686258991232 1.6258651177e-05 -51.0056743305 -12.0845248871
46 87287 -0.00701564929234 1.60291685022e-05 -50.8939713635 -12.0801275134
47 88508 -0.00716550384026 1.61885095457e-05 -50.7851506685 -12.0625261699
48 88307 -0.007317020642 1.62239965812e-05 -50.6756654517 -12.0804011471
49 87789 -0.00746931623221 1.63830094101e-05 -50.5661632077 -12.0713661033
50 85878 -0.00762480654274 1.60093913815e-05 -50.4549241798 -12.0673882397
51 87254 -0.00777554762726 1.61157860332e-05 -50.3476191826 -12.0545519829
52 87700 -0.00792690429194 1.60814521219e-05 -50.2404033816 -12.0520009902
53 88456 -0.00807729172393 1.65179922619e-05 -50.1343937485 -12.0576991597
54 85354 -0.00823454359659 1.56585482871e-05 -50.0240951517 -12.0630108277
55 89868 -0.00837982138622 1.64755442679e-05 -49.9226912623 -12.0651811842
56 87091 -0.00853509753609 1.57570133048e-05 -49.8148312615 -12.0527728398
57 90784 -0.00868054949975 1.65135775821e-05 -49.7142819417 -12.0648428457
58 87640 -0.00883569583547 1.60036724788e-05 -49.6075459263 -12.0335212626
59 89096 -0.00898481730665 1.62746680549e-05 -49.5054522269 -12.0585695691
60 88120 -0.00913730204381 1.60212867289e-05 -49.4015564375 -12.0649634025
61 89424 -0.00928631366256 1.62311038238e-05 -49.3005125283 -12.0419303259
62 88836 -0.00943777599393 1.63101816879e-05 -49.1982950741 -12.0436418908
63 87547 -0.00959109285983 1.57504490228e-05 -49.0953238066 -12.0388810651
64 91320 -0.00973605674249 1.6233735863e-05 -48.9984199608 -12.0437523021
65 90695 -0.0098859828058 1.63619318418e-05 -48.8986634133 -12.0528194023
66 88911 -0.0100386017295 1.59973103528e-05 -48.7975967025 -12.0291625412
67 90447 -0.0101865468635 1.63090172488e-05 -48.7000855852 -12.0530864531
68 89145 -0.0103384723694 1.61614218e-05 -48.600419513 -12.0384702603
69 89187 -0.0104889872428 1.60564688351e-05 -48.5021437272 -12.0700775167
70 90184 -0.0106376953739 1.63817357952e-05 -48.4054988703 -12.0514533677
71 88232 -0.0107910852941 1.60693683942e-05 -48.3062779889 -12.0223082024
72 89102 -0.0109408141498 1.62151288741e-05 -48.2098791606 -12.0516837369
73 88659 -0.0110922777787 1.58980329744e-05 -48.1128164849 -12.0198307716
74 91104 -0.0112387733951 1.64979619495e-05 -48.019367974 -12.0243949387
75 88088 -0.0113933781106 1.60875693744e-05 -47.9212026794 -12.0370456727
76 88792 -0.0115435376589 1.60443606348e-05 -47.8263049668 -12.0317764722
77 89895 -0.0116923723168 1.60282946777e-05 -47.7326744429 -12.0328059712
78 91161 -0.0118400225054 1.62723496517e-05 -47.6402090788 -12.0390490765
79 90183 -0.0119907310913 1.62124557557e-05 -47.5462569169 -12.0124282861
80 89759 -0.0121412389755 1.61398966579e-05 -47.4528589858 -12.0405408043
81 89998 -0.0122908748706 1.61050961248e-05 -47.3604243897 -12.0041129498
82 90557 -0.0124397266547 1.59102816243e-05 -47.2688890349 -12.0138336594
83 92939 -0.0125848808496 1.63963591579e-05 -47.1800233277 -12.0390764109
84 90793 -0.0127362272644 1.640182591e-05 -47.0877801015 -12.0239097268
85 88647 -0.0128894453824 1.59170105142e-05 -46.9948231693 -12.0004202628
86 90917 -0.0130362671978 1.61311328707e-05 -46.9061473017 -12.0085133395
87 91240 -0.0131848002964 1.6096667264e-05 -46.8168340036 -12.0545820272
88 91885 -0.0133324949336 1.63574492711e-05 -46.7284173387 -12.0173875833
89 90118 -0.0134840463583 1.62746218553e-05 -46.6380959482 -11.9841000393
90 89131 -0.0136356632036 1.59259327712e-05 -46.548142437 -12.0126545344
91 91330 -0.0137822342961 1.61302632232e-05 -46.4615668492 -12.0061640379
92 91662 -0.0139304166479 1.62691980452e-05 -46.3744210679 -12.0290587471
93 90708 -0.0140806596741 1.63746584214e-05 -46.2864525101 -12.0083931928
94 88809 -0.014233484965 1.59996666347e-05 -46.1973713084 -12.0277544982
95 90322 -0.0143815545465 1.63900766779e-05 -46.111443753 -12.0238136477
96 88293 -0.0145349701604 1.57734829257e-05 -46.0228072889 -11.9819173367
97 91883 -0.0146797006794 1.63284485177e-05 -45.9395533968 -12.0084506954
98 90382 -0.0148307627134 1.60985783512e-05 -45.8530326175 -12.009666362
99 91003 -0.0149791887417 1.63208463838e-05 -45.7683924834 -12.0034293546
100 89585 -0.0151308502477 1.58301774612e-05 -45.6822845557 -11.9983663377
101 92692 -0.0152754655835 1.63479337588e-05 -45.6005300599 -12.0127398172
102 90997 -0.0154261953105 1.64998937298e-05 -45.51568323 -12.0094785928
103 87967 -0.0155809241642 1.56362282065e-05 -45.4289695122 -11.9771469806
104 92830 -0.0157236620189 1.65547634618e-05 -45.3493188155 -11.9958933342
105 89241 -0.0158777932563 1.58686066771e-05 -45.2636776027 -11.9996284843
106 91977 -0.0160233225184 1.63377800148e-05 -45.1831637629 -11.9825550359
107 90389 -0.0161744651399 1.60939876522e-05 -45.099899646 -11.9907559906
108 91053 -0.0163228085359 1.60916395158e-05 -45.0185274241 -11.9880711487
109 91743 -0.0164705708759 1.61897390336e-05 -44.9378162567 -11.985583591
110 91523 -0.0166194129323 1.60732955861e-05 -44.856858555 -11.9802379443
111 92389 -0.0167664903925 1.59934490481e-05 -44.7771969077 -11.9914879455
112 94022 -0.0169115606364 1.62944238181e-05 -44.6989478412 -11.9838029098
113 92805 -0.0170603263298 1.62303640385e-05 -44.619039045 -11.9668629472
114 92201 -0.0172089917296 1.60831733852e-05 -44.5395194305 -11.9826321216
115 92980 -0.0173556909956 1.63119175885e-05 -44.461378015 -11.9588624325
116 91614 -0.0175055814983 1.6076697736e-05 -44.381869681 -11.9685897319
117 92449 -0.0176526423982 1.61398116751e-05 -44.3041873188 -11.9589972497
118 92696 -0.0178000838235 1.64192502156e-05 -44.2266251364 -11.9642792034
119 90345 -0.0179520163174 1.60704944437e-05 -44.1470347681 -11.9566050928
120 91225 -0.0181000027005 1.59601591285e-05 -44.0698358303 -11.9724474157
121 93152 -0.0182454456695 1.6193279496e-05 -43.9942735559 -11.960639212
122 92895 -0.0183932166001 1.6005116779e-05 -43.9178145045 -11.962043944
123 94425 -0.0185380825188 1.65417889251e-05 -43.8431626319 -11.9602499826
124 90894 -0.0186906862542 1.6041148307e-05 -43.7648469501 -11.9563483679
125 92054 -0.0188377364542 1.6050893493e-05 -43.6896935403 -11.9600675451
126 93136 -0.0189840183059 1.62652426992e-05 -43.615234992 -11.9626055533
127 92203 -0.0191330015633 1.59900345471e-05 -43.539709325 -11.952151796
128 93865 -0.0192781618937 1.63183470092e-05 -43.4664187376 -11.9727621369
129 92426 -0.0194274515818 1.63472688347e-05 -43.3913472697 -11.9626567638
130 90742 -0.0195783868219 1.60283066851e-05 -43.3157598158 -11.9575565001
131 92020 -0.0197253464996 1.5989087104e-05 -43.242462411 -11.9579029734
132 93688 -0.0198706355014 1.61397946824e-05 -43.1702866388 -11.9573354754
133 93938 -0.0200170984637 1.61311321141e-05 -43.0978161607 -11.9427762224
134 94272 -0.0201632236566 1.63140757872e-05 -43.0257997572 -11.9507333833
135 92867 -0.0203121194822 1.59822598007e-05 -42.9527109418 -11.9449521441
136 94616 -0.020456632562 1.6412167237e-05 -42.8820547141 -11.9626581166
137 92283 -0.0206068967531 1.60401902941e-05 -42.8088786481 -11.9528211831
138 93469 -0.0207528202813 1.6039638306e-05 -42.7380996843 -11.9613555857
139 94676 -0.0208978060126 1.65081706268e-05 -42.6680504029 -11.9461781615
140 91447 -0.021049638585 1.59188160803e-05 -42.5949850033 -11.9580172803
141 93771 -0.0211942248215 1.62348994022e-05 -42.5256826839 -11.928763136
142 93118 -0.0213421978545 1.59995778537e-05 -42.4550341413 -11.9436937693
143 94705 -0.0214867994723 1.63314579625e-05 -42.3862645066 -11.932726923
144 93129 -0.0216356439683 1.61863204628e-05 -42.3157534027 -11.9472773712
145 92938 -0.0217833174876 1.59695404921e-05 -42.2460724623 -11.9331131849
146 94810 -0.0219275672256 1.62938364828e-05 -42.1782704144 -11.9351851111
147 93589 -0.0220757036535 1.63812415597e-05 -42.1089108104 -11.9336596763
148 91568 -0.0222262690517 1.58354780636e-05 -42.0386919475 -11.9173823822
149 94693 -0.0223693963384 1.63717883278e-05 -41.9722003331 -11.9308338436
150 92737 -0.0225189233827 1.59875117267e-05 -41.9030030237 -11.9490970832
151 94433 -0.0226636238094 1.63182588148e-05 -41.8362980223 -11.8993890945
152 92986 -0.0228124623728 1.5790923287e-05 -41.7679493123 -11.9204953952
153 96596 -0.0229537743979 1.63083137321e-05 -41.7033031744 -11.917061845
154 95212 -0.0231007732597 1.61141874731e-05 -41.6363086021 -11.9262672807
155 95714 -0.0232456404608 1.60537812172e-05 -41.5705366512 -11.9260570588
156 96811 -0.023389145061 1.66957507158e-05 -41.5056277407 -11.9296298811
157 91747 -0.0235424511554 1.59443092008e-05 -41.4365526962 -11.932879028
158 93835 -0.0236872192227 1.62113375103e-05 -41.3715765838 -11.9314162747
159 93405 -0.0238347506579 1.59302488803e-05 -41.3056105454 -11.9017960477
160 95668 -0.0239779992954 1.62166298793e-05 -41.2417999568 -11.9067018214
161 95178 -0.0241241974888 1.59793412462e-05 -41.1769184139 -11.9190667893
162 96999 -0.0242668981293 1.63456313036e-05 -41.1138244258 -11.9154412559
163 95248 -0.0244142055167 1.62460464593e-05 -41.0489361461 -11.9171029391
164 94478 -0.0245612106769 1.61660649841e-05 -40.9844252731 -11.919075139
165 94478 -0.0247074922533 1.57822886119e-05 -40.9204728066 -11.9127246988
