2 100000 0.95 gpomdp sample_hoeffding 30000000

1 2 0 3.96177017934e-05 -56.6666666667 -14.1413481229
2 6128 3.60647254645e-07 3.30206976454e-05 -56.6670020709 -12.1486419895
3 933 0.000314875562676 2.94448045871e-05 -56.9612218969 -12.2941033864
4 225 0.000575682919155 2.23179571247e-05 -57.2078323416 -12.2410957818
5 120 0.000774177997687 1.32810358077e-05 -57.3971451768 -12.0129594392
6 162 0.000901731230598 1.28647644416e-05 -57.5195462916 -12.1609205441
7 228 0.00102121448858 2.49421260433e-05 -57.6347390193 -12.3594113597
8 92 0.00123802764743 1.60857684439e-05 -57.8451013612 -11.8623630008
9 93 0.00138454227435 1.42384854768e-05 -57.9882401487 -12.6211702845
10 114 0.00151684395364 1.72419699714e-05 -58.1181813378 -12.3651927029
11 103 0.00169308133939 2.04152659526e-05 -58.292297132 -12.2410386945
12 67 0.00191318031027 1.32058274646e-05 -58.5114039291 -11.9456218199
13 91 0.00204053433012 1.50287730523e-05 -58.6390330566 -11.9812223267
14 103 0.00218128387043 2.08670019107e-05 -58.7808176395 -11.7049274341
15 64 0.00234487918856 1.9733330515e-05 -58.9465885515 -11.4011156895
16 45 0.00252501191418 1.70599066352e-05 -59.130337591 -12.6681519048
17 42 0.00269118732887 6.25722488212e-06 -59.300995027 -12.1997490255
18 124 0.00273621688243 1.22486116919e-05 -59.3474299192 -12.0733110542
19 186 0.00283884786895 2.18468501179e-05 -59.453569865 -11.9179721246
20 105 0.00306096230909 7.27931844653e-06 -59.6847450535 -12.4542042587
21 273 0.00311841803448 2.29042880491e-05 -59.7448736372 -11.8609329246
22 137 0.00333771234952 1.77733043701e-05 -59.9756250757 -12.6777037242
23 117 0.003522422925 1.42013117296e-05 -60.1715437588 -12.1966202866
24 143 0.00363567492508 1.94826916862e-05 -60.2923794784 -12.0786577227
25 103 0.0038268064173 1.5726691829e-05 -60.4975486291 -12.5559212491
26 108 0.00395087500544 2.32136224356e-05 -60.6315693197 -11.8926166545
27 53 0.00418326832018 1.17936937757e-05 -60.8844025967 -12.2131888349
28 84 0.00428421071199 1.1594091287e-05 -60.994960575 -12.4347784352
29 135 0.00437709498676 1.84739715111e-05 -61.0970907047 -11.7034613243
30 107 0.00454987965539 1.68379879509e-05 -61.2880966038 -11.8224592762
31 100 0.0046982385405 2.1506020714e-05 -61.4531704744 -12.1042035771
32 58 0.00490351091405 1.34164591874e-05 -61.6832171258 -12.0626282777
33 77 0.00501348771132 1.90871277091e-05 -61.8072610934 -11.5937972258
34 58 0.00521608998071 1.52456202933e-05 -62.0372441695 -13.1805549595
35 64 0.0053560819665 1.41094603639e-05 -62.1972759045 -12.3627533739
36 79 0.00547508158352 1.35574794515e-05 -62.3340370758 -12.1127212928
37 104 0.00561570108916 2.02753976755e-05 -62.4965131395 -11.9712281873
38 69 0.00580502701693 1.11896651258e-05 -62.7167652481 -11.9212763711
39 116 0.00589643676374 1.04815682066e-05 -62.8237279253 -12.0725300552
40 210 0.00600926555049 2.15323807934e-05 -62.9563164259 -12.1725533417
41 122 0.00619797459755 2.24367688291e-05 -63.1794743304 -12.261134082
42 65 0.00641624978013 1.01192987765e-05 -63.4398054836 -12.4949857356
43 123 0.00650112901493 1.82766634137e-05 -63.5416854487 -12.069248915
44 100 0.00669839728713 1.16027103928e-05 -63.7798788286 -12.0427652683
45 161 0.00681276322401 1.32295887151e-05 -63.9188838101 -12.5112442016
46 218 0.00693485857513 2.11123801521e-05 -64.068029645 -12.0096602188
47 132 0.00714007488421 1.434360918e-05 -64.3204644969 -12.6331385177
48 159 0.00728007189998 2.02351997716e-05 -64.493947115 -11.776065563
49 106 0.00749438678893 1.08866661981e-05 -64.7615484477 -12.2894999784
50 184 0.0076110828059 1.54054548416e-05 -64.9082998215 -12.4064863706
51 199 0.00777436187929 2.33681913224e-05 -65.1148763615 -11.7709968467
52 95 0.00800588817048 1.71905093307e-05 -65.4103136635 -12.218415531
53 86 0.00818808562176 2.08055855211e-05 -65.6449062787 -11.8330735636
54 54 0.00835879858805 1.8981945819e-05 -65.8664124328 -11.8235408929
55 41 0.00855903459332 8.61710664694e-06 -66.1283479801 -12.2420329403
56 92 0.00862143176569 1.57358996561e-05 -66.2104445249 -12.1403275131
57 97 0.00876554473402 1.71962207378e-05 -66.4009214181 -11.8294873788
