10000 10000 0.95 gpomdp cheb_gpomdp 30000000

1 10000 0 2.73594078349e-05 -56.6666666667 -12.1729892483
2 10000 -0.0002637668076 2.72024171211e-05 -56.4225583071 -12.2254745891
3 10000 -0.000523677454439 2.71259214931e-05 -56.1843336975 -12.1495595077
4 10000 -0.000781729568264 2.72449020702e-05 -55.9500535208 -12.1415717173
5 10000 -0.00104267818094 2.71463277681e-05 -55.7153822618 -12.2045516938
6 10000 -0.00130122478672 2.66815662861e-05 -55.485060066 -12.1314689339
7 10000 -0.00154873834736 2.72306002262e-05 -55.2665796825 -12.1304921641
8 10000 -0.00180933708547 2.68887120314e-05 -55.0386480429 -12.1384876396
9 10000 -0.00206170945357 2.70025714176e-05 -54.8199359913 -12.1299937417
10 10000 -0.00231679244483 2.7033101217e-05 -54.6008714586 -12.1194244433
11 10000 -0.00257260713799 2.7196506218e-05 -54.3831673124 -12.1002483186
12 10000 -0.00283237369991 2.74480294095e-05 -54.1641104538 -12.0817657537
13 10000 -0.00309834254732 2.7201668162e-05 -53.9418935891 -12.1302409165
14 10000 -0.00335823493303 2.69838904684e-05 -53.726749403 -12.1529077097
15 10000 -0.00361287122451 2.67020643774e-05 -53.5178437363 -12.1463198151
16 10000 -0.00386086145801 2.692571055e-05 -53.3161625617 -12.0512666794
17 10000 -0.00411411150262 2.71714018521e-05 -53.1119849531 -12.1305157077
18 10000 -0.00437326700355 2.70656588894e-05 -52.904885271 -12.1330411732
19 10000 -0.0046298642935 2.70971583387e-05 -52.7016387601 -12.051700784
20 10000 -0.00488722100502 2.70273087044e-05 -52.499574876 -12.0461509619
21 10000 -0.0051428967104 2.7050599027e-05 -52.3005771704 -12.1012469306
22 10000 -0.00539913170794 2.69647717692e-05 -52.1028679061 -12.0426082421
23 10000 -0.00565331163406 2.72173992225e-05 -51.9084273918 -12.1124817586
24 10000 -0.00591358784345 2.67426056436e-05 -51.7110381668 -12.0680707189
25 10000 -0.00616252349939 2.63690455911e-05 -51.5238522101 -12.0964060105
26 10000 -0.00640287957198 2.71088881278e-05 -51.3445862063 -12.0466489868
27 10000 -0.00666051964759 2.71926224608e-05 -51.1540116769 -12.078368549
28 10000 -0.00692019158189 2.68750900491e-05 -50.9635704598 -12.1061598013
29 10000 -0.00717224156724 2.6823898969e-05 -50.7802704626 -12.0948337096
30 10000 -0.0074230836736 2.68914529073e-05 -50.5993473451 -12.089835374
31 10000 -0.00767552095742 2.67244529444e-05 -50.4187643896 -12.1241750338
32 10000 -0.00792403285548 2.69087736706e-05 -50.2424325133 -12.0808832016
33 10000 -0.00817688075096 2.67765733329e-05 -50.0644756458 -12.0550612964
34 10000 -0.00842661125989 2.69091206748e-05 -49.8901327701 -12.0482682721
35 10000 -0.0086794673883 2.67802899215e-05 -49.7150282641 -12.0823443689
36 10000 -0.00892928501775 2.66657680807e-05 -49.5434147975 -12.0648418838
37 10000 -0.00917643181245 2.67260080211e-05 -49.3749764495 -12.0632953946
38 10000 -0.00942497998456 2.6865349346e-05 -49.2069117724 -12.0627595082
39 10000 -0.00967679969214 2.64262428708e-05 -49.0379779379 -12.0734480876
40 10000 -0.00991845045353 2.68827609007e-05 -48.8771222425 -12.0998678178
41 10000 -0.01017068193 2.66454208526e-05 -48.7105206083 -12.0529473916
42 10000 -0.0104173571351 2.66049969768e-05 -48.5488557268 -12.0480968032
43 10000 -0.0106630980465 2.67083337202e-05 -48.389034397 -12.0848758815
44 10000 -0.0109112342503 2.65117136727e-05 -48.2288879776 -12.0322799562
45 10000 -0.0111548323482 2.66511570129e-05 -48.072861752 -12.0640713772
46 10000 -0.0114016404115 2.6977591355e-05 -47.9159697011 -12.0011960297
47 10000 -0.0116561262529 2.66273815797e-05 -47.7554372459 -12.0086172649
48 10000 -0.0119023840977 2.67363359346e-05 -47.6012803472 -12.0144500627
49 10000 -0.0121511733129 2.67409687285e-05 -47.4467092311 -12.0351248588
50 10000 -0.0124000707275 2.70473676457e-05 -47.2932348908 -11.9883363392
51 10000 -0.0126562280544 2.64244894952e-05 -47.1364859257 -11.9817049928
52 10000 -0.0128978390267 2.67380281253e-05 -46.9897431292 -12.0236722451
53 10000 -0.0131466677578 2.66151546395e-05 -46.8397253196 -11.9959665797
54 10000 -0.0133926431109 2.65875623536e-05 -46.6925214792 -12.0205499811
55 10000 -0.0136379821359 2.6652827882e-05 -46.5467697716 -11.9533163436
56 10000 -0.0138848289122 2.63421358823e-05 -46.4011904296 -12.0464290128
57 10000 -0.0141245782046 2.66039833096e-05 -46.2608114714 -12.0506163638
58 10000 -0.0143702957322 2.66151991379e-05 -46.1179643182 -12.055688585
59 10000 -0.0146162721129 2.64295485523e-05 -45.975996216 -12.0193081706
60 10000 -0.014857997907 2.67570077084e-05 -45.8374742462 -12.010004865
61 10000 -0.0151072702709 2.63435367492e-05 -45.6956474814 -12.0450870035
62 10000 -0.0153470511143 2.65340510166e-05 -45.560187842 -11.9437930542
63 10000 -0.0155911606556 2.66894654146e-05 -45.4232464063 -11.9487590244
64 10000 -0.0158388577999 2.64361547241e-05 -45.285275768 -11.9909278105
65 10000 -0.0160807336097 2.63261188113e-05 -45.15149361 -12.0245825696
66 10000 -0.0163201224436 2.66376954407e-05 -45.0199977844 -11.9836978586
67 10000 -0.0165666188272 2.6430612718e-05 -44.8855348704 -11.9948763716
68 10000 -0.0168083687808 2.63087116788e-05 -44.754575139 -11.9798757731
69 10000 -0.0170473664696 2.6434072521e-05 -44.6259869964 -11.970823851
70 10000 -0.0172891949861 2.66314960537e-05 -44.4967579821 -11.9274039434
71 10000 -0.0175355479632 2.6638516754e-05 -44.3660143664 -11.9453788125
72 10000 -0.017782063352 2.631975511e-05 -44.2360876965 -11.9793864039
73 10000 -0.018021309119 2.6566685253e-05 -44.1108476021 -11.9809504029
74 10000 -0.0182661677505 2.65414581043e-05 -43.9835326635 -11.9497275295
75 10000 -0.0185104471183 2.66165159026e-05 -43.8573804708 -12.0401617122
76 10000 -0.0187564539064 2.63597180125e-05 -43.7311971045 -11.977500964
77 10000 -0.0189965994851 2.64205154857e-05 -43.6088450949 -11.9688712502
78 10000 -0.0192381202993 2.60187920187e-05 -43.4866063159 -11.9700731404
79 10000 -0.0194706935378 2.63397650305e-05 -43.3696600325 -11.9409862578
80 10000 -0.0197103894418 2.62698010791e-05 -43.2499089345 -11.970701267
81 10000 -0.0199485150337 2.62886495767e-05 -43.1317155734 -11.8892791051
82 10000 -0.020187062688 2.63390756342e-05 -43.0140779961 -11.9337055945
83 10000 -0.0204267430699 2.61774854552e-05 -42.8966458269 -11.8984523197
84 10000 -0.020662811914 2.60022632888e-05 -42.7817245809 -11.9344245214
85 10000 -0.0208950239457 2.63787846347e-05 -42.6693919797 -11.9443062187
86 10000 -0.021135599989 2.63707382119e-05 -42.5537500846 -11.9347070623
87 10000 -0.0213759942779 2.63083909296e-05 -42.4389374632 -11.9457494701
88 10000 -0.0216149847652 2.62800778345e-05 -42.3255234529 -11.9396408514
89 10000 -0.0218533403881 2.61929531255e-05 -42.2131270192 -11.9295629386
90 10000 -0.0220897526424 2.63155960031e-05 -42.1023469826 -11.9106430311
91 10000 -0.0223289049505 2.62704467489e-05 -41.9909856684 -11.9171509251
92 10000 -0.0225670449885 2.60646687825e-05 -41.8807914295 -11.9366561058
93 10000 -0.0228006236168 2.63866567239e-05 -41.7733760699 -11.9408089042
94 10000 -0.0230413776058 2.6340309281e-05 -41.6633471223 -11.8726908148
95 10000 -0.0232810857646 2.64068187691e-05 -41.5544817329 -11.9574288389
96 10000 -0.0235222960931 2.60454082285e-05 -41.4456182488 -11.9487325237
97 10000 -0.0237554521181 2.61952925571e-05 -41.3410361405 -11.9162460663
98 10000 -0.0239919163539 2.5998422549e-05 -41.2356131344 -11.9340684785
99 10000 -0.0242240445302 2.62293785589e-05 -41.1327474622 -11.9209301448
100 10000 -0.0244612674033 2.59010622197e-05 -41.0282572964 -11.9402372835
101 10000 -0.0246912795746 2.58731038605e-05 -40.9275489881 -11.9621806958
102 10000 -0.0249206875304 2.60218454094e-05 -40.8276940379 -11.8995290154
103 10000 -0.0251533275545 2.58567004764e-05 -40.7270275349 -11.9084412573
104 10000 -0.0253823817199 2.60852722544e-05 -40.6284932437 -11.9099964401
105 10000 -0.0256164132333 2.59876849034e-05 -40.5284075759 -11.8881546885
106 10000 -0.025848307127 2.62883304985e-05 -40.4298189409 -11.8590717256
107 10000 -0.0260868476304 2.6029228892e-05 -40.3290045819 -11.9173396856
108 10000 -0.0263196492268 2.59519740501e-05 -40.2311972729 -11.9357759195
109 10000 -0.0265507655845 2.55384942916e-05 -40.134661348 -11.8974716329
110 10000 -0.0267730586848 2.58496303585e-05 -40.0423359338 -11.866905253
111 10000 -0.0270019605218 2.58197168285e-05 -39.9477992334 -11.9411833886
112 10000 -0.0272302189317 2.584006751e-05 -39.8540628341 -11.9268730726
113 10000 -0.0274589148877 2.60255736546e-05 -39.7606776001 -11.9222195214
114 10000 -0.0276916364832 2.61896642315e-05 -39.6661894146 -11.9376140697
115 10000 -0.0279279756777 2.61214145287e-05 -39.5707860617 -11.7884965312
116 10000 -0.0281628036788 2.58382408069e-05 -39.4765405655 -11.8706171942
117 10000 -0.0283914603274 2.59349537375e-05 -39.3852921558 -11.863594801
118 10000 -0.0286222069809 2.57614011175e-05 -39.2937257542 -11.9323464633
119 10000 -0.0288492160072 2.62355763732e-05 -39.2041442292 -11.8798386923
120 10000 -0.0290865770751 2.62496841384e-05 -39.111005316 -11.8250186016
121 10000 -0.0293242529991 2.61385503028e-05 -39.0182788447 -11.8827728718
122 10000 -0.0295594595435 2.58601201937e-05 -38.9270393062 -11.8578576039
123 10000 -0.0297885874227 2.5693328903e-05 -38.838654352 -11.9216682508
124 10000 -0.0300141462852 2.57137450035e-05 -38.7521209056 -11.8919006474
125 10000 -0.0302401391494 2.60492761433e-05 -38.6658895578 -11.7971142003
126 10000 -0.0304733799827 2.57820809338e-05 -38.5773805008 -11.9015618119
127 10000 -0.0307008313146 2.58248811212e-05 -38.4915418262 -11.8291032318
128 10000 -0.0309292006826 2.59094237882e-05 -38.405823177 -11.8761322974
129 10000 -0.0311593938538 2.59195381064e-05 -38.3198891966 -11.8235209128
130 10000 -0.0313898061482 2.60617671253e-05 -38.234341388 -11.8602657177
131 10000 -0.031623321063 2.5967119531e-05 -38.1481154625 -11.856512927
132 10000 -0.0318547668789 2.61544668015e-05 -38.0631204262 -11.8166322323
133 10000 -0.0320903255591 2.56359471364e-05 -37.9770883785 -11.8390052635
134 10000 -0.0323146688518 2.57319467106e-05 -37.895592908 -11.8479924464
135 10000 -0.0325410493149 2.56096071543e-05 -37.8137895223 -11.8501558745
136 10000 -0.0327648367107 2.57818724229e-05 -37.7333464747 -11.8662503829
137 10000 -0.0329922835788 2.55971621056e-05 -37.6520158974 -11.8538757399
138 10000 -0.0332158087809 2.55828998152e-05 -37.5725046737 -11.7974002444
139 10000 -0.0334390338617 2.55980867448e-05 -37.4935096142 -11.865907622
140 10000 -0.0336625785342 2.57128537995e-05 -37.4148083376 -11.8248541461
141 10000 -0.0338885524368 2.56906490656e-05 -37.3356624943 -11.7757068778
142 10000 -0.0341140543907 2.57060131187e-05 -37.2570903956 -11.814881432
143 10000 -0.0343398827985 2.57644239164e-05 -37.1788103267 -11.8388625775
144 10000 -0.0345669564261 2.5677609932e-05 -37.1005049245 -11.8466169829
145 10000 -0.0347921816781 2.55617221193e-05 -37.0232363175 -11.8427200415
146 10000 -0.0350149618218 2.56158488778e-05 -36.9471949014 -11.7854722727
147 10000 -0.0352388808288 2.58583844659e-05 -36.8711510203 -11.8256925066
148 10000 -0.0354679712906 2.54233657825e-05 -36.7937486338 -11.8270663338
149 10000 -0.0356878651987 2.54166941446e-05 -36.71982902 -11.8419835499
150 10000 -0.0359076208274 2.54720923671e-05 -36.646320671 -11.8309804041
151 10000 -0.0361285271583 2.57385777873e-05 -36.5727922574 -11.7738579022
152 10000 -0.0363550489852 2.55580945649e-05 -36.4977717964 -11.8451030039
153 10000 -0.0365777529994 2.56885902594e-05 -36.4243851836 -11.8647826627
154 10000 -0.0368032112421 2.54660385519e-05 -36.3504613467 -11.8258645709
155 10000 -0.0370239915501 2.5530652907e-05 -36.2784297962 -11.7444315739
156 10000 -0.0372461204592 2.57358063487e-05 -36.2063136059 -11.8252188491
157 10000 -0.0374725831933 2.53288251124e-05 -36.1331546531 -11.767327616
