10 500000 0.95 gpomdp sample_bernstein 30000000

231 4000  0.01 195.89475
232 4000  0.01 194.083
233 4000  0.01 193.4255
234 4000  0.01 192.708
235 4000  0.01 192.27875
236 4000  0.01 191.73175
237 4000  0.01 194.25275
238 4000  0.01 193.85425
239 4000  0.01 194.566
240 4000  0.01 192.63775
241 4000  0.01 195.625
242 4000  0.01 194.14
243 4000  0.01 194.1125
244 4000  0.01 192.30375
245 4000  0.01 192.91275
246 4000  0.01 190.658
247 4000  0.01 192.16325
248 4000  0.01 189.79875
249 4000  0.01 193.63725
250 4000  0.01 192.46025
251 4000  0.01 194.6205
252 4000  0.01 194.54075
253 4000  0.01 194.0565
254 4000  0.01 193.44275
255 4000  0.01 193.50825
256 4000  0.01 193.18725
257 4000  0.01 192.281
258 4000  0.01 192.51725
259 4000  0.01 191.7565
260 4000  0.01 190.73025
261 4000  0.01 190.61075
262 4000  0.01 190.85575
263 4000  0.01 193.16775
264 4000  0.01 192.208
265 4000  0.01 192.821
266 4000  0.01 191.6285
267 4000  0.01 191.39825
268 4000  0.01 191.465
269 4000  0.01 193.5885
270 4000  0.01 193.63675
271 4000  0.01 192.10325
272 4000  0.01 192.31175
273 4000  0.01 192.96775
274 4000  0.01 191.575
275 4000  0.01 192.584
276 4000  0.01 192.4645
277 4000  0.01 191.89625
278 4000  0.01 191.67625
279 4000  0.01 192.46975
280 4000  0.01 191.50725
281 4000  0.01 193.2635
282 4000  0.01 191.492
283 4000  0.01 194.743
284 4000  0.01 194.33275
285 4000  0.01 193.72375
286 4000  0.01 193.01525
287 4000  0.01 193.18575
288 4000  0.01 192.96225
289 4000  0.01 192.7895
290 4000  0.01 192.79425
291 4000  0.01 193.99875
292 4000  0.01 192.90125
293 4000  0.01 191.445
294 4000  0.01 192.998
295 4000  0.01 195.1725
296 4000  0.01 194.838
297 4000  0.01 194.82925
298 4000  0.01 194.6195
299 4000  0.01 195.13075
300 4000  0.01 194.43125
301 4000  0.01 194.88825
302 4000  0.01 193.82275
303 4000  0.01 194.1495
304 4000  0.01 194.45175
305 4000  0.01 194.19
