100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
44 4750 [ -5.00204424e-01  -0.00000000e+00  -3.85127703e-06  -5.00103066e-01] 6.7261361178e-06 -26.6673900989 -19.2881901374
45 3695 [ -5.00204424e-01  -0.00000000e+00  -3.85127703e-06  -5.00112329e-01] 4.70699236611e-06 -26.6656321337 -19.2289264955
46 5013 [ -5.00210064e-01  -0.00000000e+00  -3.85127703e-06  -5.00112329e-01] 5.48944981746e-06 -26.6670838595 -19.3241088625
47 5651 [ -5.00216674e-01  -0.00000000e+00  -3.85127703e-06  -5.00112329e-01] 6.22096862797e-06 -26.6653922685 -19.3055488136
48 5017 [ -5.00223992e-01  -0.00000000e+00  -3.85127703e-06  -5.00112329e-01] 5.73448176367e-06 -26.6648482584 -19.3767011977
49 5104 [ -5.00223992e-01  -0.00000000e+00  -3.85127703e-06  -5.00118986e-01] 5.84762590578e-06 -26.6635663835 -19.2900309262
50 5188 [ -5.00231228e-01  -0.00000000e+00  -3.85127703e-06  -5.00118986e-01] 5.64360376013e-06 -26.6639564865 -19.2387072398
51 5561 [ -5.00237938e-01  -0.00000000e+00  -3.85127703e-06  -5.00118986e-01] 6.75669733805e-06 -26.6666149695 -19.2524930941
52 4211 [ -5.00237938e-01  -0.00000000e+00  -3.85127703e-06  -5.00127622e-01] 4.9309307474e-06 -26.6674681031 -19.2920471218
53 5303 [ -5.00243555e-01  -0.00000000e+00  -3.85127703e-06  -5.00127622e-01] 5.79780056601e-06 -26.6636500346 -19.3395861138
54 5528 [ -5.00243555e-01  -0.00000000e+00  -3.85127703e-06  -5.00134694e-01] 6.19249196864e-06 -26.6667593698 -19.2434563321
55 5150 [ -5.00251229e-01  -0.00000000e+00  -3.85127703e-06  -5.00134694e-01] 5.73231114239e-06 -26.6642950708 -19.3111281533
56 5225 [ -5.00251229e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 6.42584428342e-06 -26.6660392378 -19.3327179614
57 4395 [ -5.00259681e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 6.02874041671e-06 -26.6675687224 -19.1765611824
58 4275 [ -5.00267829e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 5.99379230545e-06 -26.6656720183 -19.3380182011
59 4012 [ -5.00275491e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 5.09906314241e-06 -26.6654576608 -19.2544234086
60 4885 [ -5.00281532e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 6.08612556279e-06 -26.6673059908 -19.4085333529
61 4553 [ -5.00289231e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 6.11275004643e-06 -26.6652546188 -19.3108864703
62 4332 [ -5.00297577e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 4.96202845431e-06 -26.6673736283 -19.3966762378
63 5359 [ -5.00303007e-01  -0.00000000e+00  -3.85127703e-06  -5.00141292e-01] 5.90994608356e-06 -26.6660861338 -19.3228111431
64 5565 [ -5.00303007e-01  -0.00000000e+00  -3.85127703e-06  -5.00148954e-01] 7.46240896859e-06 -26.6637024578 -19.2619380787
65 3521 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00148954e-01] 4.74553701884e-06 -26.665266403 -19.239585602
66 4692 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00154825e-01] 4.81689342451e-06 -26.6672665813 -19.233463978
67 6173 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00159830e-01] 6.74386390404e-06 -26.6653064476 -19.3462897027
68 4932 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00168595e-01] 5.33355201788e-06 -26.6646815083 -19.3741413234
69 5674 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00174530e-01] 6.32889864434e-06 -26.6659637802 -19.3080365803
70 5020 [ -5.00313812e-01  -0.00000000e+00  -3.85127703e-06  -5.00182235e-01] 6.18067130859e-06 -26.6641438647 -19.3529552053
71 4724 [ -5.00321991e-01  -0.00000000e+00  -3.85127703e-06  -5.00182235e-01] 5.85699876767e-06 -26.6618624524 -19.3523563641
72 4735 [ -5.00321991e-01  -0.00000000e+00  -3.85127703e-06  -5.00189727e-01] 6.16072424248e-06 -26.6633986342 -19.2965789164
73 4499 [ -5.00330355e-01  -0.00000000e+00  -3.85127703e-06  -5.00189727e-01] 4.87749657106e-06 -26.6647272402 -19.3374075517
74 6059 [ -5.00330355e-01  -0.00000000e+00  -3.85127703e-06  -5.00195769e-01] 6.81240261435e-06 -26.6651699299 -19.2854227911
75 4609 [ -5.00338870e-01  -0.00000000e+00  -3.85127703e-06  -5.00195769e-01] 5.83756451173e-06 -26.6639851869 -19.3678922375
76 4533 [ -5.00345870e-01  -0.00000000e+00  -3.85127703e-06  -5.00195769e-01] 5.66902510181e-06 -26.6654311932 -19.257062788
77 4668 [ -5.00352691e-01  -0.00000000e+00  -3.85127703e-06  -5.00195769e-01] 5.56132683045e-06 -26.6643909344 -19.2969617145
78 5022 [ -5.00352691e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 6.29798776903e-06 -26.6658983175 -19.2855113609
79 4425 [ -5.00360733e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 5.73810312964e-06 -26.6640664087 -19.2488182366
80 4511 [ -5.00367761e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 5.61776492106e-06 -26.6650000337 -19.3077399636
81 4792 [ -5.00374694e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 6.76386131821e-06 -26.6646800483 -19.2594918751
82 3769 [ -5.00384485e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 4.98682022111e-06 -26.664395327 -19.4021534808
83 4688 [ -5.00390547e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 6.74828050172e-06 -26.663285564 -19.2491830285
84 3739 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00202340e-01] 4.74705363902e-06 -26.6667216292 -19.290825673
85 4878 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00207581e-01] 5.81690819515e-06 -26.6640392165 -19.2883656709
86 5161 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00215634e-01] 6.3883647519e-06 -26.6638958973 -19.30852467
87 4383 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00223630e-01] 5.03491721495e-06 -26.6620598766 -19.3072024898
88 5356 [ -5.00400483e-01  -0.00000000e+00  -3.85127703e-06  -5.00229169e-01] 6.04527865287e-06 -26.6649364672 -19.3610392689
