100 100000 0.95 gpomdp sample_bernstein 1000000

128 1000  1e-06 -426.651937436 -19.3570534046
129 1000  1e-06 -426.651830499 -19.360047313
130 1000  1e-06 -426.651698542 -19.3679449722
131 1000  1e-06 -426.651557382 -19.2553254847
132 1000  1e-06 -426.651448755 -19.1541914379
133 1000  1e-06 -426.651346406 -19.282350955
134 1000  1e-06 -426.651225283 -19.1977330963
135 1000  1e-06 -426.651151281 -19.5953169369
136 1000  1e-06 -426.651063606 -19.3351436973
137 1000  1e-06 -426.650939623 -19.3600020908
138 1000  1e-06 -426.650832485 -19.3836585051
139 1000  1e-06 -426.650696699 -19.2733611074
140 1000  1e-06 -426.650568902 -19.1547293688
141 1000  1e-06 -426.650418013 -19.3757762187
142 1000  1e-06 -426.650292 -19.3684670189
143 1000  1e-06 -426.6501963 -19.3184945285
144 1000  1e-06 -426.650080708 -19.191050216
145 1000  1e-06 -426.649981055 -19.192661354
146 1000  1e-06 -426.649874157 -19.4587528209
147 1000  1e-06 -426.649757695 -19.1782921243
148 1000  1e-06 -426.649641261 -19.1019153488
149 1000  1e-06 -426.649509131 -19.1714925546
150 1000  1e-06 -426.64939773 -19.260212805
151 1000  1e-06 -426.649276203 -19.2219899741
152 1000  1e-06 -426.649172019 -19.2235386607
153 1000  1e-06 -426.64906031 -19.2780122694
154 1000  1e-06 -426.648952914 -19.2849211508
155 1000  1e-06 -426.648859288 -19.4214100599
156 1000  1e-06 -426.648752617 -19.3606729102
157 1000  1e-06 -426.64865368 -19.3009126027
158 1000  1e-06 -426.648541047 -19.5050903788
159 1000  1e-06 -426.648456907 -19.4791583656
160 1000  1e-06 -426.648346493 -19.3274775656
161 1000  1e-06 -426.648223814 -19.3282802309
162 1000  1e-06 -426.648118946 -19.290618255
163 1000  1e-06 -426.648008509 -19.2536834887
164 1000  1e-06 -426.647909303 -19.4248566452
165 1000  1e-06 -426.647808551 -19.1899840942
166 1000  1e-06 -426.647711094 -19.2708850316
167 1000  1e-06 -426.647622202 -19.421259231
168 1000  1e-06 -426.647508525 -19.1064084408
169 1000  1e-06 -426.647379718 -19.2995440242
170 1000  1e-06 -426.647275012 -19.1456184441
171 1000  1e-06 -426.647150921 -19.2547552102
172 1000  1e-06 -426.647037025 -19.4330309341
173 1000  1e-06 -426.646905626 -18.9776182805
