trajectory performance
355000 -19.149878
356000 -19.148333
357000 -19.143162
358000 -19.131775
359000 -19.118987
360000 -19.105842
361000 -19.094532
362000 -19.085149
363000 -19.083069
364000 -19.077402
365000 -19.064797
366000 -19.063801
367000 -19.063801
368000 -19.063801
369000 -19.052550
370000 -19.052550
371000 -19.049394
372000 -19.038096
373000 -19.025924
374000 -19.011302
375000 -18.997533
376000 -18.986783
377000 -18.976148
378000 -18.958186
379000 -18.955388
380000 -18.945693
381000 -18.940598
382000 -18.934851
383000 -18.933032
384000 -18.920853
385000 -18.911571
386000 -18.897119
387000 -18.888208
388000 -18.885295
389000 -18.878930
390000 -18.876390
391000 -18.871303
392000 -18.853867
393000 -18.845106
394000 -18.836879
395000 -18.832476
396000 -18.817213
397000 -18.808339
398000 -18.808339
399000 -18.799669
400000 -18.784563
401000 -18.776291
402000 -18.758193
403000 -18.758193
404000 -18.750514
405000 -18.750514
406000 -18.741210
407000 -18.731088
408000 -18.715978
409000 -18.708842
410000 -18.693778
411000 -18.688006
412000 -18.673191
413000 -18.670114
414000 -18.661682
415000 -18.646614
416000 -18.633446
417000 -18.624564
418000 -18.611551
419000 -18.602852
420000 -18.602852
421000 -18.595468
422000 -18.591767
423000 -18.580654
424000 -18.571656
425000 -18.570378
426000 -18.559938
427000 -18.545995
428000 -18.532597
429000 -18.525100
430000 -18.520713
431000 -18.512854
432000 -18.506493
433000 -18.495641
434000 -18.488680
435000 -18.479245
436000 -18.471803
437000 -18.456912
438000 -18.447129
439000 -18.437680
440000 -18.433966
441000 -18.426695
442000 -18.416895
443000 -18.409874
444000 -18.407528
445000 -18.402158
446000 -18.383780
447000 -18.376556
448000 -18.373713
449000 -18.365886
450000 -18.358145
451000 -18.353216
452000 -18.341270
453000 -18.333757
454000 -18.321849
455000 -18.309339
456000 -18.301273
457000 -18.301273
458000 -18.300164
459000 -18.289561
460000 -18.280072
461000 -18.267080
462000 -18.265525
463000 -18.261892
464000 -18.261892
465000 -18.258878
466000 -18.248897
467000 -18.241365
468000 -18.237246
469000 -18.228350
470000 -18.221066
471000 -18.217237
472000 -18.209404
473000 -18.201840
474000 -18.189841
475000 -18.172988
476000 -18.166631
477000 -18.153720
478000 -18.143183
479000 -18.135291
480000 -18.128608
481000 -18.119755
482000 -18.117719
483000 -18.115011
484000 -18.110999
485000 -18.102767
486000 -18.094522
487000 -18.094522
488000 -18.087316
489000 -18.078649
490000 -18.067673
491000 -18.060439
492000 -18.047256
493000 -18.041875
494000 -18.035592
495000 -18.022371
496000 -18.016712
497000 -18.004275
498000 -18.001932
499000 -17.993351
500000 -17.991395
501000 -17.983277
502000 -17.979485
503000 -17.971947
504000 -17.964986
505000 -17.956264
506000 -17.949393
507000 -17.936959
508000 -17.926902
509000 -17.915719
510000 -17.904846
511000 -17.899319
512000 -17.896722
513000 -17.888592
514000 -17.888592
515000 -17.887569
516000 -17.878674
517000 -17.870945
518000 -17.860852
519000 -17.858446
520000 -17.851191
521000 -17.848310
522000 -17.842126
523000 -17.833904
524000 -17.828182
525000 -17.825182
526000 -17.820943
527000 -17.818034
528000 -17.805146
529000 -17.798751
530000 -17.792830
531000 -17.789634
532000 -17.789634
533000 -17.782448
534000 -17.775910
535000 -17.772689
536000 -17.765146
